kind,level,ref,detail
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814701_006_M92X-G47,"parsed ""ДАЗпО-(Volume 5593-2/278-285+++Volume 5593-2/278-285+++)"" does not single out one of 8 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814701_008_M92X-G49,"parsed ""ДАЗпО-(Volume 5593-2/278-285+++Volume 5593-2/278-285+++)"" does not single out one of 8 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814701_003_M92X-G4M,"parsed ""ДАЗпО-(Volume 5593-2/278-285+++Volume 5593-2/278-285+++)"" does not single out one of 8 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814701_001_M92X-G4Q,"parsed ""ДАЗпО-(Volume 5593-2/278-285+++Volume 5593-2/278-285+++)"" does not single out one of 8 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814701_007_M92X-G4S,"parsed ""ДАЗпО-(Volume 5593-2/278-285+++Volume 5593-2/278-285+++)"" does not single out one of 8 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814701_005_M92X-GW1,"parsed ""ДАЗпО-(Volume 5593-2/278-285+++Volume 5593-2/278-285+++)"" does not single out one of 8 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814701_002_M92X-GWB,"parsed ""ДАЗпО-(Volume 5593-2/278-285+++Volume 5593-2/278-285+++)"" does not single out one of 8 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814759_004_M92X-RM5,"parsed ""ДАЗпО-(5593-2-483+++5593-2-483+++5593-2-483)"" does not single out one of 4 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814717_001_M92X-RM9,"parsed ""ДАЗпО-(Volume 5593-2/365-368+++Volume 5593-2/365-368+++)"" does not single out one of 4 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814717_003_M92X-RMM,"parsed ""ДАЗпО-(Volume 5593-2/365-368+++Volume 5593-2/365-368+++)"" does not single out one of 4 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814759_002_M92X-RMP,"parsed ""ДАЗпО-(5593-2-481+++5593-2-481+++5593-2-481)"" does not single out one of 4 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814759_001_M92X-RMR,"parsed ""ДАЗпО-(5593-2-480+++5593-2-480+++5593-2-480)"" does not single out one of 4 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814717_002_M92X-RMS,"parsed ""ДАЗпО-(Volume 5593-2/365-368+++Volume 5593-2/365-368+++)"" does not single out one of 4 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814759_003_M92X-RMT,"parsed ""ДАЗпО-(5593-2-482+++5593-2-482+++5593-2-482)"" does not single out one of 4 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814717_004_M92X-ZC1,"parsed ""ДАЗпО-(Volume 5593-2/365-368+++Volume 5593-2/365-368+++)"" does not single out one of 4 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007811774,"parsed ""ДАЗпО-(Volume 5593-1/195-199+++Volume 5593-1/195-199+++)"" does not single out one of 5 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007811779,"parsed ""ДАЗпО-(Volume 5593-1/149; Volume 5593-1/150; Volume 5593-1/163; Volume 5593-1/165+++Volume 5593-1/149+++)"" does not single out one of 4 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007810975,"parsed ""ДАЗпО-(Volume 5593-1/109-111+++Volume 5593-1/109-111+++)"" does not single out one of 3 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007812153,"parsed ""ДАЗпО-(5593-2-130; 5593-2-131; 5593-2-132; 5593-2-134+++5593-2-130+++5593-2-130_1882-1883 
5593-2-131_1885-1887 
5593-2-132_1874-1879,1888-1891 
5593-2-134_1897)"" does not single out one of 4 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007812145,"parsed ""ДАЗпО-(Volume 5593-2/96 96-97+++Volume 5593-2/96 96-97+++)"" does not single out one of 2 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007812156,"parsed ""ДАЗпО-(Volume 5593-2/143-148+++Volume 5593-2/143-148+++)"" does not single out one of 6 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007812401,"parsed ""ДАЗпО-(Volume 5593-2/191-192+++Volume 5593-2/191-192+++)"" does not single out one of 2 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007811772,"parsed ""ДАЗпО-(Р5593-1-230; Р5593-1-231; Р5593-1-232; Р5593-1-233; Р5593-1-234; Р5593-1-235; Р5593-1-236; Р5593-1-237; Р5593-1-238; Р5593-1-239; Р5593-1-240; Р5593-1-241; Р5593-1-242; Р5593-1-243; Р5593-1-244+++Р5593-1-230+++Р5593-1-230
Р5593-1-231
Р5593-1-232
Р5593-1-233
Р5593-1-234
Р5593-1-235
Р5593-1-236
Р5593-1-237
Р5593-1-238
Р5593-1-239
Р5593-1-240
Р5593-1-241
Р5593-1-242
Р5593-1-243
Р5593-1-244)"" does not single out one of 15 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007811791,"parsed ""ДАЗпО-(Volume 5593-1/213-216+++Volume 5593-1/213-216+++)"" does not single out one of 4 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007813386,"parsed ""ДАЗпО-(114-1-1; 114-1-2+++114-1-1+++114-1-1_1824,1815-1835 
114-1-2_1836-1847)"" does not single out one of 2 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814700,"parsed ""ДАЗпО-(Volume 5593-2/266-270+++Volume 5593-2/266-270+++)"" does not single out one of 5 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814723,"parsed ""ДАЗпО-(Volume 5593-2/402-410+++Volume 5593-2/402-410+++)"" does not single out one of 9 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814747,"parsed ""ДАЗпО-(5593-2-432; 5593-2-433; 5593-2-434; 5593-2-435; 5593-2-436+++5593-2-432+++5593-2-432_1900 
5593-2-433_1901-1905 
5593-2-434_1864-1883 
5593-2-435_1884-1905 
5593-2-436_1864-1880)"" does not single out one of 5 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814755,"parsed ""ДАЗпО-(5593-2-465; 5593-2-466; 5593-2-467; 5593-2-468; 5593-2-469+++5593-2-465+++5593-2-465_1881-1882 
5593-2-466_1883 
5593-2-467_1884-1885 
5593-2-468_1886 
5593-2-469_1888,1898)"" does not single out one of 4 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814718,"parsed ""ДАЗпО-(Volume 5593-2/369-374+++Volume 5593-2/369-374+++)"" does not single out one of 6 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814762,"parsed ""ДАЗпО-(5593-2-490; 5593-2-491; 5593-2-492+++5593-2-490+++5593-2-490_1871-1874 
5593-2-491_1885-1888 
5593-2-492_1893)"" does not single out one of 3 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007815755,"parsed ""ДАЗпО-(Volume 5593-2/530-533+++Volume 5593-2/530-533+++)"" does not single out one of 4 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007816577,"parsed ""ДАЗпО-(Volume 5593-2/586 (cont; Volume 5593-2/591+++Volume 5593-2/586 (cont+++)"" does not single out one of 2 candidate files"
