Таврійська губернська палата цивільного суду, м. Сімферополь Таврійської губернії	Сімферополь	-
Олексіївський волосний суд Єлисаветградського судово-мирового округу, с.Олексіївка Єлисаветградського повіту Херсонської губернії	Олексіївка	Кіровоградська
Старший нотаріус Єлисаветградського окружного суду, м.Єлисаветград Єлисаветградського повіту Херсонської губернії	Єлисаветград	Кіровоградська
Львівський повітовий суд, м. Львів	Львів	Львівська
Львівський трудовий суд, м. Львів	Львів	Львівська
Окружний суд в Стрию, м. Стрий Галицького намісництва	Стрий	Львівська
Перемишлянський повітовий суд, м. Перемишляни Тернопільського воєводства	Перемишляни	Львівська
Прокурор окружного суду в м. Золочеві Тарнопольського воєводства	Золочеві	Львівська
Стрийський повітовий суд, м. Стрий Стрийського повіту	Стрий	Львівська
Судовий виконавець третього округу Львівського гродського суду, м. Львів	Львів	Львівська
Вознесенська палата цивільного суду, м. Вознесенськ Херсонської губернії	Вознесенськ	Одеська
Ольвіопольський повітовий суд, м. Ольвіополь Херсонської губернії	Ольвіополь	Одеська
Тираспольський повітовий суд, м. Тирасполь Херсонської губернії	Тирасполь	Одеська
Херсонська палата цивільного суду, м. Херсон	Херсон	Одеська
Вельбівська волосна судово-земельна комісія, с.Вельбівка Вельбівської вол. Гадяцького пов. Полтавської губ.	Вельбівка	Полтавська
Веприцька районна судово-земельна комісія, с.Веприк Веприцького р-ну Роменського окр., до 1925р. Полтавської губ.	Веприк	Полтавська
Військово-польовий суд міста Полтави, м.Полтава Полтавської губ.	Полтава	Полтавська
Гадяцька районна судово-земельна комісія Народного комісаріату землеробства УРСР, м.Гадяч Гадяцького р-ну Роменського окр., до 1925р. Полтавської губ.	Гадяч	Полтавська
Гадяцький міський сирітський суд, м.Гадяч Гадяцького полку, з 1782р. Чернігівського намісництва, з 1791р. Київського намісництва, з 1795р. Чернігівського намісництва, з 1796р. Малоросійської губ, з 18	Гадяч	Полтавська
Гадяцький нижній земський суд, м.Гадяч Чернігівського намісництва, з 1791р. Київського намісництва, з 1795р. Чернігівського намісництва, з 1796р. Малоросійської губ, з 1802р. Полтавської губ.	Гадяч	Полтавська
Гадяцький повітовий земський суд, м. Гадяч Полтавської губернії	Гадяч	Полтавська
Гадяцький повітовий суд, м. Гадяч Чернігівського намісництва, з 1791 р. Київського намісництва, з 1795 р. Чернігівського намісництва, з 1796 р. Малоросійської губ., з 1802 р. Полтавської губ.	Гадяч	Полтавська
Германський військово-польовий суд, м. Полтава Полтавської губ.	Полтава	Полтавська
Градизький повітовий суд, м.Градизьк Градизького пов.Катеринославського намісництва, з 1796р. Малоросійської губ.	Градизьк Градизького	Полтавська
З'їзд мирових суддів Лохвицького судово-мирового округу, м.Лохвиця Лохвицького пов. Полтавської губ.	Лохвиця	Полтавська
З'їзд мирових суддів Миргородського судово - мирового округу, м. Миргород Миргородського пов. Полтавської губ.	Миргород	Полтавська
Зіньківський повітовий земський суд, м. Зіньків Гадяцького полку, з 1781р. Чернігівського намісництва, з 1796р. Малоросійської губ., з 1802р. Полтавської губ.	Зіньків	Полтавська
Зіньківський повітовий земський суд, м. Зіньків Малоросійської губернії	Зіньків	Полтавська
