kind,level,ref,detail
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801209_001_M9KC-6WB,"parsed ""ДААРК-(Volume 323-1/49-144 Karasubazar city+++Volume 323-1/49-144 Karasubazar city+++)"" does not single out one of 20 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801159_003_M9KC-6WG,"parsed ""ДААРК-(Volume 293-1/40-128 Uzen-Bash volost, Yalta district+++Volume 293-1/40-128 Uzen-Bash volost, Yalta district+++)"" does not single out one of 15 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801159_001_M9KC-6WP,"parsed ""ДААРК-(Volume 293-1/40-128 Uzen-Bash volost, Yalta district+++Volume 293-1/40-128 Uzen-Bash volost, Yalta district+++)"" does not single out one of 48 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801209_004_M9KC-6WR,"parsed ""ДААРК-(Volume 323-1/49-144 Karasubazar city+++Volume 323-1/49-144 Karasubazar city+++)"" does not single out one of 21 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801209_002_M9KC-6WT,"parsed ""ДААРК-(Volume 323-1/49-144 Karasubazar city+++Volume 323-1/49-144 Karasubazar city+++)"" does not single out one of 21 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801209_003_M9KC-6WY,"parsed ""ДААРК-(Volume 323-1/49-144 Karasubazar city+++Volume 323-1/49-144 Karasubazar city+++)"" does not single out one of 33 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801205_004_M9KC-DM8,"parsed ""ДААРК-(Volume 321-1/829-944 Bakchisaray city+++Volume 321-1/829-944 Bakchisaray city+++)"" does not single out one of 45 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801205_001_M9KC-DMC,"parsed ""ДААРК-(Volume 321-1/829-944 Bakchisaray city+++Volume 321-1/829-944 Bakchisaray city+++)"" does not single out one of 13 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801205_005_M9KC-DMD,"parsed ""ДААРК-(Volume 321-1/829-944 Bakchisaray city+++Volume 321-1/829-944 Bakchisaray city+++)"" does not single out one of 29 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801205_003_M9KC-DMH,"parsed ""ДААРК-(Volume 321-1/829-944 Bakchisaray city+++Volume 321-1/829-944 Bakchisaray city+++)"" does not single out one of 24 candidate files"
