target,target_id,url,loser_id,loser_parsed,loser_was_linked,survivor_id,survivor_parsed_before,survivor_parsed_after
file,73061219-9096-4826-a2a3-1aa48648b5c3,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808019_003_M9MK-74J,d372273d-727e-4eb1-b103-bb772502f8b6,ДАЧкО-(931-1-2989+++931-1-2989+++931-1-2989),f,29818089-4a9d-44f4-b2ff-9bfeda8524b0,"ДАЧкО-(931-1-2989+++931-1-2989+++931-1-2989_1886,1888,1889)",ДАЧкО-(931-1-2989+++931-1-2989+++931-1-2989)
file,e236d498-f7a1-4048-af33-d3bda53e0378,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808019_004_M9MK-74V,7b4adc0b-a5b4-4555-bf37-d26a16b0e2d7,ДАЧкО-(931-1-2990+++931-1-2990+++931-1-2990),f,a44332f5-5b28-4aee-9026-970a1b4e2321,ДАЧкО-(931-1-2990+++931-1-2990+++931-1-2990_1890-1891),ДАЧкО-(931-1-2990+++931-1-2990+++931-1-2990)
file,10ffee13-f05d-4f7f-a00b-62f67fecf470,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808024_003_M9MK-7Q6,db439b57-eca4-4afa-9931-d1d957cc5b0a,ДАЧкО-(931-1-3008+++931-1-3008+++931-1-3008),f,26d971b9-b29e-4bc8-b933-90a1ae1ad5ca,"ДАЧкО-(931-1-3008+++931-1-3008+++931-1-3008_1912-1914,1916)",ДАЧкО-(931-1-3008+++931-1-3008+++931-1-3008)
file,31c4edb4-e638-4f7e-a430-389148690627,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808972_004_M9MK-QRT,acda4311-4ecc-45a8-8a96-db908e340536,ДАМО-(484-1-500+++484-1-500+++484-1-500),f,3331cd32-40ab-4a45-b103-63ac78e42356,"ДАМО-(484-1-500+++484-1-500+++484-1-500_1893,1895,1896,1900)",ДАМО-(484-1-500+++484-1-500+++484-1-500)
file,295d9b94-4320-451b-a50c-694137a86c97,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808972_005_M9MK-QRY,5f88029d-a376-4520-a60b-a160807727d0,ДАМО-(484-1-501+++484-1-501+++484-1-501),f,13206ae1-5e7d-494a-a229-169ee8c62b5c,ДАМО-(484-1-501+++484-1-501+++484-1-501_1894),ДАМО-(484-1-501+++484-1-501+++484-1-501)
file,f504c0d4-305b-4483-b3fc-08841dfb491d,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007809070_003_M9MK-QC5,da14a3f0-fbe2-4b64-89da-4a02fadc4b6e,ДАМО-(484-1-607+++484-1-607+++484-1-607),f,a62274a5-c878-40c7-8455-1e920e758136,ДАМО-(484-1-607+++484-1-607+++484-1-607_1894),ДАМО-(484-1-607+++484-1-607+++484-1-607)
file,47cf4b39-2061-46da-8b53-53ec1167ce01,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007809397_005_M9MK-8P2,2ab266d2-7e7e-469c-b129-2b4d6394dd6d,ДАМО-(484-1-310+++484-1-310+++484-1-310),f,b6665d35-eacb-49c4-984b-5e43bd830ad0,"ДАМО-(484-1-310+++484-1-310+++484-1-310_1896,1901)",ДАМО-(484-1-310+++484-1-310+++484-1-310)
file,47cf4b39-2061-46da-8b53-53ec1167ce01,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007809786_001_M9MK-CV6,935bc4fc-452e-44f1-ac1e-d0ec7bc0f74b,ДАМО-(484-1-310+++484-1-310+++484-1-310),f,15bf1e55-0a8f-4503-9514-dec2dbc6ec4a,ДАМО-(484-1-310+++484-1-310+++484-1-310_1901),ДАМО-(484-1-310+++484-1-310+++484-1-310)
file,1fe41895-79fe-418a-959a-14df4d93477c,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007810417_001_M9KC-X47,ac7b6dd5-3208-4890-a8ef-6098861b7a9f,ДАІФО-(Volume 631-1/597+++Volume 631-1/597+++),f,3ca3f6d2-19ae-4799-8f4e-0c06c6d8f0ed,ДАІФО-(631-1-597+++631-1-597+++631-1-597),
file,c3d05b5d-f762-4f9d-aa13-11b2a846ab61,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007816986_002_M9M2-Z44,10d72ad9-ac5f-4f43-8d01-04f46d4d3d3b,ДАЧкО-(403-2-6+++403-2-6+++403-2-6),f,2ec21c6d-6df0-4f3f-9343-811b3b69d8a1,"ДАЧкО-(403-2-6+++403-2-6+++Ф. 403, о. 2, д. 6 Смерти 1860-1873)",ДАЧкО-(403-2-6+++403-2-6+++403-2-6)
