target,rule,target_full_code,parsed,resource,oc_id,target_id,url
file,R0 norm+separators,ДАЗКО-1606-9-103,ДАЗкО-(1606-9-103+++1606-9-103+++1606-9-103),fs,0c8e506a-6985-4b64-ab85-3bc5f490ee11,cf8bf728-fa3e-4080-a837-6f8e0349d2c4,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127944721
file,R0 norm+separators,ДАЗКО-1606-9-104,ДАЗкО-(1606-9-104+++1606-9-104+++1606-9-104),fs,69724277-8d63-45ee-a393-b32ae0cdbaa8,07cde00a-b489-4e63-a770-739cc4f41bed,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945298
file,R0 norm+separators,ДАЗКО-1606-9-106,ДАЗкО-(1606-9-106+++1606-9-106+++1606-9-106),fs,0cb6b701-fc96-407e-975c-73fe7389edc8,557394e7-2d18-49c3-b4e9-6a831e721e13,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945374
file,R0 norm+separators,ДАЗКО-1606-9-109,ДАЗкО-(1606-9-109+++1606-9-109+++1606-9-109),fs,9adc645f-902f-44f8-a504-9110e78f1287,a738c76a-03c7-439c-8da0-94bc9703521b,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945361
file,R0 norm+separators,ДАЗКО-1606-9-110,ДАЗкО-(1606-9-110+++1606-9-110+++1606-9-110),fs,7b58ae16-bc5a-43b4-96ec-9a2971ae72f7,7533d855-737e-4a80-b118-3b18a2ac5aec,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945320
file,R0 norm+separators,ДАЗКО-1606-9-111,ДАЗкО-(1606-9-111+++1606-9-111+++1606-9-111),fs,3aa83d70-a971-4807-856b-43513b0c1e05,78e4b747-ee5a-44f2-ad90-f9e22660c85b,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127944752
file,R0 norm+separators,ДАЗКО-1606-9-114,ДАЗкО-(1606-9-114+++1606-9-114+++1606-9-114),fs,27fed306-a2e1-4a4f-a0c7-131270214698,02945083-dafa-4d5b-a2bd-40af8356a591,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945269
file,R0 norm+separators,ДАЗКО-1606-9-115,ДАЗкО-(1606-9-115+++1606-9-115+++1606-9-115),fs,61c7b5f9-129a-4fce-9ffc-cc4cba6dff30,c7fc8adf-0106-4d55-8fda-9f1455ef7bd4,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945233
file,R0 norm+separators,ДАЗКО-1606-9-116,ДАЗкО-(1606-9-116+++1606-9-116+++1606-9-116),fs,7976dded-ac9d-42b0-aa1a-a493c7ebc09c,7db9729e-b6fb-4c7e-96cc-038193ea446e,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945202
file,R0 norm+separators,ДАЗКО-1606-9-117,ДАЗкО-(1606-9-117+++1606-9-117+++1606-9-117),fs,02de2d5b-db7d-4244-b512-3b81080d0bbf,a5c2a67e-591a-42f8-8817-85a1929af654,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945150
file,R0 norm+separators,ДАЗКО-1606-9-120,ДАЗкО-(1606-9-120+++1606-9-120+++1606-9-120),fs,d049d775-37d7-43c1-9b83-db661c08149b,e00148e8-3d3a-404c-b42d-b5a8ebcc201a,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945104
file,R0 norm+separators,ДАЗКО-1606-9-121,ДАЗкО-(1606-9-121+++1606-9-121+++1606-9-121),fs,d82be045-731c-44d9-b2f4-29435f59f607,14a68c01-456f-4c83-bedd-94150b19cf91,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945124
file,R0 norm+separators,ДАЗКО-1606-9-122,ДАЗкО-(1606-9-122+++1606-9-122+++1606-9-122),fs,f495fd69-0d62-46ae-9615-3b9340eb752f,e309bf42-4d42-4a67-a826-55ffae3617c5,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945085
file,R0 norm+separators,ДАЗКО-1606-9-123,ДАЗкО-(1606-9-123+++1606-9-123+++1606-9-123),fs,40b311ca-60ef-4455-aac8-c47ec6c9a3f8,9d3009bb-14de-4a07-ae35-0cf9a2b02262,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127946309
file,R0 norm+separators,ДАЗКО-1606-9-124,ДАЗкО-(1606-9-124+++1606-9-124+++1606-9-124),fs,d44cf818-aaf4-4e1d-afca-68d795a7b395,9c1889a4-91ba-4472-ad4c-03f5fac35fe7,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127946096
file,R0 norm+separators,ДАЗКО-1606-9-125,ДАЗкО-(1606-9-125+++1606-9-125+++1606-9-125),fs,6f2cf6ad-dafa-4e7b-b42a-93fe27fb7376,f8868764-35aa-44e5-b10b-1d08e08a2dbe,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127946236
file,R0 norm+separators,ДАЗКО-1606-9-126,ДАЗкО-(1606-9-126+++1606-9-126+++1606-9-126),fs,e3634f82-d226-40ed-8a90-d471d6647f89,ea18f120-2aba-41df-9716-d06daccd6faf,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945945
file,R0 norm+separators,ДАЗКО-1606-9-127,ДАЗкО-(1606-9-127+++1606-9-127+++1606-9-127),fs,f18185ca-c2a7-4cac-8583-b77ce69ad664,d31f22b7-6df6-4f39-88d8-ed06e133a680,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945916
file,R0 norm+separators,ДАЗКО-1606-9-128,ДАЗкО-(1606-9-128+++1606-9-128+++1606-9-128),fs,731ed5b4-cd0a-4d07-9d3f-d69c7252daa9,aba4de68-020b-4fe3-ade6-c34c2ed72919,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945816
file,R0 norm+separators,ДАЗКО-1606-9-129,ДАЗкО-(1606-9-129+++1606-9-129+++1606-9-129),fs,0a8243e7-67ab-46e2-a3e0-da4fd50ae943,b7bb4d4a-004a-41f9-975d-9fc85ceff381,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127947239
file,R0 norm+separators,ДАЗКО-1606-9-130,ДАЗкО-(1606-9-130+++1606-9-130+++1606-9-130),fs,4a549ce2-51a7-4871-ae71-3aa636b5d0f6,3d1454da-8b1d-421b-8257-d2b5ac5684aa,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127947198
