full_code,files,title,fond_title
ДАКО-П10398-13715,0,"","Первинна організація Компартії України середньої школи, смт. Ставище Київська об"
ДАКО-П10399-13716,0,Опис 13716,"Комітет ЛКСМ України виробничого швейного об'єднання ""Спецодяг"", м. Переяслав-Хм"
ДАКО-П104-1582,0,Опис 1582,Первинна організація КП/б/України Київської обласної контори «Головм'ясомолзбут»
ДАКО-П10405-13728,0,"",Первинна організація Компартії України автотранспортного підприємтсва № 4 тресту
ДАКО-П10408-13733,0,Опис 13733,"Київський окружний комітет КП(б)України, м. Київ"
ДАКО-П10409-13734,0,"",Липовецький повітовий комітет ЛКСМ України
ДАКО-П10418-13737,0,"",Первинна організація Компартії України науково-дослідного інституту редукторбуду
ДАКО-П10424-13738,0,Опис 13738,"Первинна організація Компартії України тресту ""Київшляхбуд № 2"" Міністерства буд"
ДАКО-П10427-13741,0,Опис 13741,Первинна організація Компартії України центрального конструкторського бюро завод
ДАКО-П10428-13742,0,"",Комітет ЛКСМ України Київського інституту народного господарства ім. Д.С.Коротче
ДАКО-П10429-13743,0,"","Первинна організація Компартії України інституту філософії Академії наук УРСР, П"
ДАКО-П10430-13744,0,"","Первинна організація Компартії України інституту літератури Академії наук УРСР, "
ДАКО-П10435-13745,0,"",Первинна організація КП України виконкому Броварської міської Ради депутатів тру
ДАКО-П10445-13746,0,"","Первинна організація Компартії України Комарівської меблевої фабрики, Макарівськ"
ДАКО-П10453-13747,0,"","Партійний комітет радгоспу ім. Ілліча, с. Бишів Макарівський район Київська обла"
ДАКО-П10454-13748,0,"","Первинна організація Компартії України Ніжиловицького лісництва, Макарівський ра"
ДАКО-П10462-13749,0,Опис 13749,"Первинна організація Компартії України редакції газети ""Ленінські заповіти"", м. "
ДАКО-П10469-13750,0,"","Первинна організація Компартії України ліспгоспзагу, Богуславський район Київськ"
ДАКО-П10470-13751,0,"","Первинна організація Компартії України редакції районної газети ""Радянське поліс"
ДАКО-П10473-13752,0,"",Первинна організація Компартії України Центрального державного архівуЖовтневої р
ДАКО-П10476-13753,0,"",Комітет ЛКСМ України будівельного технікуму Міністерства промислововго будівницт
ДАКО-П10477-13754,0,"",Первинна організація Компартії України Краснослобідського відгодівельного радгос
ДАКО-П10483-13755,0,"",Комітет ЛКСМ України ударної комсомольської будови Київської теплоелектростанції
ДАКО-П10484-13756,0,"",Комітет ЛКСМ України Київського державного інституту культури ім. О. Є. Корнійчу
ДАКО-П10485-13757,0,"",Комітет ЛКСМ України Білоцерківського виробничого об'єднання шин і гумо-азбестов
ДАКО-П10486-13758,0,Опис 13758,Первинна організація Компартії України Українського республіканського центру мет
ДАКО-П10487-13759,0,Опис 13759,Первинна організація Компартії України інституту теоретичної фізики Академії нау
ДАКО-П10488-13760,0,"","Партійний комітет інституту ядерних досліджень Академії наук УРСР, Московський р"
ДАКО-П10491-13761,0,"","Первинна організація Компартії України народного суду, Печерський район м. Київ"
ДАКО-П10492-13762,0,"",Первинна організація Компартії України Українського філіалу науково-дослідного і
ДАКО-П10493-13763,0,"","Первинна організація Компартії України тресту ""Київсільбуд"" Міністерства сільськ"
ДАКО-П10494-13764,0,Опис 13764,Первинна організація Компартії України автотранспортного підприємтсва № 6 тресту
ДАКО-П10495-13765,0,"","Партійний комітет будівництва Київської теплоелектроцентралі № 5, Печерський рай"
ДАКО-П10496-13766,0,Опис 13766,Первинна організація Комартії України будівельно-монтажного управління № 1 трест
ДАКО-П10497-13767,0,Опис 13767,Первинна організація Компартії України Васильківського дослідно-експериментально
ДАКО-П10502-13768,0,Опис 13768,"Опис 1. Комітет ЛКСМ України Немішаєвського радгоспу-технікуму, Бородянський рай"
ДАКО-П10510-13769,0,"",Первинна організація Компартії України виконкому Вишгородської міскої Ради народ
ДАКО-П10511-13770,0,"","Первинна організація Крмпартії України рибоколгоспу ім. Чапаєва, с. Лютіж Вишгор"
ДАКО-П10514-13771,0,"","Первинна організація КП(б)України дирекції газопроводу ""Дашава-Київ"", який будує"
ДАКО-П10516-13772,0,"","Первинна організація КП(б)України ОСМТ-305, Ленінський район м. Київ"
ДАКО-П10517-13773,0,"","Первинна організація КП(б)України тресту ""Укршляхміст"", Ленінський район м. Київ"
ДАКО-П10519-13774,0,Опис 13774,"Первинна організація КП(б)України міськради Осовіахіму, Ленінський район м. Київ"
ДАКО-П10520-13775,0,Опис 13775,"Первинна організація КП(б)України управління табору № 62 НКВС СРСР, Ленінський р"
ДАКО-П10521-13776,0,"","Первинна організація КП(б)України Управління № 7 ОСМЧ-104, Ленінський район м. К"
ДАКО-П10522-13777,0,"","Первинна організація КП(б)України будівництва № 1 НКПС, Ленінський район м. Київ"
ДАКО-П10528-13778,0,"","Комітет ЛКСМ України будівництва Трипільської ГРЕС, Обухівський район Київська о"
ДАКО-П10529-13779,0,"","Партійний комітет управління будівництва Чорнобильської атомної електростанції, "
ДАКО-П10530-13780,0,"","Первинна організація Компартії України Заліської середньої школи, Чорнобильський"
ДАКО-П10531-13781,0,Опис 13781,"Первинна організація Компартії України Прип'ятської середньої школи, смт. Прип'я"
ДАКО-П10532-13782,0,"",Первинна організація Компартії України пересуваної механізованої колони № 4 трес
ДАКО-П10541-13783,0,Опис 13783,Первинна організація КомпартіїУкраїни Боярської лісодослідної станції Українсько
ДАКО-П10543-13784,0,"","Первинна організація Компартії України науково-виробничого об'єднання ""Укрхарчоп"
