online_copy_id,seg,fond,inv,file,file_id,inventory_id
50970851-9bd7-480e-82ce-0c6ff2f9245b,2013_1_1019,2013,1,1019,96c5b9b9-d2af-49c7-a4ba-a4e230622f14,
b264766b-89a5-4447-a3c1-2b3164d60201,2013_1_102,2013,1,102,0e9784bc-32c4-4206-9392-0d9d1308560f,
53623f96-f588-48ce-a7da-bcb202aed661,2013_1_1020,2013,1,1020,53e86589-a205-4c28-a6dd-03fb9176a12e,
05669ed8-1532-40b7-9dc0-9b179f5d07d1,2013_1_1021,2013,1,1021,d45a7c72-b1d6-47d8-b3d1-6ee7ea477942,
53558ceb-678f-4c7e-bf92-f7017b375140,2013_1_1022,2013,1,1022,82149c78-28c4-489b-9343-f61b80a0002f,
e17cfa95-9923-422d-bd99-6553ee33ee4c,2013_1_1023,2013,1,1023,a4e8e24d-8e15-4db5-b8b2-652532f6a129,
e501b6ce-8b30-4414-b5cb-99a61a2323bc,2013_1_1024,2013,1,1024,526030a2-cd03-44c3-83d4-1fc87e29695f,
0cb56f16-eaa3-44cd-858b-7e96e3992780,2013_1_1025,2013,1,1025,4f288f81-88f7-40a6-9548-c56b2b3ef33b,
8b4c86af-45fc-450a-ae2b-f07956a75bd6,2013_1_1026,2013,1,1026,0cae9751-1e72-4244-8268-9931bb7f8731,
ede34265-45eb-42b5-bd7d-618e62dec352,2013_1_1027,2013,1,1027,8845bdac-389c-4463-82c0-e583bbe39a87,
2204084c-ba30-41b4-af36-c0665a34245d,2013_1_1028,2013,1,1028,712289db-b1a9-46dd-a4df-3f99d57d6345,
0a771465-15ab-4a67-af5c-879bc9067db4,2013_1_1029,2013,1,1029,47af22c0-f2fa-4d26-985a-22a17976c252,
211e908b-54ff-4fb3-aa43-3e0204c02551,2013_1_103,2013,1,103,f6cbcd37-df4f-4c52-81c8-675727934e7f,
d59d0e4a-0074-4d06-9451-7008bbe3d92f,2013_1_1030,2013,1,1030,878bbdb2-0976-47c4-a2f7-10afaf11bd0f,
3b2891d4-b0c8-41ba-8093-0ebedcac2974,2013_1_1031,2013,1,1031,4e4a4e47-2b77-4426-9b08-357624e3b670,
321f03a5-b2e9-46a4-9833-c1696d7b2e1b,2013_1_1032,2013,1,1032,b81a871f-e4d7-496f-8b52-bf69741e5c38,
f7cc5e89-d3c6-4a56-9474-c4847426b0b8,2013_1_1033,2013,1,1033,3e879da1-953d-48ed-8245-92ebf2b0f9be,
bfeae159-8854-45b1-8806-2c5a2fc2fb71,2013_1_1034,2013,1,1034,18af5d4a-4cdf-4997-862e-9c5e895803fc,
73ab6366-7968-4e73-8795-152da5985548,2013_1_1035,2013,1,1035,2966ae58-4fea-4e3b-a513-5c1cf93ef477,
b0794674-464c-4b05-a909-c6e741a2494a,2013_1_1036,2013,1,1036,9d730c81-88cf-4a0b-9a2a-f99dec1587d0,
27b41897-6e9e-4b23-a194-a6063a1c892e,2013_1_1037,2013,1,1037,548a3e26-1f6a-49ec-ab32-dd1c1e54d704,
9d2515f7-2814-4721-b4d6-e9916f175489,2013_1_1038,2013,1,1038,254ab4b9-a952-4874-87b3-760a23445ff0,
9f53e215-ddd4-410b-8a52-f62d6b347bc8,2013_1_1039,2013,1,1039,ed8a295c-7901-4a0c-b705-4f7a6470267c,
2e502e52-22c5-4616-8ee4-6d97552033cb,2013_1_104,2013,1,104,923aa1d6-799f-4799-8d65-d76337ab5fd5,
88bbd5ca-908d-4dab-85f1-4e643df81c88,2013_1_1040,2013,1,1040,22f50114-3bc3-4947-b919-bd60db7a629b,
5007c206-ec9b-4160-9acf-c7ddaaff39c8,2013_1_1041,2013,1,1041,87ce928a-4a3b-4116-aebc-58c33dd9797a,
