online_copy_id,file_id,inv_code,sprava,parsed
fdf132c4-d38d-4077-9c71-a4b0ebc95e4c,4b5e5f7c-efa6-4ef5-892f-13429034a45a,14ДОД,9,ДАДнО-(Р-6508-14дод.-9+++Р-6508-14дод.-9+++Р-6508-14-дод.9_1920-1933)
478f66d9-1576-4754-9d3a-37bf40e873f4,29463bfb-5106-41fe-ad87-b04f1283d273,1ДОД,1,ДАДнО-(Р-6508-1дод.-1+++Р-6508-1дод.-1+++Р-6508-1дод.-1_1927-1933)
de2628f9-7924-49f9-9c15-714f290be193,5f6ed985-4cde-49ac-980d-b955657ea885,1ДОД,2,ДАДнО-(Р-6508-1дод.-2+++Р-6508-1дод.-2+++Р-6508-1дод.-2)
01476459-41f0-4216-bcae-2a9939c18eb6,fe883a0f-40cb-4fe4-838e-907ee62c6a03,1ДОД,3,ДАДнО-(Р-6508-1дод.-3+++Р-6508-1дод.-3+++Р-6508-1дод.-3_1929-1933)
18454489-1588-4d83-803a-326876aa1c76,2f1f52a1-fa43-425c-9fe4-214d2301ebab,1ДОД,4,ДАДнО-(Р-6508-1дод.-4+++Р-6508-1дод.-4+++Р-6508-1дод.-4)
2b00ebdf-a5c1-4e74-908c-6f6c2d41e8b5,8434a7fa-2ce1-45b5-8a0c-297658cd5a7e,1ДОД,6,ДАДнО-(Р-6508-1дод.-6+++Р-6508-1дод.-6+++Р-6508-1дод.-6)
84e1a8eb-c577-4ab0-817f-a463c054d2e6,2790bc4a-647c-42d8-b240-0d9c60a75b8c,20ДОД,13,ДАДнО-(Р-6508-20дод.-13+++Р-6508-20дод.-13+++Р-6508-20дод.-13_1926-1929)
f2697f6e-8adf-429f-85b2-cd9ee0d11f14,41a09fe9-fe01-4dae-b586-b9c56a1be54e,20ДОД,17,ДАДнО-(Р-6508-20дод.-17+++Р-6508-20дод.-17+++Р-6508-20дод.-17_1927-1942)
b1ba7708-9851-4135-8e3a-73d6d2f691c3,0b37bee8-6e4c-482a-b731-f0a6f0a2e35a,20ДОД,20,ДАДнО-(Р-6508-20дод.-20+++Р-6508-20дод.-20+++Р-6508-20дод.-20)
ba70eb55-9a73-4a4c-b443-8b84f820cfdd,61fe5650-31f3-438b-a9c0-dddcf14fbe7e,20ДОД,24,ДАДнО-(Р-6508-20дод.-24+++Р-6508-20дод.-24+++Р-6508-20дод.-24)
e1724779-50ff-4182-a241-349999e32a5f,7898d757-9f5c-45e0-a238-6509133a99ad,20ДОД,30,ДАДнО-(Р-6508-20дод.-30+++Р-6508-20дод.-30+++Р-6508-20дод.-30)
8c779f5b-93f3-4a61-b414-ce9fbea28a57,c796ccf2-0d29-40c3-a349-8865ea5dac18,20ДОД,31,ДАДнО-(Р-6508-20дод.-31+++Р-6508-20дод.-31+++Р-6508-20дод.-31)
a5cf67e3-3ee4-453b-8f75-983f5d2c8776,1a569377-1fbb-42bd-b30f-7bc9fcb8d660,20ДОД,34,ДАДнО-(Р-6508-20дод.-34+++Р-6508-20дод.-34+++Р-6508-20дод.-34)
690f6b69-808b-422a-9581-2adce1f7b9fe,3d14aeef-ecab-42b4-89c2-3ba1df29e43f,20ДОД,36,ДАДнО-(Р-6508-20.дод-36+++Р-6508-20.дод-36+++Р-6508-20.дод-36)
1bd37df3-aae2-4052-a18c-b1d538eb986f,45e53a3b-ec08-4b89-82ec-806afc2a2e1c,20ДОД,39,ДАДнО-(Р-6508-20.дод-39+++Р-6508-20.дод-39+++Р-6508-20.дод-39)
7d230585-76cd-4b82-9571-57f7c29be76c,74eba829-5e8f-4216-b8fb-e24e7f69fb48,20ДОД,42,ДАДнО-(Р-6508-20дод.-42+++Р-6508-20дод.-42+++Р-6508-20дод.-42)
6b44512d-5c4b-4a21-b819-e95ede20ac5b,273cc3b6-2384-4c47-a883-6432949df79c,20ДОД,8,ДАДнО-(Р-6508-20дод.-8+++Р-6508-20дод.-8+++Р-6508-20дод.-8)
14b7326f-4ef7-4754-848f-74abda061a5c,ac71cfef-d699-4585-b935-1cfd853312d1,23ДОД,2,ДАДнО-(Р-6508-23дод.-2+++Р-6508-23дод.-2+++Р-6508-23дод.-2)
0de4f90e-872e-4f4e-8719-6df0e0cb4d97,d336e62d-ae76-47ba-a617-2d42feb7a118,24ДОД,2,ДАДнО-(Р-6508-24дод.-2+++Р-6508-24дод.-2+++Р-6508-24дод.-2_1927)
c706b8a8-8d6d-4b64-ba94-ce58238eb2f9,bab2721a-59bf-4e66-ab13-0e8bf15053db,24ДОД,5,"ДАДнО-(Р-6508-24дод.-5+++Р-6508-24дод.-5+++Р-6508-24дод.-5_1930-1931,1934)"
36a0a936-de54-461a-a134-d66709e58669,adc414e8-5588-48d3-85e6-c5e60c749542,25ДОД,10,ДАДнО-(Р-6508-25-дод.10+++Р-6508-25-дод.10+++Р-6508-25-дод.10)
b9f474e4-3386-496f-a16f-483f0ce713f1,44092dbb-db9d-42bf-bf8b-81f4281c5217,25ДОД,13,ДАДнО-(Р-6508-25-дод.13+++Р-6508-25-дод.13+++Р-6508-25-дод.13)
595586bf-c4b1-481e-a2b6-83b8b7fefd31,b64b8125-dc0f-4054-be02-7e4cb64f87d2,25ДОД,3,"ДАДнО-(Р-6508-25-дод.3+++Р-6508-25-дод.3+++Р-6508-25-дод.3_1924,1931-1933)"
5bd3b985-2d7a-4e84-afe7-7ee8d24284ba,c0e5f5ff-f766-472b-aca4-41d6c15c2956,25ДОД,4,ДАДнО-(Р-6508-25-дод.4+++Р-6508-25-дод.4+++Р-6508-25-дод.4)
794e011f-8c25-4cf7-a49d-1e4b27217418,8e0e7182-a0c1-4c51-8319-b01b83808fff,25ДОД,5,ДАДнО-(Р-6508-25-дод.5+++Р-6508-25-дод.5+++Р-6508-25-дод.5_1926-1933)
866b70ec-f3fb-4f1f-a52f-2252d7b95b5d,9ca41b11-9de2-46d5-8045-79b9b10dd64f,26ДОД,1,ДАДнО-(Р-6508-26-дод.1+++Р-6508-26-дод.1+++Р-6508-26-дод.1)
91ba573b-028b-4621-9e56-0f6afa636d97,024637b0-9c64-49e8-9ab9-2f1153f8b1e3,26ДОД,2,ДАДнО-(Р-6508-26-дод.2+++Р-6508-26-дод.2+++Р-6508-26-дод.2)
6732c299-665e-4903-8310-b9bb3cfab104,4a70685b-1d61-44a4-933e-21dbd6e25c19,26ДОД,3,ДАДнО-(Р-6508-26дод.-3+++Р-6508-26дод.-3+++Р-6508-26дод.-3)
042c8f49-2d64-48fa-99ba-64b2e15cec59,4765fa1d-1b4b-4b69-b2f1-0a6d98329706,27,141,ДАДнО-(Р-6508--27-141+++Р-6508--27-141+++Р-6508--27-141)
47345bff-12d9-43a4-b096-c96ce32850c2,e7d16eef-4578-4ad7-8186-46f1cf79435d,27,29,ДАДнО-(Р-6508--27-29+++Р-6508--27-29+++Р-6508-27-29_1923-1924)
a4bff918-af73-4e9f-97da-b83fc8986a6c,3367180a-af09-4074-bc8c-dc0b1eecd33e,27ДОД,1,ДАДнО-(Р-6508-27-дод.1+++Р-6508-27-дод.1+++Р-6508-27-дод.1)
a82364aa-02dd-4c71-934e-53b904825abd,6e32ca49-f12f-4486-81cb-1d76748ed1b9,27ДОД,10,ДАДнО-(Р-6508-27-дод.10+++Р-6508-27-дод.10+++Р-6508-27-дод.10_1924-1932)
fd17d62d-c6ca-453c-a857-534248fa62ec,0d32ab55-b37b-4032-a0e8-5ffa8aff8285,27ДОД,14,ДАДнО-(Р-6508-27-дод.14+++Р-6508-27-дод.14+++Р-6508-27-дод.14_1924-1933)
215e51d4-e4d9-4d42-bfbb-02fd5e6076fe,e9afe049-b1bb-4f58-937c-18fe86f47f3a,27ДОД,16,ДАДнО-(Р-6508-27-дод.16+++Р-6508-27-дод.16+++Р-6508-27-дод.16)
ece20f97-6d1c-4bed-9c8e-0f31bd9c897e,46befa69-1bee-45fa-85ae-4f92a4da6cb6,27ДОД,17,ДАДнО-(Р-6508-27-дод.17+++Р-6508-27-дод.17+++Р-6508-27-дод.17)
157c8aa3-e813-4533-add1-04ca3d9af06e,25b63402-f51f-4642-b572-52dc120f0753,27ДОД,19,ДАДнО-(Р-6508-27-дод.19+++Р-6508-27-дод.19+++Р-6508-27-дод.19)
13039a14-f194-4bb5-8d28-6fbfccf0ca3a,d6192d5f-989e-4eb4-be8d-89750c6e992c,27ДОД,23,ДАДнО-(Р-6508-27-дод.23+++Р-6508-27-дод.23+++Р-6508-27-дод.23)
7772c69b-f997-4ef1-912c-0a160c03f257,8d76b33e-ec70-463e-8a4d-b70f4463ba34,27ДОД,25,ДАДнО-(Р-6508-27-дод.25+++Р-6508-27-дод.25+++Р-6508-27-дод.25)
9054e1f3-cdf2-436f-9440-f98ed19d8d93,47808aa3-3219-4ef8-b4fa-b2b687dbdb79,27ДОД,26,ДАДнО-(Р-6508-27-дод.26+++Р-6508-27-дод.26+++Р-6508-27-дод.26_1925-1933)
26dbf756-f2ee-4685-9041-27330565b1f0,f939e4d8-3e5b-49f5-8548-9716ace881c9,27ДОД,34,ДАДнО-(Р-6508-27-дод.34+++Р-6508-27-дод.34+++Р-6508-27-дод.34)
057f5173-b830-4c9a-a844-04e6c56d235f,51744cc1-2876-40c5-8d32-131eb4e61392,27ДОД,36,ДАДнО-(Р-6508-27-дод.36+++Р-6508-27-дод.36+++Р-6508-27-дод.36)
8cc32fa2-4c57-47ea-8e75-9f1dc42e643d,9976cff6-c6c1-4244-87cf-08477dc17133,27ДОД,39,ДАДнО-(Р-6508-27-дод.39+++Р-6508-27-дод.39+++Р-6508-27-дод.39)
eea2e53c-bbb3-45b6-9d2a-5ef26f339ebc,0401e57e-f101-4b95-adce-b315fd926ca2,27ДОД,4,ДАДнО-(Р-6508-27-дод.4+++Р-6508-27-дод.4+++Р-6508-27-дод.4)
936b43db-e3ba-4a3d-af26-81f7f8abe261,89b86e6c-cb7f-4c8c-af38-ddbaaf46ed2c,27ДОД,42,ДАДнО-(Р-6508-27-дод.42+++Р-6508-27-дод.42+++Р-6508-27-дод.42)
