54	1	19		1914-1916		1	Успенська церква Донської духовної консисторії, сл. Макіївка Макіївської волості Міуського, з 1887 р. – Таганрозького округу Області Війська Донського
54	1	20	Метрична книга. Успенська церква, слоб. Макіївка Макіївської вол.	1915-1915	метрична книга|народження|смерть|шлюб	2	Успенська церква Донської духовної консисторії, сл. Макіївка Макіївської волості Міуського, з 1887 р. – Таганрозького округу Області Війська Донського | Успенська церква, слоб. Макіївка Макіївська волость
54	1	21	Метрична книга. Успенська церква, слоб. Макіївка Макіївської вол.	1916-1916	метрична книга|народження|смерть|шлюб	0	Успенська церква Донської духовної консисторії, сл. Макіївка Макіївської волості Міуського, з 1887 р. – Таганрозького округу Області Війська Донського | Успенська церква, слоб. Макіївка Макіївська волость
54	1	22	Метрична книга. Успенська церква, слоб. Макіївка Макіївської вол.	1917-1917	метрична книга|народження|смерть|шлюб	0	Успенська церква Донської духовної консисторії, сл. Макіївка Макіївської волості Міуського, з 1887 р. – Таганрозького округу Області Війська Донського | Успенська церква, слоб. Макіївка Макіївська волость
54	1	23	Метрична книга. Успенська церква, слоб. Макіївка Макіївської вол.	1918-1918	метрична книга|народження|смерть|шлюб	0	Успенська церква Донської духовної консисторії, сл. Макіївка Макіївської волості Міуського, з 1887 р. – Таганрозького округу Області Війська Донського | Успенська церква, слоб. Макіївка Макіївська волость
54	1	24	Метрична книга. Успенська церква, слоб. Макіївка Макіївської вол.	1919-1919	метрична книга|народження|смерть|шлюб	0	Успенська церква Донської духовної консисторії, сл. Макіївка Макіївської волості Міуського, з 1887 р. – Таганрозького округу Області Війська Донського | Успенська церква, слоб. Макіївка Макіївська волость
74	1	17	Метрична книга. Троїцька церква, слоб. Грабове	1895-1896	метрична книга|шлюб	0	Троїцька церква, слоб. Грабове
76	1	5	Метрична книга. Казанська церква, с. Андріївка-Клєвцове Андріївської вол. Маріупольськогопов.	1845-1845	метрична книга|народження|смерть|шлюб	0	Казанська церква, с. Андріївка-Клєвцове Андріївська волость Маріупольський повіт
76	1	6	Метрична книга. Казанська церква, с. Андріївка-Клєвцове Андріївської вол. Маріупольськогопов.	1847-1853	метрична книга|народження|смерть|шлюб	0	Казанська церква, с. Андріївка-Клєвцове Андріївська волость Маріупольський повіт
76	1	7	Метрична книга. Казанська церква, с. Андріївка-Клєвцове Андріївської вол. Маріупольськогопов.	1854-1860	метрична книга|народження|смерть|шлюб	2	Казанська церква, с. Андріївка-Клєвцове Андріївська волость Маріупольський повіт
76	1	8	Метрична книга. Казанська церква, с. Андріївка-Клєвцове Андріївської вол. Маріупольськогопов.	1861-1870	метрична книга|народження|смерть|шлюб	0	Казанська церква, с. Андріївка-Клєвцове Андріївська волость Маріупольський повіт
76	1	9	Метрична книга. Казанська церква, с. Андріївка-Клєвцове Андріївської вол. Маріупольськогопов.	1871-1879	метрична книга|народження|смерть|шлюб	1	Казанська церква, с. Андріївка-Клєвцове Андріївська волость Маріупольський повіт
76	1	10	Метрична книга. Казанська церква, с. Андріївка-Клєвцове Андріївської вол. Маріупольськогопов.	1880-1883	метрична книга|народження|смерть|шлюб	2	Казанська церква, с. Андріївка-Клєвцове Андріївська волость Маріупольський повіт
76	1	11	Метрична книга. Казанська церква, с. Андріївка-Клєвцове Андріївської вол. Маріупольськогопов.	1884-1888	метрична книга|народження|смерть|шлюб	1	Казанська церква, с. Андріївка-Клєвцове Андріївська волость Маріупольський повіт
76	1	12	Метрична книга. Казанська церква, с. Андріївка-Клєвцове Андріївської вол. Маріупольськогопов.	1889-1893	метрична книга|народження|смерть|шлюб	2	Казанська церква, с. Андріївка-Клєвцове Андріївська волость Маріупольський повіт
76	1	13	Метрична книга. Казанська церква, с. Андріївка-Клєвцове Андріївської вол. Маріупольськогопов.	1897-1900	метрична книга|народження|смерть|шлюб	1	Казанська церква, с. Андріївка-Клєвцове Андріївська волость Маріупольський повіт
76	1	14	Метрична книга. Казанська церква, с. Андріївка-Клєвцове Андріївської вол. Маріупольськогопов.	1901-1904	метрична книга|народження|смерть|шлюб	2	Казанська церква, с. Андріївка-Клєвцове Андріївська волость Маріупольський повіт
76	1	15	Метрична книга. Казанська церква, с. Андріївка-Клєвцове Андріївської вол. Маріупольськогопов.	1905-1908	метрична книга|народження|смерть|шлюб	1	Казанська церква, с. Андріївка-Клєвцове Андріївська волость Маріупольський повіт
76	1	16	Метрична книга. Казанська церква, с. Андріївка-Клєвцове Андріївської вол. Маріупольськогопов.	1909-1912	метрична книга|народження|смерть|шлюб	1	Казанська церква, с. Андріївка-Клєвцове Андріївська волость Маріупольський повіт
76	1	17	Метрична книга. Казанська церква, с. Андріївка-Клєвцове Андріївської вол. Маріупольськогопов.	1913-1915	метрична книга|народження|смерть|шлюб	1	Казанська церква, с. Андріївка-Клєвцове Андріївська волость Маріупольський повіт
