164				1	1
165	Хімічний завод товариства Південно-Російської кам’яновугільної промисловості, сел. Горлівка Бахмутського повіту Катеринославської губернії			0	0
167	Гірничопромислове і торговельне акціонерне товариство Е. П. Шредера, сел. Мушкетове Макіївської волості Таганрозького округу Області Війська Донського			0	0
168	Інспектор народних училищ Бахмутського повіту, м. Бахмут Бахмутського повіту Катеринославської губернії			0	0
170	Колекція документів акціонерних товариств Донбасу, вилучених із сейфів Харківських банків			0	0
171	Вургафт Давид Борисович – інженер-металург			1	1
172	Пристав заводів “Російський Провіданс” і Нікополь-Маріупольського товариства, ст. Сартана Маріупольського повіту Катеринославської губернії			0	0
173	Окружний інженер Макіївського гірничого округу, сел. Дмитрієвськ Макіївської волості Таганрозького округу Області Війська Донського			0	0
174	Краматорське металургійне товариство, ст. Краматорська Харківської губернії			0	0
175	Маріупольське відділення Державного банку, м. Маріуполь Маріупольського повіту Катеринославської губернії			0	0
176	Дружківський цукробуряковий і рафінадний завод торгового дому “Мартиніан Борисівський із синами”, ст. Дружківка Бахмутського повіту Катеринославської губернії			0	0
177	Єврейська релігійна громада, м. Сталіно Сталінського округу			0	0
178	Товариство заводу вогнетривких виробів ім. М. А. Ковалевського, м. Часов-Яр Бахмутського повіту Катеринославської губернії			0	0
179	Рудник Рутченково Рутченківського гірничого і промислового товариства, рудник Рутченково Бахмутського повіту Катеринославської губернії			0	0
180	Дебальцівське сільське управління, с. Дебальцевка Григор’ївської (Кривий Ріг) волості Олександрівського повіту Катеринославської губернії			0	0
181	Колекція документів Г. Юдина			0	0
182	Рада управління Катерининської залізниці			0	0
183	Управління будівництва 2-ї Катерининської залізниці			0	0
184	Правління акціонерного товариства кам’яновугільних копалень, с. Григор’ївка-Гришине			0	0
185	Акціонерне товариство Ясинівських антрацитових рудників, ст. Лобовські копальні Катерининської залізниці Донецького басейну			0	0
186	Завод Є. М. Фарке, м. Бахмут Бахмутського повіту Катеринославської губернії			0	0
187	Маріупольський повітовий суд, м. Маріуполь Маріупольського повіту Катеринославського намісництва, з 12.12.1796 – Новоросійської, з 08.10.1802 – Катеринославської губернії, з 31.10.1807 – Таганрозького градоначальства Катеринославської губернії			0	0
188	Покровська церква Катеринославської духовної консисторії, с. Зайцеве . Бахмутського повіту Катеринославської губернії			1	35
189	Вознесенська церква Катеринославської духовної консисторії, с. Государів Байрак Бахмутського повіту Катеринославської губернії			1	37
190	Троїцька церква Новопавлівського благочиння Донської єпархії Донської духовної консисторії, сел. Калинівське Міуського, з 1887 р. – Таганрозького округу Області Війська Донського			1	23
191	Воскресенська церква Харківської духовної консисторії, м. Слов’янськ Ізюмського повіту Харківської губернії			2	52
192	Троїцька церква Харківської духовної консисторії, м. Слов’янськ Ізюмського повіту Харківської губернії			1	48
193	Всесвятська церква Харківської духовної консисторії, м. Слов’янськ Ізюмського повіту Харківської губернії			3	53
194	Миколаївська церква Харківської духовної консисторії, сл. Миколаївка Ізюмського повіту Харківської губернії			1	28
195	Архангело-Михайлівська церква Харківської духовної консисторії, с. Привілля Ізюмського повіту Харківської губернії			1	16
196	Архангело-Михайлівська церква Харківської духовної консисторії, с. Райгородок Ізюмського повіту Харківської губернії			1	13
197	Олександро-Невська церква Харківської духовної консисторії, с. Рай-Олександрівка Ізюмського повіту Харківської губернії			1	19
198	Василівська церква Харківської духовної консисторії, с. Сергіївка Ізюмського повіту Харківської губернії			1	17
199	Василівська церква Харківської духовної консисторії, с. Прелесне Ізюмського повіту Харківської губернії			1	8
200	Церква Іоанна Предтечи Харківської духовної консисторії, с. Знаменка Ізюмського повіту Харківської губернії			1	17
201	Покровська церква Харківської духовної консисторії, с. Маяки Ізюмського повіту Харківської губернії			1	17
202	Покровська церква Харківської духовної консисторії, с. Алисівка Ізюмського повіту Харківської губернії			1	9
203	Церква Преображенська Харківської духовної консисторії, сл. Билбасівка Ізюмського повіту Харківської губернії			1	19
