copy_id,parsed,ref,fond,complex,inv_code,file_code,method
cc6f4a42-461f-4037-a4ff-36b5133f7be7,ЦДНТА-(Р-107-3-36-1-77+++Р-107-3-36-1-77+++Р-107-3-36-1-77),Р-107-3-36-1-77,Р107,3-36,1,77,opys-explicit+outofrange
beba35dd-e8d5-463e-92a6-699c7fd6c9ff,ЦДНТА-(Р-107-3-36-1-79+++Р-107-3-36-1-79+++Р-107-3-36-1-79),Р-107-3-36-1-79,Р107,3-36,1,79,opys-explicit+outofrange
a711eab3-0440-435f-a3ca-b9fa20df9f81,ЦДНТА-(Р-107-3-36-1-87+++Р-107-3-36-1-87+++Р-107-3-36-1-87),Р-107-3-36-1-87,Р107,3-36,1,87,opys-explicit+outofrange
033ee8e7-fd8e-4bbd-99aa-1216587f411f,ЦДНТА-(Р-107-3-36-1-93+++Р-107-3-36-1-93+++Р-107-3-36-1-93),Р-107-3-36-1-93,Р107,3-36,1,93,opys-explicit+outofrange
422a9acf-2dd1-4884-a7bb-119d93ca8699,ЦДНТА-(Р-107-3-36-7-2579+++Р-107-3-36-7-2579+++Р-107-3-36-7-2579),Р-107-3-36-7-2579,Р107,3-36,7,2579,opys-explicit
40fbe248-2cb3-4ea1-931e-d90e8d6b2918,ЦДНТА-(Р-107-3-36-7-2568+++Р-107-3-36-7-2568+++Р-107-3-36-7-2568),Р-107-3-36-7-2568,Р107,3-36,7,2568,opys-explicit
817ef2bf-cf55-42b6-93d0-057c71f7fdbd,ЦДНТА-(Р-107-3-36-7-2620+++Р-107-3-36-7-2620+++Р-107-3-36-7-2620),Р-107-3-36-7-2620,Р107,3-36,7,2620,opys-explicit
5a12f32a-c238-4496-b23f-538fc19dafc6,ЦДНТА-(Р-107-3-36-7-2616+++Р-107-3-36-7-2616+++Р-107-3-36-7-2616),Р-107-3-36-7-2616,Р107,3-36,7,2616,opys-explicit
8ce02636-a5f9-4d4f-879c-bda225213459,ЦДНТА-(Р-107-3-36-7-2622+++Р-107-3-36-7-2622+++Р-107-3-36-7-2622),Р-107-3-36-7-2622,Р107,3-36,7,2622,opys-explicit
6e5e65fe-7b89-4705-9c94-bdfd769be5bc,ЦДНТА-(Р-107-3-36-7-2641+++Р-107-3-36-7-2641+++Р-107-3-36-7-2641),Р-107-3-36-7-2641,Р107,3-36,7,2641,opys-explicit
d401ea08-4cdc-4951-8dec-b259f66787ff,ЦДНТА-(Р-107-3-36-7-2659+++Р-107-3-36-7-2659+++Р-107-3-36-7-2659),Р-107-3-36-7-2659,Р107,3-36,7,2659,opys-explicit
fa7382b6-04d2-4015-8a35-d33d2374c547,ЦДНТА-(Р-107-3-36-3-248+++Р-107-3-36-3-248+++Р-107-3-36-3-248),Р-107-3-36-3-248,Р107,3-36,3,248,opys-explicit
53bdb0a9-0a91-46f5-ada1-d19b75b80f6c,ЦДНТА-(Р-107-3-36-3-276+++Р-107-3-36-3-276+++Р-107-3-36-3-276),Р-107-3-36-3-276,Р107,3-36,3,276,opys-explicit
a1426c98-cf07-4acc-a0df-172033fb8452,ЦДНТА-(Р-107-3-36-6-2335+++Р-107-3-36-6-2335+++Р-107-3-36-6-2335),Р-107-3-36-6-2335,Р107,3-36,6,2335,opys-explicit
c97a118c-4e93-4889-bb6b-b5d142bfb319,ЦДНТА-(Р-107-3-36-6-2338+++Р-107-3-36-6-2338+++Р-107-3-36-6-2338),Р-107-3-36-6-2338,Р107,3-36,6,2338,opys-explicit
43125d6c-fcfb-475f-90f7-cf9e1df5b95e,ЦДНТА-(Р-107-3-36-6-2321+++Р-107-3-36-6-2321+++Р-107-3-36-6-2321),Р-107-3-36-6-2321,Р107,3-36,6,2321,opys-explicit
9c8ab0b1-341f-4045-8543-a9b4986ae7a4,ЦДНТА-(Р-107-3-36-6-2322+++Р-107-3-36-6-2322+++Р-107-3-36-6-2322),Р-107-3-36-6-2322,Р107,3-36,6,2322,opys-explicit
