fond_code,inv_code,page,complex,opys,title,info,year_start,year_end,pdf_urls
Р25,1Ґ,opisi-2,2-65,1,Тепловози,"к. 2-65, од.зб. 1-238",1957,1967,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_1.pdf
Р25,2,opisi-2,2-65,2,Тепловози,"к. 2-65, од.зб. 239-900;901-1601",1960,1965,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_2_239-900.pdf;https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_2_901-1601.pdf
Р25,3,opisi-2,2-65,3,Тепловози,"к. 2-65, од.зб. 1602-2324",1960,1968,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_3.pdf
Р25,4,opisi-2,2-65,4,Тепловози,"к. 2-65, од.зб. 2325-2672",1950,1980,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_4.pdf
Р25,5,opisi-2,2-65,5,Тепловози,"к. 2-65, од.зб. 2673-3027",1955,1978,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_5.pdf
Р25,6,opisi-2,2-65,6,Тепловози,"к. 2-65, од.зб. 3028-3175",1951,1968,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_6.pdf
Р25,7,opisi-2,2-65,7,Тепловози,"к. 2-65, од.зб. 3176-3216",1955,1976,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_7.pdf
Р25,8,opisi-2,2-65,8,Тепловози,"к. 2-65, од.зб. 3217-3251",1959,1963,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_8.pdf
Р25,9,opisi-2,2-65,9,Тепловози,"к. 2-65, од.зб. 3252-3366",1960,1961,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_9.pdf
Р25,10,opisi-2,2-65,10,Тепловози,"к. 2-65, од.зб. 3367-3496",1960,1961,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_10.pdf
Р25,11,opisi-2,2-65,11,Тепловози,"к. 2-65, од.зб. 3497-4459",1961,1969,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_11.pdf
Р25,12,opisi-2,2-65,12,Тепловози,"к. 2-65, од.зб. 4460-4663",1961,1964,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_12.pdf
Р25,13,opisi-2,2-65,13,Тепловози,"к. 2-65, од.зб. 4664-5443",1954,1972,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_13.pdf
Р25,14,opisi-2,2-65,14,Тепловози,"к. 2-65, од.зб. 5444-6504",1953,1959,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_14.pdf
Р45,1А,opisi-2,2-66,1,Вугільні комбайни типу «Донбасс»,"к. 2-66, од.зб. 1-99",1951,1961,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-66_1.pdf
Р45,2А,opisi-2,2-66,2,Вугільні комбайни типу «Донбасс»,"к. 2-66, од.зб. 100-247",1951,1964,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-66_2__2-67_1__2-68_1.pdf
Р45,1Б,opisi-2,2-67,1,Вугільний комбайн «Горняк»,"к. 2-67, од.зб. 1-34",1951,1955,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-66_2__2-67_1__2-68_1.pdf
Р45,1В,opisi-2,2-68,1,"Клітьовий комплекс Всесвітньої виставки, м. Брюссель","к. 2-68, од.зб. 1-81",1957,1957,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-66_2__2-67_1__2-68_1.pdf
Р60,1,opisi-2,2-69,1,Установка для виробництва труб із поліетилену на базі черв’ячного преса 4 ВПТР-160,"к. 2-69, од.зб. 1-115",1964,1975,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-69_1.pdf
Р63,1,opisi-2,2-70,1,Лінія для виготовлення труб,"к. 2-70, од.зб. 1-240",1964,1977,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-70_1.pdf
Р60,2,opisi-2,2-70,2,Лінія для виготовлення труб,"к. 2-70, од.зб. 241-287",1966,1973,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-70_2.pdf
Р60,3,opisi-2,2-70,3,Лінія для виготовлення труб,"к. 2-70, од.зб. 288-383",1979,1987,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-70_3.pdf
Р60,4,opisi-2,2-70,4,Лінія для виготовлення труб,"к. 2-70, од.зб. 384-411",1983,1985,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-70_4.pdf
Р14,1,opisi-2,2-71,1,"Устаткування для виїмки, підіймання та збагачення вугілля","к. 2-71, од.зб. 1-206",1956,1972,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-71_1.pdf
Р50,1Є,opisi-2,2-72,1,Безперервний широкосмуговий стан-2000,"к. 2-72, од.зб. 1-274",1950,1980,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-72_1.pdf
Р50,1Ж,opisi-2,2-73,1,Екскаватор ЭВГ-3565М,"к. 2-73, од.зб. 1-86",1965,1980,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-73_1.pdf
Р23,1А,opisi-2,2-74,1,Високомоментний секційний радіально-плунжерний гідромотор ВГД-630 м,"к. 2-74, од.зб. 1-19",1965,1968,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-74_1__2-75_1__2-76_1__2-77_1.pdf
Р23,1Б,opisi-2,2-75,1,Насоси,"к. 2-75, од.зб. 1-6",1934,1941,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-74_1__2-75_1__2-76_1__2-77_1.pdf
Р23,1В,opisi-2,2-76,1,Вентилятори,"к. 2-76, од.зб. 1-7",1929,1939,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-74_1__2-75_1__2-76_1__2-77_1.pdf
Р23,1Г,opisi-2,2-77,1,Компресори,"к. 2-77, од.зб. 1-13",1929,1941,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-74_1__2-75_1__2-76_1__2-77_1.pdf
Р64,1,opisi-2,2-78,1,"Комбайни для збирання буряків СПГ-1, СКД-3 і КС-3","к. 2-78, од.зб. 1-126",1948,1980,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-78_1.pdf
Р64,2,opisi-2,2-78,2,"Комбайни для збирання буряків СПГ-1, СКД-3 і КС-3","к. 2-78, од.зб. 127-149",1963,1975,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-78_2.pdf
Р64,3,opisi-2,2-78,3,"Комбайни для збирання буряків СПГ-1, СКД-3 і КС-3","к. 2-78, од.зб. 150-240",1950,1978,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-78_3.pdf
Р63,1А,opisi-2,2-79,1,Агрегат для виготовлення плівки з поліетилену на базі черв’ячного преса Ø 63 мм,"к. 2-79, од.зб. 1-61",1965,1974,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-79_1.pdf
Р44,1А,opisi-2,2-80,1,Свердлувально-фрезерувальний верстат із програмним керуванням моделі ОФ-11,"к. 2-80, од.зб. 1-22",1963,1964,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-80_1.pdf
Р73,1,opisi-2,2-81,1,Електронограф ЭР-100,"к. 2-81, од.зб. 1-116",1964,1979,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-81_1.pdf
Р73,1А,opisi-2,2-82,1,Лупа часу ЛВ-03,"к. 2-82, од.зб. 1-132",1961,1982,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-82_1.pdf
Р74,1,opisi-2,2-83,1,Електродвигун асинхронний АКН-14-49-12,"к. 2-83, од.зб. 1-40",1947,1982,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-83_1__2-84_1__2-85_1.pdf
Р74,1А,opisi-2,2-84,1,Електродвигун синхронний МС-321-6/6,"к. 2-84, од.зб. 1-7",1947,1970,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-83_1__2-84_1__2-85_1.pdf
Р74,1Б,opisi-2,2-85,1,Двигун сталого струму типу ПБК 380/125,"к. 2-85, од.зб. 1-33",1948,1972,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-83_1__2-84_1__2-85_1.pdf
Р74,1В,opisi-2,2-86,1,Електродвигун сталого струму типу ПБКЭ 285/135,"к. 2-86, од.зб. 1-26",1945,1982,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-86_1__2-87_1__2-88_1.pdf
Р74,1Г,opisi-2,2-87,1,Електродвигун сталого струму типу ПБК 250/145,"к. 2-87, од.зб. 1-35",1945,1972,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-86_1__2-87_1__2-88_1.pdf
Р74,1Ґ,opisi-2,2-88,1,Генератор сталого струму типу 2ПГК 120/50,"к. 2-88, од.зб. 1-46",1950,1981,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-86_1__2-87_1__2-88_1.pdf
Р21,1Ґ,opisi-2,2-89,1,Бурякозбиральний комбайн СКН-2,"к. 2-89, од.зб. 1-41",1964,1969,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-89_1.pdf
Р77,1,opisi-2,2-90,1,Автоматизація об’єкта № 730/193,"к. 2-90, од.зб. 1-113",1955,1965,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-90_1.pdf
Р77,1А,opisi-2,2-91,1,Обчислювальна машина «Порадник майстра доменної печі» СМ-2,"к. 2-91, од.зб. 1-16",1959,1963,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-91_1.pdf
Р77,1Б,opisi-2,2-92,1,Комплексна автоматизація виробництва міцної та слабкої азотної кислоти із застосуванням керувальної обчислювальної машини,"к. 2-92, од.зб. 1-453;454-954",1954,1964,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-92_1_1-453.pdf;https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-92_1_454-954.pdf
Р77,1В,opisi-2,2-93,1,Машина первинної переробки інформації МППИ-1,"к. 2-93, од.зб. 1-623;624-1258",1960,1967,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-93_1_1-623.pdf;https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-93_1_624-1258.pdf
Р23,1Ґ,opisi-2,2-94,1,Комбайн очисний вузькозахоплювальний «Луч»,"к. 2-94, од.зб. 1-32",1971,1973,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-94_1__2-95_1.pdf
Р23,1Д,opisi-2,2-95,1,Комбайн човниковий І У70,"к. 2-95, од.зб. 1-67",1970,1973,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-94_1__2-95_1.pdf
Р73,1Б,opisi-2,2-96,1,Універсальний електронний мікроскоп УЭМВ-100 к,"к. 2-96, од.зб. 1-48",1962,1976,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-96_1.pdf
Р44,1Б,opisi-2,2-97,1,Контурний копіювально-фрезерувальний верстат моделі 6П42К з програмним керуванням,"к. 2-97, од.зб. 1-88",1956,1958,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-97_1.pdf
Р73,1В,opisi-2,2-98,1,Аналізатор імпульсів АИ-128-2/3,"к. 2-98, од.зб. 1-347",1965,1983,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-98_1.pdf
Р73,1Г,opisi-2,2-99,1,Мас-спектрометр МХ-1211,"к. 2-99, од.зб. 1-386",1963,1983,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-99_1.pdf
Р82,1,opisi-2,2-100,1,Редуктор ЦДН-115,"к. 2-100, од.зб. 1-14",1954,1959,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-100_1__2-101_1.pdf
Р82,1А,opisi-2,2-101,1,"Багатоканатна підіймальна машина МК 2, Iх4Р","к. 2-101, од.зб. 1-69",1956,1967,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-100_1__2-101_1.pdf
Р77,1Г,opisi-2,2-102,1,Автоматична друкарська машинка АПМ-1,"к. 2-102, од.зб. 1-186",1959,1968,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-102_1.pdf
Р77,1Ґ,opisi-2,2-103,1,Система «Байкал»,"к. 2-103, од.зб. 1-369",1964,1969,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-103_1.pdf
Р73,1Ґ,opisi-2,2-104,1,Зв’язок шахтний іскробезпечний високочастотний типу ШВС-3А,"к. 2-104, од.зб. 1-89",1966,1975,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-104_1__2-106_1.pdf
Р77,1Д,opisi-2,2-105,1,Координуюча обчислювальна машина КВМ-1,"к. 2-105, од.зб. 1-1107;1108-2030",1962,1970,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-105_1_1-1107.pdf;https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-105_1_1108-2030.pdf
Р77,2,opisi-2,2-105,2,Координуюча обчислювальна машина КВМ-1,"к. 2-105, од.зб. 2031-3008;3009-3667",1964,1969,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-105_2_2031-3008.pdf;https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-105_2_3009-3667.pdf
Р73,1Д,opisi-2,2-106,1,Мас-спектрометр МХ 2301,"к. 2-106, од.зб. 1-68",1966,1982,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-104_1__2-106_1.pdf
Р53,1Б,opisi-2,2-107,1,"Кукурудзозбиральний комбайн «Херсонец», марки ККХ-3","к. 2-107, од.зб. 1-467",1955,1978,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-107_1.pdf
Р82,1Б,opisi-2,2-108,1,Роторний екскаватор ЭРГ 350/1000,"к. 2-108, од.зб. 1-188",1949,1962,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-108_1.pdf
Р88,1,opisi-2,2-109,1,Уніфікована система безперервного розливу сталі УНРС,"к. 2-109, од.зб. 1-315",1967,1973,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-109_1.pdf
Р77,1Е,opisi-2,2-110,1,"Обчислювальні системи, скомпоновані з обладнання агрегатної системи засобів обчислювальної техніки (АСОТ) типу «М-2000», «М-3000»","к. 2-110, од.зб. 1-1278",1966,1972,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-110_1.pdf
Р77,2А,opisi-2,2-110,2,"Обчислювальні системи, скомпоновані з обладнання агрегатної системи засобів обчислювальної техніки (АСОТ) типу «М-2000», «М-3000»","к. 2-110, од.зб. 1279-2317",1961,1974,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-110_2.pdf
Р88,1А,opisi-2,2-111,1,Пристрій контролю натягу матеріалу електротензометричного типу УКНТ,"к. 2-111, од.зб. 1-66",1968,1974,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-111_1__2-112_1__2-113_1__2-114_1.pdf
Р88,1Б,opisi-2,2-112,1,Автоматизована система керування раціональним розкроєм балок на УБС Нижньотагільського металургійного комбінату /«Раскрой-2»/,"к. 2-112, од.зб. 1-21",1975,1978,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-111_1__2-112_1__2-113_1__2-114_1.pdf
Р88,1В,opisi-2,2-113,1,Система інформаційного керування універсальними клітьми,"к. 2-113, од.зб. 1-55",1975,1981,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-111_1__2-112_1__2-113_1__2-114_1.pdf
Р88,1Г,opisi-2,2-114,1,Автоматизована система керування Ладижинської ДРЕС,"к. 2-114, од.зб. 1-107",1974,1980,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-111_1__2-112_1__2-113_1__2-114_1.pdf
Р95,1,opisi-2,2-115,1,Машина для формування бікомпонентних синтетичних ниток МФ-600 БШ8,"к. 2-115, од.зб. 1-316",1963,1975,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-115_1__2-116_1__2-117_1__2-118_1_1-15.pdf
Р95,1А,opisi-2,2-116,1,Cушарка безперервної дії,"к. 2-116, од.зб. 1-74",1966,1975,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-115_1__2-116_1__2-117_1__2-118_1_1-15.pdf
Р95,2,opisi-2,2-116,2,"Сушарка безперервної дії марки НС-7,5 ПМ","к. 2-116, од.зб. 75-238",1983,1984,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-115_1__2-116_1__2-117_1__2-118_1_1-15.pdf
Р95,1Б,opisi-2,2-117,1,Екстрактор безперервної дії продуктивністю 12 т/добу,"к. 2-117, од.зб. 1-50",1970,1974,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-115_1__2-116_1__2-117_1__2-118_1_1-15.pdf
