fond_code,inv_code,seg_start,seg_end,letter_extras
Р77,1И,1,274,
Р77,1І,1,489,
Р77,1Ї,1,322,
Р77,1Й,1,880,
Р77,1Й,881,1792,
Р77,2В,1793,2285,
Р77,2В,2286,2849,
Р207,1,1,422,
Р117,1В,1,57,
Р117,2Б,58,156,
Р188,1Ц,1,80,
Р188,1Ч,1,11,
Р188,1Ш,1,22,
Р40,1Б,1,21,
Р218,1,1,28,
Р218,1А,1,32,
Р218,1Б,1,17,
Р218,1В,1,73,
Р218,1Г,1,119,
Р218,1Ґ,1,27,
Р218,1Д,1,314,
Р108,1А,1,1204,
Р108,2А,1205,2141,
Р108,3А,1,566,
Р108,4,567,911,
Р108,4,912,1294,
Р108,4,1295,1648,
Р108,5,1649,2768,
Р108,6,1,2147,
Р108,7,2147,2971,2147А
Р108,8,2974,4452,
Р108,9,4453,4809,
Р108,10,4810,5926,
Р108,11,5927,7063,
Р219,1,1,22,
Р219,2,23,81,
Р219,1А,1,51,
Р219,1Б,1,40,
Р220,1,1,3,
Р219,1В,1,38,
Р221,1,1,121,
Р225,1,1,320,
Р226,1А,1,472,
Р226,1Б,1,655,
Р226,2,656,1498,
Р226,3,1499,2370,
Р226,4,2371,2530,
Р226,5,2531,2949,
Р226,6,2950,3237,
Р226,1В,1,292,
Р226,2А,293,680,
Р226,3А,681,1191,
Р226,4А,1192,1271,
Р226,5А,1272,1631,
Р226,1Г,1,172,
Р55,1А,1,348,
Р55,2,349,438,
Р37,1,1,2,
Р37,1А,1,3,
Р43,1Г,1,25,
Р43,1Ґ,1,231,
Р55,1Б,1,121,
Р55,2А,122,147,
Р226,1Ґ,1,186,
Р226,2Б,187,531,
Р226,3Б,532,895,
Р226,4Б,896,1156,
Р40,1В,1,568,
Р40,2,569,1131,
Р64,1Б,1,91,
Р64,2Б,92,144,
Р64,1В,1,48,
Р64,1Г,1,19,
Р64,1Ґ,1,30,
Р64,2В,31,59,
Р226,1Д,1,216,
Р226,2В,217,450,
Р240,1,1,220,
Р54,1Ґ,1,34,
Р55,1В,1,31,
Р226,1Е,1,280,
Р226,2Г,281,831,
Р226,3В,832,875,
Р54,1Д,1,292,
Р60,1А,1,97,
Р60,1Б,1,260,
Р60,2А,261,459,
Р60,1В,1,718,
Р226,1Є,1,88,
Р226,1Ж,1,86,
Р226,1З,1,57,
Р226,1И,1,76,
Р226,1І,1,61,
Р184,1Ґ,1,236,
Р184,2,237,888,
Р184,3,889,1588,
Р184,4,1589,1798,
Р184,5,1799,2113,
Р184,6,2114,2429,
Р184,7,2430,2479,
Р78,1Г,1,44,
Р78,1Ґ,1,34,
Р78,1Д,1,14,
Р78,1Е,1,27,
Р78,2Б,28,37,
Р78,1Є,1,14,
Р78,1Ж,1,28,
Р78,2В,29,58,
Р78,1З,1,11,
Р78,1И,1,9,
Р226,1Ї,1,115,
Р78,1І,1,10,
Р78,1Ї,1,45,
Р78,2Г,46,69,
Р78,1Й,1,54,
Р226,1Й,1,673,
Р60,1Г,1,120,
Р60,2Б,121,376,
Р250,1,1,84,
Р250,2,85,162,
Р250,3,163,164,
Р78,1К,1,40,
Р252,1,1,207,
Р193,1,1,83,
Р193,1А,1,1,
Р60,1Ґ,1,155,
Р78,1Л,1,52,
Р78,2Ґ,53,73,
Р78,3А,74,611,
Р78,4,612,676,
Р78,5,677,721,
Р78,6,722,752,
Р78,7,753,818,
Р78,8,819,838,
Р78,9,839,855,
Р78,10,856,873,
Р78,11,874,957,
Р78,12,958,976,
Р78,13,977,1014,
Р78,14,1015,1033,
Р78,15,1034,1039,
Р78,16,1040,1046,
Р78,17,1047,1053,
Р78,18,1054,1059,
Р133,1А,1,15,
Р133,1Б,1,9,
Р133,1В,1,16,
Р133,1Г,1,17,
Р248,1,1,20,
Р248,1А,1,183,
Р55,1Г,1,190,
Р192,1А,1,45,
Р192,1Б,1,72,
Р192,1В,1,49,
Р192,1Г,1,25,
Р192,1Ґ,1,1,
Р78,1М,1,62,
Р192,1Д,1,146,
Р192,1Е,1,246,
Р95,1Д,1,142,
Р95,1Е,1,534,
Р95,2А,535,1338,
Р95,1Є,1,242,
Р95,1Ж,1,173,
Р95,1З,1,194,
Р95,1И,1,459,
Р95,1І,1,107,
Р95,1Ї,1,32,
Р95,1Й,1,103,
Р95,1К,1,103,
Р95,1Л,1,13,
Р95,1М,1,22,
Р95,1Н,1,211,
Р95,1О,1,49,
Р95,1П,1,171,
Р95,1Р,1,325,
Р95,1С,1,159,
Р95,1Т,1,301,
Р95,1У,1,234,
Р95,1Ф,1,295,
Р95,1Х,1,169,
Р9,1А,1,244,
Р9,2,245,256,
Р9,3,257,258,
Р11,1,1,857,
Р12,1Д,1,6,
Р12,2,7,9,
Р2,1,1,181,
Р2,2,182,196,
Р2,3,197,226,
Р2,4,227,245,
Р2,5,246,420,
Р13,1,1,695,
Р13,2,697,776,
Р13,3,777,918,
Р13,4,919,1142,
Р13,5,1143,1162,
Р14,1А,1,168,
Р14,2,169,679,
Р14,3,680,892,
Р14,4,893,1251,
Р14,5,1252,1501,
Р14,6,1502,1751,
Р15,1,1,1781,1781А
Р15,2,1782,2086,
Р15,3,2087,2189,
Р15,4,2190,2279,
Р15,5,2280,2453,
Р15,6,2454,2465,
Р15,7,2466,2512,
Р16,1,1,248,
Р17,1,1,661,661А
Р17,2,662,897,
Р17,3,898,1290,1290А
Р17,4,1291,2024,
Р17,4,2025,2818,
Р17,5,2280,2453,
Р17,6,3024,3073,
Р17,7,1,51,
Р17,8,3125,3153,
Р18,1,1,203,
Р18,2,204,298,
Р18,3,299,315,
Р18,4,316,326,
Р57,1,1,158,
Р57,2,159,258,
Р58,1,1,44,
Р58,2,45,102,
Р58,3,103,116,
Р61,1Ж,1,80,
Р61,2,81,120,
Р61,3,121,139,
Р61,4,140,185,
Р62,1,1,47,
Р42,1А,1,14,
Р42,2,15,26,
Р42,3,27,32,
Р42,4,33,39,
Р67,1,1,780,
Р65,1,1,58,
Р65,2,59,76,
Р66,1,1,26,
Р66,2,27,51,
Р68,1,1,8,
Р76,1,1,424,
Р71,1Б,1,108,
Р78,1Н,1,220,
Р78,2Д,221,628,
Р78,2Д,629,1033,
Р78,3Б,1034,1840,
Р78,4А,1841,1949,
Р79,1,1,103,
Р83,1,1,92,
Р83,2,93,112,
Р56,1,1,2,
Р56,1А,1,1,
Р90,1,1,33,
Р92,1А,1,211,
Р92,2,212,243,
Р92,3,244,268,
Р92,4,269,276,
Р93,1А,1,194,
Р93,2А,195,303,
Р93,3А,304,319,
Р94,1,1,39,
Р99,1,1,118,
Р99,2,119,160,
Р100,1,1,162,
Р100,2,163,303,
Р100,3,304,307,
Р101,1,1,40,
Р101,2,41,142,
Р101,3,143,216,
Р101,4,218,266,
Р102,1,1,19,
Р102,2,20,110,
Р102,3,111,116,
Р106,1,1,25,
Р107,1,1,59,
Р107,2,60,210,
Р107,3,211,868,
Р107,4,869,1456,
Р107,5,1457,1875,
Р107,6,1876,2452,
Р107,7,2453,2830,
Р112,1,1,182,
Р112,2,183,1175,
Р113,1,1,178,
Р113,2,179,257,
Р113,3,1,303,
Р113,4,561,1188,
Р113,5,1189,1395,
Р113,6,1396,1593,
Р113,7,1594,1735,
Р115,1,1,94,
Р115,2,95,103,
Р130,1,1,15,
Р127,1,1,228,
Р126,1,1,15,
Р126,2,16,28,
Р121,1,1,121,
Р68,1А,1,67,
Р68,2,68,122,
Р68,3,123,543,
Р68,4,544,909,
Р68,5,910,1701,
Р135,1,1,298,
Р135,1,299,582,
Р139,1,1,339,
Р139,2,340,399,
Р146,1,1,41,
Р146,2,42,146,
Р147,1,1,18,
Р148,1,1,28,
Р151,1,1,9,
Р154,1,1,305,
Р96,1Е,1,83,
Р155,1,1,88,
Р160,1,1,15,
Р21,1Д,1,413,
Р21,2,414,602,
Р21,3,603,865,
Р171,1,1,23,
Р172,1,1,185,
Р95,1Ц,1,29,
Р95,2Б,30,155,
Р95,3,156,294,
Р98,1,1,15,
Р98,2,16,48,
Р98,3,49,89,
Р179,1,1,29,
Р179,2,30,34,
Р179,3,35,36,
Р179,4,3,60,
Р180,1,1,189,
Р180,2,190,374,
Р180,3,375,513,
Р180,4,514,585,
Р182,1,1,22,
Р141,1А,1,33,
Р193,1Б,1,7,
Р193,2,8,29,
Р193,3,30,97,
Р105,1,1,10,
Р204,1,1,3,
Р204,2,4,34,
Р166,1В,1,2,
Р205,1,1,8,
Р208,1,1,10,
Р208,2,11,225,
Р213,1,1,414,
Р213,2,415,434,
Р213,3,435,454,
Р213,4,455,536,
Р220,1А,1,89,
Р222,1,1,2,
Р216,1,1,2,
Р159,1,1,36,
Р159,2,37,47,
Р240,1А,1,63,
Р54,1Е,1,52,
Р69,1,1,8,
Р244,1,1,57,
Р244,2,58,138,
Р125,1,1,10,
Р60,1Д,1,5,
Р168,1,1,3,
Р176,1,1,1,
Р26,1Д,1,104,
Р26,2,105,185,
Р26,3,186,205,
Р68,1Б,1,458,
251,1,1,16,
Р47,1,1,475,
Р157,1,1,16,
Р178,1,1,25,
Р178,2,25,44,
Р178,3,46,64,
Р183,1,1,23,
Р202,1,1,282,
Р202,2,283,347,
Р202,3,348,358,
Р203,1,1,28,
Р206,1,1,261,
Р209,1,1,243,
Р223,1,1,41,41А
Р223,2,42,90,
Р224,1,1,21,
Р224,2,22,126,
Р228,1,1,64,64А
Р228,2,65,79,79А
Р228,3,80,93,
Р229,1,1,15,
Р231,1,1,6,
Р232,1,1,6,
Р233,1,1,22,
Р234,1,1,488,
Р235,1,1,60,
Р236,1,1,95,
Р237,1,1,92,
Р239,1,1,64,
Р241,1,1,151,
Р241,2,152,197,
Р241,3,198,204,
Р242,1,1,80,
Р242,2,81,89,
Р247,1,1,92,
Р249,1,1,37,
Р255,1,1,549,
