arch,fond,inv,anomalies,min_anom,max_anom,body_p95,body_files,concat,yearlike,isolated,empty_shells
ДАХеО,137,8,2,591,40592,40,41,2,0,0,0
ЦДІАК,990,1,2,11201,11202,1696,1786,2,0,0,0
ДАС,30,1,2,1895,1919,146,153,0,2,0,0
ДАЗкО,Р1606,6,2,32735,43736,71,75,2,0,0,0
ДАЛуО,126,9,2,377,418,71,39,2,0,0,0
ДАЧвО,1245,4,2,1719,6062,219,224,2,0,0,0
ЦДІАК,127,798,2,6091908,6101908,699,734,2,0,0,0
ДАЧвО,1245,5,2,7275,123125,232,237,2,0,0,0
ДАЛуО,126,27,2,383,54384,67,70,2,0,0,0
ДАВіО,172,1,2,4794,343349,333,300,2,0,0,0
ДАВіО,904,32,2,99169,131160,232,244,2,0,0,0
ДАПО,1011,1,2,1134,81629,199,210,2,0,0,1
ДАОО,37,3А,2,1853,100114,281,258,1,1,0,0
ДАЧвО,3,1,2,112730,132671,12635,13219,2,0,0,0
ДАКрО,113,1,2,458,1314,40,41,2,0,0,0
ДАЗкО,Р1606,5,2,29693,48695,50,53,2,0,0,0
ДАЧкО,19,1,2,2006,2007,94,44,0,2,0,0
ДАХО,Р6452,2,2,11921194,25602563,2875,3005,2,0,0,0
ДАЛуО,126,23,2,144392,1961911,235,231,2,0,0,0
ЦДІАК,990,2,2,15003,15603,51,54,2,0,0,0
ДАЛуО,126,11,2,6373,37380,97,42,2,0,0,0
ЦДАМЛМ,617,1,2,11973,71971,152,159,2,0,0,0
ДАЖО,1,81,2,66445,72449,124,131,2,0,0,0
ДАЗкО,Р1606,9,2,57737,72739,70,74,2,0,0,0
ДААРК,370,1,2,1928,325226,318,330,1,1,0,0
ДАЗкО,Р1606,11,2,70746,101740,105,109,2,0,0,0
ЦДАМЛМ,17,1,2,2281,2282,324,341,2,0,0,0
ДАОО,18,1,2,1572,1991,211,128,1,1,0,0
ДАЧвО,3,2,2,169369,240241,31728,33103,2,0,0,0
ЦДАВО,1390,1,2,1917,1918,124,131,0,2,0,0
ДАХО,Р6452,4,2,17861788,44454447,4723,4897,2,0,0,0
ЦДАМЛМ,1109,1,2,2016,2018,225,237,0,2,0,0
ДАЧкО,1,1,2,2005,2009,40,42,0,2,0,0
ДАЖО,1,85,2,428,43414,61,64,2,0,0,0
ДАЛуО,126,21,2,70409,73324,83,87,2,0,0,0
ЦДІАК,127,875,2,10171870,10181870,2550,2632,2,0,0,0
ДАХмО,234,1,2,5269,6789,482,317,2,0,0,0
ЦДАМЛМ,464,1,2,114865,125890,15698,10361,2,0,0,2
ДАПО,1011,3,2,582,75605,115,121,2,0,0,0
ЦДІАЛ,201,4А,2,81845,82334,10816,11385,2,0,0,0
ДАВоО,195,1,2,28273,28285,161,155,2,0,0,0
ДАЛуО,126,14,2,124401,132393,147,149,2,0,0,0
ДАЗкО,Р1606,2,2,32720,42719,64,66,2,0,0,0
ДАМО,484,1,2,19001,19452,2282,2392,2,0,0,1
ДААРК,371,1,2,16215,18204,48,51,2,0,0,0
ДАЛуО,126,29,2,260356,18471864,256,245,1,0,1,0
ДАЧвО,1245,15,2,4863,6974,95,100,2,0,0,0
ДАПО,2048,2,2,4115,4116,443,77,2,0,0,2
ДАЖО,1,86,2,432,479,49,52,2,0,0,0
ЦДІАК,54,3,2,95588,95589,13423,13795,2,0,0,2
ДАХеО,207,1,2,262604,2114615,2131,59,1,0,1,0
ДАТО,3,7,2,28025,32626,3509,3386,2,0,0,2
ДАЧвО,1245,7,2,9093,106109,333,336,2,0,0,0
ДАДнО,193,8,1,31910,31910,23,25,1,0,0,0
ДАКрО,640,1,1,22445,22445,22,23,1,0,0,0
ДАДоО,295,1,1,161,161,30,31,1,0,0,0
ЦДІАК,127,1079,1,461127,461127,1328,1291,1,0,0,0
ДАКрО,353,1,1,242,242,44,46,1,0,0,0
ДАКрО,856,1,1,19494,19494,993,20,1,0,0,0
ДАЛуО,126,4,1,19395,19395,28,25,1,0,0,0
ДАДоО,370,1,1,20125,20125,20,21,1,0,0,0
ДАЧгО,1530,1,1,1444,1444,226,116,1,0,0,0
ДАХО,958,1,1,118549,118549,116,119,1,0,0,0
ДАХеО,316,7,1,558,558,39,41,1,0,0,0
ДАЖО,1,32,1,23400,23400,2599,1261,1,0,0,0
ДАЖО,107,1,1,2055,2055,267,281,1,0,0,0
ДАКрО,674,1,1,421,421,21,22,1,0,0,0
ДАОО,37,3,1,13909,13909,1600,1069,1,0,0,0
ДАХмО,29,1,1,337339,337339,735,297,1,0,0,1
ДАЧвО,1245,10,1,3133,3133,164,172,1,0,0,0
ЦДІАК,442,738,1,18961897,18961897,2776,2920,1,0,0,0
ДАКрО,164,1,1,409,409,23,24,1,0,0,0
ЦДІАК,127,1017,1,1879,1879,228,238,0,1,0,0
