WKT,Назва,Реєстр,Населені пункти,Повіт,Координати
POINT (24.284803 50.454565),с. Поториця (Poturzyca),"Сторінка 150
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.45456462221207, 24.284802908867903"
POINT (24.427242 50.300323),с. Радванці (Radwańce),"Сторінка 153
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.300322640355965, 24.42724243961259"
POINT (24.460037 50.377176),с. Рожджалів (Rożdżałów),"Сторінка 158
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.37717637470298, 24.46003744784935"
POINT (24.338386 50.517770),с. Свитазів (Świtarzów),"Сторінка 163
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.51777006041066, 24.338386379657713"
POINT (24.422574 50.182650),с. Сілець Белзький (Sielec Bełzki),"Сторінка 166
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.18264975309904, 24.422573860689774"
POINT (24.322604 50.534946),с. Скоморохи (Skomorochy),"Сторінка 167
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.53494637842062, 24.322603928784865"
POINT (24.283932 50.486059),Сокаль,"Сторінка 170
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.48605920636338, 24.283932356704085"
POINT (24.462619 50.448751),с. Спасів (Spasów),"Сторінка 173
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.44875122718157, 24.462618638090152"
POINT (24.359962 50.529582),с. Стенятин (Steniatyn),"Сторінка 177
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.52958189929043, 24.359961627133806"
POINT (24.408472 50.456870),м-ко Тартаків (Tartaków),"Сторінка 184
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.45687023713954, 24.408472173575277"
POINT (24.408472 50.456870),с. Тартаківець (Tartakowiec),"Сторінка 184
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.45687023713954, 24.408472173575277"
POINT (24.360533 50.257431),с. Тишиця (Tyszyca),"Сторінка 186
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.25743119057986, 24.360532729456537"
POINT (24.567498 50.414821),с. Торки (Torki),"Сторінка 187
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.41482070536135, 24.567497863845084"
POINT (24.245302 50.399916),м-ко Христинопіль [Кристинопіль] (Krystynopol),"Сторінка 195
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.39991576676715, 24.2453024513363"
POINT (24.521034 50.545623),с. Шарпанці (Szarpańce),"Сторінка 201
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.545622977704625, 24.521033823485404"
POINT (24.342703 50.317390),с. Яструбичі (Jastrzębica),"Сторінка 208
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.31738980789077, 24.342702710419506"
POINT (24.109965 50.574683),Угринів (Uhrynów),"Через VPN з України https://www.szukajwarchiwach.gov.pl/en/jednostka/-/jednostka/17815499
https://www.familysearch.org/en/search/image/index?owc=QVG9-FDT%3A180600901%2C204738501%3Fcc%3D1910265&cc=1910265",,Сокальський,"50.57468325598623, 24.10996455273471"
