imp_id,imp_title,old_id,old_title,dist_km,full_sim
64abfd8f-c53b-4b86-9d56-8c90db32ac9c,"Ямпіль, Миколаївська",436432b5-ee06-4d9d-8e87-3adf268168f2,"Різдво-Богородицька церква, м. Ямпіль Ямпільський повіт Подільська губернія",1.17,0.16
64abfd8f-c53b-4b86-9d56-8c90db32ac9c,"Ямпіль, Миколаївська",f6296126-932f-41e8-bad8-f3739f2ce563,"Ямпільська римо-католицька церква, м. Ямпіль Ямпільський повіт Подільська губернія",1.17,0.17
64abfd8f-c53b-4b86-9d56-8c90db32ac9c,"Ямпіль, Миколаївська",3592ff95-cb3e-4343-ba6a-a5a27958b3a5,"Миколаївська церква, м. Ямпіль Ямпільський повіт Подільська губернія",1.17,0.39
64abfd8f-c53b-4b86-9d56-8c90db32ac9c,"Ямпіль, Миколаївська",b3754ca2-f4f8-41fc-9af6-04c9fcccd1ac,"Миколаївська церква, м. Ямпіль Ямпільський повіт Бабчинецька волость",1.17,0.35
64abfd8f-c53b-4b86-9d56-8c90db32ac9c,"Ямпіль, Миколаївська",e9e24ae1-de3b-4b60-ba21-4bd1f8582da2,"Управління Ямпільського повітового військового начальника, м. Ямпіль Подільської губернії",1.17,0.13
b6e74e01-3935-423f-9a6c-f3cdcc940d08,"Ямпіль, Різдво-Богородична",8c48e22c-9278-4142-ae14-1e12943d4fe4,"Костел Непорочного Зачаття Пресвятої Богородиці, м. Ямпіль Ямпільський повіт",1.19,0.19
b6e74e01-3935-423f-9a6c-f3cdcc940d08,"Ямпіль, Різдво-Богородична",b3754ca2-f4f8-41fc-9af6-04c9fcccd1ac,"Миколаївська церква, м. Ямпіль Ямпільський повіт Бабчинецька волость",1.19,0.11
b6e74e01-3935-423f-9a6c-f3cdcc940d08,"Ямпіль, Різдво-Богородична",3592ff95-cb3e-4343-ba6a-a5a27958b3a5,"Миколаївська церква, м. Ямпіль Ямпільський повіт Подільська губернія",1.19,0.10
b6e74e01-3935-423f-9a6c-f3cdcc940d08,"Ямпіль, Різдво-Богородична",e9e24ae1-de3b-4b60-ba21-4bd1f8582da2,"Управління Ямпільського повітового військового начальника, м. Ямпіль Подільської губернії",1.19,0.09
b6e74e01-3935-423f-9a6c-f3cdcc940d08,"Ямпіль, Різдво-Богородична",436432b5-ee06-4d9d-8e87-3adf268168f2,"Різдво-Богородицька церква, м. Ямпіль Ямпільський повіт Подільська губернія",1.19,0.34
b6e74e01-3935-423f-9a6c-f3cdcc940d08,"Ямпіль, Різдво-Богородична",a73a17c8-9530-4e44-aa05-0ea1a41b8614,"Різдво-богородична церква, м. Ямпіль Ямпільський повіт Бабчинецька волость",1.19,0.39
b6e74e01-3935-423f-9a6c-f3cdcc940d08,"Ямпіль, Різдво-Богородична",f6296126-932f-41e8-bad8-f3739f2ce563,"Ямпільська римо-католицька церква, м. Ямпіль Ямпільський повіт Подільська губернія",1.19,0.11
