48	1	Новоград-Волинський нотаріус де-Лямер Карл Матвійович м. Нов.-Волинський, Волинської губернії	0
49	1	Новоград-Волинський нотаріус Сеницький Євген Євгенійович, м. Новоград-Волинський Волинської губернії	0
50	1	Новоград-Волинський нотаріус Кашурніков Афанасій Семенович м. Новоград-Волинський, Волинської губернії	0
53	1	Любарський нотаріс Пясецький Микола Петрович м-ко Любар, Нов.-Волинського повіту	0
53	187		1
53	195		1
54	1	Нотаріус Грудзинський Олександр Олександрович м-ко Любар, Нов.-Волинського повіту	0
58	1	Волинська палата державного майна м. Житомир, Волинської губернії	1619
60	1Д		0
60	1	Волинська губернська креслярня м. Житомир,Волинської губернії	11
60	1ДОД	Волинська губернська креслярня м. Житомир,Волинської губернії	0
61	1	Новоград-Волинська повітова землевпорядна комісія м. Новоград-Волинський, Волинської губернії	0
62	1Д	Опис 1 додатковий	0
62	2Д	Опис 2 додатковий	0
62	1	Житомирська міська управа м. Житомир, Волинської губернії	7
62	2	Житомирська міська управа м. Житомир, Волинської губернії	0
62	3	Житомирська міська управа м. Житомир, Волинської губернії	0
62	1ДОД	Житомирська міська управа м. Житомир, Волинської губернії	0
62	2ДОД	Житомирська міська управа м. Житомир, Волинської губернії	0
63	1	Житомирське міське поліцейське управління м. Житомир, Волинської губернії	0
64	1Д		0
64	1ДОД	Житомирська міська дума	0
64	1	Житомирська міська дума	1
65	1Д		3
65	1ДОД	Житомирська реміснича управа м. Житомир, Волинської губернії	3
65	1	Житомирська реміснича управа м. Житомир, Волинської губернії	2
66	1	Книги запису податків, посімейні списки, податкові розкладки	8
67	5	Ветеринарне відділення	1
67	6	Будівельне відділення	0
67	7	Особові справи, інші документи	0
67	2	III, IV, V відділення	32
67	3	Рабинатні метричні книги (народження, одруження, розлучення, смерть), по м. Житомир та Житомирському повіту	691
67	1	Про прийняття в російське підданство іноземців. Про зловживання службовців поліції. Про ухилення від військової повинності. Справи про упорядкування архіву Волинського губернського правління (спр. 755	411
67	4	Лікарське відділення	3
67	8	Метричні книги лютеран Волинської губернії	76
67	2ДОД	Лікарське відділення	2
67	1ДОД	Секретний відділ, секретарський відділ, I відділення, II відділення, III відділення, IV відділення, V відділення, інші документи	0
67	1Д	Секретний відділ, секретарський відділ, I відділення, II відділення, III відділення, IV відділення, V відділення, інші документи	15
67	2Д	Лікарське відділення	12
69	1	Житомирська повітова землевпорядкована комісія м. Житомир, Волинської губернії	0
69	1ДОД	Житомирська повітова землевпорядкована комісія м. Житомир, Волинської губернії	0
69	1Д	Опис 1 додатковий	0
70	3	Канцелярія Волинського губернатора м. Житомир, Волинської губернії	0
70	1	Канцелярія Волинського губернатора м. Житомир, Волинської губернії	6
70	2	Канцелярія Волинського губернатора м. Житомир, Волинської губернії	1
71	2		0
71	3		0
71	1	Дирекція народних училищ Волинської губернії, м. Житомир, Волинської губернії	4
72	1	Житомирська 1-ша чоловіча гімназія	0
72	1ДОД	Житомирська 1-ша чоловіча гімназія	0
72	1Д		0
73	1Д	Опис 1 додатковий	0
73	1	Житомирська 2-га чоловіча гімназія м. Житомир, Волинської губернії	0
73	2	Житомирська 2-га чоловіча гімназія м. Житомир, Волинської губернії	0
73	1ДОД	Житомирська 2-га чоловіча гімназія м. Житомир, Волинської губернії	0
74	1	Житомирська Маріїнська жіноча гімназія м. Житомир. Волинської губернії	0
74	8		1
75	1	Учительська семінарія Південно-Західного краю. Коростишівська учительська семінарія м-ко Коростишів, Радомисльського повіту	0
76	1	Волинська контрольна палата м. Житомир, Волинської губернії	0
77	1	Волинська губернська у справах про вибори до Державної Думи 1-го скликання комісія м. Житомир	0
79	1	Житомирська жіноча гімназія святої Анастасії м. Житомир, Волинської губернії	0
80	1	Житомирське приватне восьмикласне чоловіче і жіноче комерційне училище Н. А. Ремезової м. Житомир, Волинської губернії	0
84	1		0
85	1	Волинська земська школа фельдшерів м. Житомир, Волинської губернії	19
90	1	Візитатор римо-католицьких монастирів Луцько-Житомирської єпархії м. Житомир, Волинської губернії	9
90	2	Візитатор римо-католицьких монастирів Луцько-Житомирської єпархії м. Житомир, Волинської губернії	12
91	1	Любарський жіночий монастир м-ко Любар, Нов.-Волинського повіту	0
92	1	Тригірський двокласний чоловічий Преображенський монастир с. Тригір'я, Троянівської волості, Житомирського повіту	0
93	1	Любарський Базиліанський чоловічий монастир м-ко Любар, Нов.-Волинського повіту	0
713	1	Миропольський повітовий суд м. Миропольє, Курської губ.	0
94	1	Любарський правосласний Георгіївський чоловічий двокласний монастир м-ко Любар. Нов.-Волинського повіту	0
100	1	Волинське місцеве управління Російського товариства Червоного Хреста м. Житомир, Волинської губернії	0
102	1	Пристав 6-го стану Житомирського повіту, м. Житомир, Волинської губернії	0
103	1	Новоград-Волинська державна ощадна каса № 254 м. Нов.-Волинський, Волинської губернії	0
104	1	Новоград-Волинське повітове казначейство м. Нов.-Вол., Волинської губернії	0
106	1	Правління Житомирського міського товариства взаємного від вогню страхування майна м. Житомир, Волинської губернії	0
107	1	Холмсько-Волинське управління землеробства і державного майна м. Житомир. Волинської губернії	281
108	1Д	Опис 1 додатковий	0
108	1ДОД	Волинський губернський лісоохоронний комітет м. Житомир, Волинської губернії	0
108	1	Волинський губернський лісоохоронний комітет м. Житомир, Волинської губернії	0
108	74		1
109	1	Управляючі 1-39-м відділеннями секвестрованих земель німців-колоністів при Холмсько-Волинському управлінні землеробства і державного майна м. Житомир, Волинської губернії	0
109	84		1
112	1	Уповноважений голови особливої наради по забезпеченню деревним паливом Волинської губернії м. Житомир, Волинської губернії	0
113	1	Завідуючий Волинсько-Подільським піщано-яружним округом м. Житомир, Волинської губернії	0
115	1Д	Опис 1 додатковий	4
115	2Д	Опис 2 додатковий	209
115	3Д	Опис 3 додатковий	1
115	4Д	Опис 4 додатковий	427
115	3	Волинське губернське у селянських справах присутствіє м. Житомир, Волинської губернії	2
115	1ДОД	Волинське губернське у селянських справах присутствіє м. Житомир, Волинської губернії	4
115	1	Волинське губернське у селянських справах присутствіє м. Житомир, Волинської губернії	6359
115	2	Волинське губернське у селянських справах присутствіє м. Житомир, Волинської губернії	29
115	4	Волинське губернське у селянських справах присутствіє м. Житомир, Волинської губернії	197
115	2ДОД	Волинське губернське у селянських справах присутствіє м. Житомир, Волинської губернії	0
115	3ДОД	Волинське губернське у селянських справах присутствіє м. Житомир, Волинської губернії	1
115	4ДОД	Волинське губернське у селянських справах присутствіє м. Житомир, Волинської губернії	0
117	1	Управління державного майна Радомської, Келецької, Люблінської, Седлецької губерній Головного управління землевпорядкування і землеробства м. Радом, Радомської губ.	0
119	1	Волинський губернський розпорядчий комітет м. Житомир, Волинської губернії	0
119	1ДОД	Волинський губернський розпорядчий комітет м. Житомир, Волинської губернії	0
119	2ДОД	Волинський губернський розпорядчий комітет м. Житомир, Волинської губернії	0
119	1Д	Опис 1 додатковий	0
119	2Д	Опис 2 додатковий	0
120	1	Волинське губернське акцизне управління м. Житомир, Волинської губернії	0
122	3	Житомирське повітове у чиншових справах присутствіє м. Житомир, Волинської губернії	0
122	1	Житомирське повітове у чиншових справах присутствіє м. Житомир, Волинської губернії	0
122	2	Житомирське повітове у чиншових справах присутствіє м. Житомир, Волинської губернії	7
126	1	Новоград-Волинське повітове у чиншових справах присутствіє м. Нов.-Волинський, Волинської губернії	2
126	2	Новоград-Волинське повітове у чиншових справах присутствіє м. Нов.-Волинський, Волинської губернії	61
126	74		1
127	1	Овруцьке повітове у чиншових справах присутствіє м. Овруч, Волинської губернії	1
127	2	Овруцьке повітове у чиншових справах присутствіє м. Овруч, Волинської губернії	21
132	1	Житомирський повітовий предводитель дворянства м. Житомир, Волинської губернії	0
135	1		0
137	1	Житомирсько-Оруцький з'їзд мирових посередників м. Житомир, Волинської губернії	0
141	1		0
142	1		0
146	1	Дворянські справи	6143
147	1ДОД	Волинська єпархіальна училищна рада м. Житомир, Волинської губернії	0
147	1	Волинська єпархіальна училищна рада м. Житомир, Волинської губернії	1
147	1Д	Опис 1 додатковий	0
147	74		1
149	1	Житомирський маклер і нотаріус А. Майман м. Житомир, Волинської губернії	0
149	77		1
150	1	Житомирський маклер С. Кашперовський м. Житомир, Волинської губернії	0
151	1	Житомирський маклер і нотаріус З. Бірштейн м. Житомир, Волинської губернії	0
152	1		0
155	1	Житомирський маклер М. П. Жникрупа м. Житомир, Волинської губернії	0
158	1	Канцелярія Волинського єпархіального архієрея м. Житомир, Волинської губернії	2
158	1ДОД	Канцелярія Волинського єпархіального архієрея м. Житомир, Волинської губернії	0
158	1Д	Опис 1 додатковий	0
160	1ДОД	Волинський приказ громадської опіки	0
160	1	Волинський приказ громадської опіки	0
160	1Д	Опис 1 додатковий	0
160	74		1
