archive,code,fond,inventory,file,title,tags,years
ДАЧгО,1530-2-1242,1530,2,1242,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1892-1892
ДАЧгО,1530-2-1247,1530,2,1247,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1893-1893
ДАЧгО,1530-2-1263,1530,2,1263,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1896-1896
ДАЧгО,1530-2-1268,1530,2,1268,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1897-1897
ДАЧгО,1530-2-1280,1530,2,1280,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1898-1898
ДАЧгО,1530-2-1283,1530,2,1283,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1899-1899
ДАЧгО,1530-2-1292,1530,2,1292,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1900-1900
ДАЧгО,1530-2-1299,1530,2,1299,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1901-1901
ДАЧгО,1530-2-1308,1530,2,1308,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1902-1902
ДАЧгО,1530-2-1317,1530,2,1317,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1903-1903
ДАЧгО,1530-2-1322,1530,2,1322,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1904-1904
ДАЧгО,1530-2-1340,1530,2,1340,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1906-1906
ДАЧгО,1530-2-1347,1530,2,1347,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1907-1907
ДАЧгО,1530-2-1352,1530,2,1352,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1908-1908
ДАЧгО,1530-2-1360,1530,2,1360,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1909-1909
ДАЧгО,1530-2-1367,1530,2,1367,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1910-1910
ДАЧгО,1530-4-82,1530,4,82,"Метрична книга. Церква в ім’я Введення до храму Богородиці, с. Брагинці Лохвицького повіту Міжархівний довідник",метрична книга|розлучення,1852-1864
ДАЧгО,1530-4-81,1530,4,81,"Метрична книга. Церква в ім’я Введення до храму Богородиці, с. Брагинці Лохвицького повіту Міжархівний довідник",метрична книга|розлучення,1864-1870
ДАЧгО,1530-4-83,1530,4,83,"Метрична книга. Церква в ім’я Введення до храму Богородиці, с. Брагинці Лохвицького повіту Міжархівний довідник",метрична книга|розлучення,1871-1895
ДАЧгО,1530-2-1119,1530,2,1119,"Метрична книга. Церква в ім’я Введення до храму Богородиці, с. Брагинці Лохвицького повіту Міжархівний довідник",метрична книга|народження|шлюб|розлучення,1875-1875
ДАЧгО,1530-2-1128,1530,2,1128,"Метрична книга. Церква в ім’я Введення до храму Богородиці, с. Брагинці Лохвицького повіту Міжархівний довідник",метрична книга|народження|шлюб|розлучення,1876-1876
