oc_id,parsed,target
d860511c-37b4-4294-af5c-1c4a0cdd2a6f,ДАЛО-27-5 том 1-464,ДАЛО-27-5-464
5b76501c-9152-4102-bc2c-eefad0f5df09,ДАЛО-27-5 том 1-465,ДАЛО-27-5-465
eec458a1-3552-4736-ae18-4de3a5dba556,ДАЛО-27-5 том 1-466,ДАЛО-27-5-466
16ee0466-97d2-4057-9539-357a574aba08,ДАЛО-27-5 том 1-467,ДАЛО-27-5-467
8beb8649-b06f-4231-b695-e8d165efee91,ДАЛО-27-5 том 1-469,ДАЛО-27-5-469
670593e8-1b0f-4ac1-aa97-2bf9f7bd0a28,ДАЛО-27-5 том 1-470,ДАЛО-27-5-470
8a825253-11fd-4f4a-b3a9-39587f3258dc,ДАЛО-27-5 том 1-471,ДАЛО-27-5-471
81f777c4-d474-4615-8738-71693110175a,ДАЛО-27-5 том 1-472,ДАЛО-27-5-472
bbdcad41-1767-4746-9ac2-7747d41554d4,ДАЛО-27-5 том 1-473,ДАЛО-27-5-473
c67c77cd-8c5f-4302-82a3-93d3270e0ce4,ДАЛО-27-5 том 1-474,ДАЛО-27-5-474
9ae462e5-71ca-4b42-9183-9125032dae43,ДАЛО-27-5 том 1-475,ДАЛО-27-5-475
b7b8be43-9501-435b-baff-25bb353f3691,ДАЛО-27-5 том 1-476,ДАЛО-27-5-476
b28b7386-168f-4c49-8c13-a8cb10e64a2b,ДАЛО-27-5 том 1-477,ДАЛО-27-5-477
7837399a-c890-4d08-bb62-76d47ffd11b0,ДАЛО-27-5 том 1-478,ДАЛО-27-5-478
91731152-aa1f-482a-a303-8291f83f964d,ДАЛО-27-5 том 1-479,ДАЛО-27-5-479
f2f86837-f1c7-4ae9-82ee-16fe490f6956,ДАЛО-27-5 том 1-480,ДАЛО-27-5-480
5833bb0c-70c6-4952-8cbb-d57b70dd0f4b,ДАЛО-27-5 том 1-481,ДАЛО-27-5-481
ec9afc47-f6aa-4197-a2f4-0549e24444ab,ДАЛО-27-5 том 1-482,ДАЛО-27-5-482
a29285f1-1d58-48f8-99f2-2542685aaa8d,ДАЛО-27-5 том 1-483,ДАЛО-27-5-483
37b4898d-88c1-47f5-9a04-3c827764cc9a,ДАЛО-27-5 том 1-484,ДАЛО-27-5-484
4a204951-6a21-48b6-bf20-f06dafed824b,ДАЛО-27-5 том 1-485,ДАЛО-27-5-485
fddf97f5-48d5-498a-9bb8-1d39acbfd7fc,ДАЛО-27-5 том 1-486,ДАЛО-27-5-486
e5d4797c-ccd3-43ba-9098-3245b81be45c,ДАЛО-27-5 том 1-487,ДАЛО-27-5-487
e0deb001-5190-4ec8-b0b8-40f5bae66ba5,ДАЛО-27-5 том 1-488,ДАЛО-27-5-488
57d3a8f7-08ed-4b5b-85ce-3899e5d78b78,ДАЛО-27-5 том 1-489,ДАЛО-27-5-489
67c3a2af-63bc-4fdc-8dbe-3a1f90ccf96f,ДАЛО-27-5 том 1-490,ДАЛО-27-5-490
1bb73891-9a73-492b-baa6-b82d74d872d7,ДАЛО-27-5 том 1-491,ДАЛО-27-5-491
82a80658-762e-42ba-b946-40f9d43daec3,ДАЛО-27-5 том 1-492,ДАЛО-27-5-492
b742378e-5eee-4041-986e-cf0548a08ef0,ДАЛО-27-5 том 1-493,ДАЛО-27-5-493
9c1da4dd-b93b-4775-a2d6-ac1354ade0c9,ДАЛО-27-5 том 1-494,ДАЛО-27-5-494
f97b0abc-ce22-4abb-a8bb-ac6a66f37560,ДАЛО-27-5 том 1-495,ДАЛО-27-5-495
7054e0d0-cefa-48fb-8f4d-964845ceaa4e,ДАЛО-27-5 том 1-496,ДАЛО-27-5-496
88047fd6-b6c8-40ae-817f-3cbbd4f3ec0f,ДАЛО-27-5 том 1-497,ДАЛО-27-5-497
ad13245d-3056-4ad4-9428-0abce05cbdfe,ДАЛО-27-5 том 1-498,ДАЛО-27-5-498
1df926d6-ecb6-49bd-a72b-2cec970f2d8d,ДАЛО-27-5 том 1-499,ДАЛО-27-5-499
4eaaca3d-e266-4d60-b88a-18ed5a9aaa29,ДАЛО-27-5 том 1-500,ДАЛО-27-5-500
f1931943-a95f-4de2-a569-53fb3e8c52f2,ДАЛО-27-5 том 1-501,ДАЛО-27-5-501
172f5f47-11be-46bc-87f8-6802c0659fd8,ДАЛО-27-5 том 1-502,ДАЛО-27-5-502
21d401f8-2d3f-401d-aa72-4ae3883ec734,ДАЛО-27-5 том 1-503,ДАЛО-27-5-503
faace1f3-c4d2-4fa7-bb90-c02d6f406697,ДАЛО-27-5 том 1-504,ДАЛО-27-5-504
d0859272-e755-474a-b943-696e2bf1d156,ДАЛО-27-5 том 1-505,ДАЛО-27-5-505
b92eff6c-bc2b-49bf-96b4-a72f471ca1a2,ДАЛО-27-5 том 1-506,ДАЛО-27-5-506
fc84e428-64da-4f80-aee3-17ebe3fd3aad,ДАЛО-27-5 том 1-507,ДАЛО-27-5-507
d93f3417-439d-4b8b-96a4-e3c95ae0142f,ДАЛО-27-5 том 1-508,ДАЛО-27-5-508
45d4defc-e8c0-4ff3-bb3b-a0eed8f6d3e7,ДАЛО-27-5 том 1-509,ДАЛО-27-5-509
37b14886-6357-4d7f-a304-7dd3a15f625a,ДАЛО-27-5 том 1-510,ДАЛО-27-5-510
7f8482fa-6608-4768-ad33-6ae7e82ba2b6,ДАЛО-27-5 том 1-511,ДАЛО-27-5-511
ef5d5ff6-8c1a-4104-b2cd-e124afcbe2a7,ДАЛО-27-5 том 1-512,ДАЛО-27-5-512
50df832e-784d-400f-8cf0-c125cef5ca11,ДАЛО-27-5 том 1-513,ДАЛО-27-5-513
335d23a3-7649-4a80-82cd-bf612c12c34a,ДАЛО-27-5 том 1-514,ДАЛО-27-5-514
eedbf972-b085-41c0-bc44-8e3b3c28e9a3,ДАЛО-27-5 том 1-515,ДАЛО-27-5-515
d4ef064e-4a5c-4c7d-b704-4665c4e5ce9b,ДАЛО-27-5 том 1-516,ДАЛО-27-5-516
ee7637b8-8a93-416d-afff-66a0e48aa555,ДАЛО-27-5 том 1-517,ДАЛО-27-5-517
5fc3899c-0d00-44b5-baa8-9f38e06d755a,ДАЛО-27-5 том 1-518,ДАЛО-27-5-518
b1a9a7f9-dd47-4590-86ca-c9de5779c49f,ДАЛО-27-5 том 1-519,ДАЛО-27-5-519
4a5f53d5-c45c-474b-aa26-488076866303,ДАЛО-27-5 том 1-520,ДАЛО-27-5-520
551c0eb9-17fc-4e94-afd6-9a32a4d0dbd6,ДАЛО-27-5 том 1-521,ДАЛО-27-5-521
965f93be-6763-46d7-8c6a-5d5d3cb41be4,ДАЛО-27-5 том 1-522,ДАЛО-27-5-522
b6d72c97-1633-4a1d-8749-edb75492eef3,ДАЛО-27-5 том 1-524,ДАЛО-27-5-524
702ac68a-0812-4eed-af07-a1c34d7a5322,ДАЛО-27-5 том 1-525,ДАЛО-27-5-525
b9cdbc41-6715-4871-ad00-0798f4d67be6,ДАЛО-27-5 том 1-526,ДАЛО-27-5-526
ac6544ae-7e7b-42d1-963d-09f4f1941d1f,ДАЛО-27-5 том 1-527,ДАЛО-27-5-527
47ca9102-a77f-4219-ba63-1c3ad5104598,ДАЛО-27-5 том 1-528,ДАЛО-27-5-528
a042d484-2694-446e-b71a-1ab7c861eddc,ДАЛО-27-5 том 1-529,ДАЛО-27-5-529
87fbb2e2-654d-4246-a4d2-771306283f51,ДАЛО-27-5 том 1-530,ДАЛО-27-5-530
ab4a128e-721d-442c-9804-333f9b02f185,ДАЛО-27-5 том 1-531,ДАЛО-27-5-531
b5492b28-de4f-4df9-8366-9d845bc1b78b,ДАЛО-27-5 том 1-532,ДАЛО-27-5-532
ce291be3-6817-4178-9304-7a6f659f31ea,ДАЛО-27-5 том 1-533,ДАЛО-27-5-533
9328a696-40a2-4a49-99db-edba6da64b2f,ДАЛО-27-5 том 1-534,ДАЛО-27-5-534
c58cd22b-cc0a-4d94-9fb5-c4687b2d5bf9,ДАЛО-27-5 том 1-535,ДАЛО-27-5-535
0ef84364-f0a9-4f7b-9af7-688544a0531a,ДАЛО-27-5 том 1-536,ДАЛО-27-5-536
84d80c08-a300-4d50-9d11-894f20efda8d,ДАЛО-27-5 том 1-537,ДАЛО-27-5-537
db646949-dd8d-41fe-8087-f13d5620a4fe,ДАЛО-27-5 том 1-538,ДАЛО-27-5-538
ae74f480-62fa-4a4a-867c-e0dff168d85b,ДАЛО-27-5 том 1-539,ДАЛО-27-5-539
3156ceb3-61ca-4440-af5d-138ee37e15d2,ДАЛО-27-5 том 1-540,ДАЛО-27-5-540
c906942a-4f27-44a4-96d7-36050ff9ed32,ДАЛО-27-5 том 1-541,ДАЛО-27-5-541
f93d2c6e-e3b8-4c31-978b-80a01f84fbd3,ДАЛО-27-5 том 1-542,ДАЛО-27-5-542
bc534c58-104d-4758-83d4-cb112b0bfc3d,ДАЛО-27-5 том 1-543,ДАЛО-27-5-543
4f5dcc18-e8ed-428f-9d13-c03fe3e5c76d,ДАЛО-27-5 том 1-544,ДАЛО-27-5-544
b2c80c00-a709-4f6b-a183-58b2945c9f03,ДАЛО-27-5 том 1-545,ДАЛО-27-5-545
54a5cbc0-2145-44e7-af43-381c1030485a,ДАЛО-27-5 том 1-546,ДАЛО-27-5-546
5732fb8e-a12c-4a51-ab26-5397a70af630,ДАЛО-27-5 том 1-547,ДАЛО-27-5-547
8fd1f3e7-5cd7-49e9-a398-ddfcfd0274a8,ДАЛО-27-5 том 1-548,ДАЛО-27-5-548
ff8a154f-3594-42f4-bba5-9a91b0badebc,ДАЛО-27-5 том 1-549,ДАЛО-27-5-549
bf12f09d-7dac-42b3-bbe7-a0f5ae4cbd78,ДАЛО-27-5 том 1-550,ДАЛО-27-5-550
6e00597b-1579-402a-967a-245fd96ba5f1,ДАЛО-27-5 том 1-551,ДАЛО-27-5-551
c776c530-2183-43de-bbab-1d3de2461d1c,ДАЛО-27-5 том 1-552,ДАЛО-27-5-552
6e7eff1d-f02e-47cf-9ed8-3b3667cacc9f,ДАЛО-27-5 том 1-553,ДАЛО-27-5-553
9ca307c3-12fa-4b84-a2cb-dcea585a6a80,ДАЛО-27-5 том 1-554,ДАЛО-27-5-554
f427c180-74f9-481f-9229-54ca7800055a,ДАЛО-27-5 том 1-555,ДАЛО-27-5-555
a5d16cc9-a73d-4185-ac8a-aaece5e13b5d,ДАЛО-27-5 том 1-556,ДАЛО-27-5-556
da48ab3e-e3ca-4ce5-a83f-2f26d297626e,ДАЛО-27-5 том 1-557,ДАЛО-27-5-557
2d9276a6-f1ce-4b9f-8122-d748a469b1f8,ДАЛО-27-5 том 1-558,ДАЛО-27-5-558
acedcc58-7e9a-4656-990c-64c639fef1e7,ДАЛО-27-5 том 1-559,ДАЛО-27-5-559
f937a745-3696-43de-8b2b-53040046563a,ДАЛО-27-5 том 1-560,ДАЛО-27-5-560
d9eab189-4e5b-455b-99af-8356d6c5eb5e,ДАЛО-27-5 том 1-561,ДАЛО-27-5-561
c261d794-6f06-4064-a1d6-b4048c0a499e,ДАЛО-27-5 том 1-562,ДАЛО-27-5-562
c4cf1296-f16d-4447-bcf7-7d5dfa2082ab,ДАЛО-27-5 том 1-563,ДАЛО-27-5-563
54fef7d5-86ba-4ecd-adac-7b692138e73d,ДАЛО-27-5 том 1-564,ДАЛО-27-5-564
23b76c8f-8692-4bcc-8cf2-5f691232c8aa,ДАЛО-27-5 том 1-565,ДАЛО-27-5-565
70199397-c970-4e0a-9581-89799c6eb5db,ДАЛО-27-5 том 1-566,ДАЛО-27-5-566
011c9127-271f-4405-8a54-2080c1d2a4aa,ДАЛО-27-5 том 1-567,ДАЛО-27-5-567
e4f5e37b-b824-483d-b69a-e3b947b9d0dd,ДАЛО-27-5 том 1-568,ДАЛО-27-5-568
6a5fe44d-881b-4722-bcae-0c91175f879e,ДАЛО-27-5 том 1-569,ДАЛО-27-5-569
662f5e18-7cb1-4a5e-ba15-a5be77dd418d,ДАЛО-27-5 том 1-570,ДАЛО-27-5-570
73476d40-83aa-4335-99c5-eb2063d40733,ДАЛО-27-5 том 1-571,ДАЛО-27-5-571
d092348e-84ff-4610-a442-6df1bce26d4f,ДАЛО-27-5 том 1-572,ДАЛО-27-5-572
60a58764-e89e-4ccb-8795-31c39f8d4a19,ДАЛО-27-5 том 1-573,ДАЛО-27-5-573
