new_full_code,src,copies,sample_parsed
ДАЗПО-П16-1-1328,fs-ref,1,ДАЗпО-(П-16-1-1328+++П-16-1-1328+++П-16-1-1328)
ДАЗПО-П16-1-1329,fs-ref,1,ДАЗпО-(П-16-1-1329+++П-16-1-1329+++П-16-1-1329)
ДАЗПО-П16-1-1330,fs-ref,1,ДАЗпО-(П-16-1-1330+++П-16-1-1330+++П-16-1-1330)
ДАЗПО-П16-1-1331,fs-ref,1,ДАЗпО-(П-16-1-1331+++П-16-1-1331+++П-16-1-1331)
ДАЗПО-П16-1-1332,fs-ref,1,ДАЗпО-(П-16-1-1332+++П-16-1-1332+++П-16-1-1332)
ДАЗПО-П16-1-1333,fs-ref,1,ДАЗпО-(П-16-1-1333+++П-16-1-1333+++П-16-1-1333)
ДАЗПО-П16-1-1334,fs-ref,1,ДАЗпО-(П-16-1-1334+++П-16-1-1334+++П-16-1-1334)
ДАЗПО-П16-1-1335,fs-ref,1,ДАЗпО-(П-16-1-1335+++П-16-1-1335+++П-16-1-1335)
ДАЗПО-П16-1-1336,fs-ref,1,ДАЗпО-(П-16-1-1336+++П-16-1-1336+++П-16-1-1336)
ДАЗПО-П16-1-1337,fs-ref,1,ДАЗпО-(П-16-1-1337+++П-16-1-1337+++П-16-1-1337)
ДАЗПО-П16-1-1338,fs-ref,1,ДАЗпО-(П-16-1-1338+++П-16-1-1338+++П-16-1-1338)
ДАЗПО-П16-1-1339,fs-ref,1,ДАЗпО-(П-16-1-1339+++П-16-1-1339+++П-16-1-1339)
ДАЗПО-П16-1-1340,fs-ref,1,ДАЗпО-(П-16-1-1340+++П-16-1-1340+++П-16-1-1340)
ДАЗПО-П16-1-1341,fs-ref,1,ДАЗпО-(П-16-1-1341+++П-16-1-1341+++П-16-1-1341)
ДАЗПО-П16-1-1342,fs-ref,1,ДАЗпО-(П-16-1-1342+++П-16-1-1342+++П-16-1-1342)
ДАЗПО-П16-1-1343,fs-ref,1,ДАЗпО-(П-16-1-1343+++П-16-1-1343+++П-16-1-1343)
ДАЗПО-П16-1-1344,fs-ref,1,ДАЗпО-(П-16-1-1344+++П-16-1-1344+++П-16-1-1344)
ДАЗПО-П16-1-1345,fs-ref,1,ДАЗпО-(П-16-1-1345+++П-16-1-1345+++П-16-1-1345)
ДАЗПО-П16-1-1346,fs-ref,1,ДАЗпО-(П-16-1-1346+++П-16-1-1346+++П-16-1-1346)
ДАЗПО-П16-1-1347,fs-ref,1,ДАЗпО-(П-16-1-1347+++П-16-1-1347+++П-16-1-1347)
ДАЗПО-П16-1-1348,fs-ref,1,ДАЗпО-(П-16-1-1348+++П-16-1-1348+++П-16-1-1348)
ДАЗПО-П16-1-1349,fs-ref,1,ДАЗпО-(П-16-1-1349+++П-16-1-1349+++П-16-1-1349)
ДАЗПО-П16-1-1350,fs-ref,1,ДАЗпО-(П-16-1-1350+++П-16-1-1350+++П-16-1-1350)
ДАЗПО-П16-1-1351,fs-ref,1,ДАЗпО-(П-16-1-1351+++П-16-1-1351+++П-16-1-1351)
ДАЗПО-П16-1-1352,fs-ref,1,ДАЗпО-(П-16-1-1352+++П-16-1-1352+++П-16-1-1352)
ДАЗПО-П16-1-1353,fs-ref,1,ДАЗпО-(П-16-1-1353+++П-16-1-1353+++П-16-1-1353)
ДАЗПО-П16-1-1354,fs-ref,1,ДАЗпО-(П-16-1-1354+++П-16-1-1354+++П-16-1-1354)
ДАЗПО-П16-1-1355,fs-ref,1,ДАЗпО-(П-16-1-1355+++П-16-1-1355+++П-16-1-1355)
ДАЗПО-П16-1-1356,fs-ref,1,ДАЗпО-(П-16-1-1356+++П-16-1-1356+++П-16-1-1356)
ДАЗПО-П16-1-1357,fs-ref,1,ДАЗпО-(П-16-1-1357+++П-16-1-1357+++П-16-1-1357)
ДАЗПО-П16-1-1358,fs-ref,1,ДАЗпО-(П-16-1-1358+++П-16-1-1358+++П-16-1-1358)
ДАЗПО-П16-1-1359,fs-ref,1,ДАЗпО-(П-16-1-1359+++П-16-1-1359+++П-16-1-1359)
ДАЗПО-П16-1-1361,fs-ref,1,ДАЗпО-(П-16-1-1361+++П-16-1-1361+++П-16-1-1361)
ДАЗПО-П16-1-1362,fs-ref,1,ДАЗпО-(П-16-1-1362+++П-16-1-1362+++П-16-1-1362)
ДАЗПО-П16-1-1363,fs-ref,1,ДАЗпО-(П-16-1-1363+++П-16-1-1363+++П-16-1-1363)
ДАЗПО-П16-1-1364,fs-ref,1,ДАЗпО-(П-16-1-1364+++П-16-1-1364+++П-16-1-1364)
ДАЗПО-П16-1-1365,fs-ref,1,ДАЗпО-(П-16-1-1365+++П-16-1-1365+++П-16-1-1365)
ДАЗПО-П16-1-1366,fs-ref,1,ДАЗпО-(П-16-1-1366+++П-16-1-1366+++П-16-1-1366)
ДАЗПО-П16-1-1367,fs-ref,1,ДАЗпО-(П-16-1-1367+++П-16-1-1367+++П-16-1-1367)
ДАЗПО-П16-1-1368,fs-ref,1,ДАЗпО-(П-16-1-1368+++П-16-1-1368+++П-16-1-1368)
ДАЗПО-П16-1-1369,fs-ref,1,ДАЗпО-(П-16-1-1369+++П-16-1-1369+++П-16-1-1369)
ДАЗПО-П16-1-1370,fs-ref,1,ДАЗпО-(П-16-1-1370+++П-16-1-1370+++П-16-1-1370)
ДАЗПО-П16-1-1371,fs-ref,1,ДАЗпО-(П-16-1-1371+++П-16-1-1371+++П-16-1-1371)
ДАЗПО-П16-1-1372,fs-ref,1,ДАЗпО-(П-16-1-1372+++П-16-1-1372+++П-16-1-1372)
ДАЗПО-П16-1-1373,fs-ref,1,ДАЗпО-(П-16-1-1373+++П-16-1-1373+++П-16-1-1373)
ДАЗПО-П16-1-1374,fs-ref,1,ДАЗпО-(П-16-1-1374+++П-16-1-1374+++П-16-1-1374)
ДАЗПО-П16-1-1375,fs-ref,1,ДАЗпО-(П-16-1-1375+++П-16-1-1375+++П-16-1-1375)
ДАЗПО-П16-1-1376,fs-ref,1,ДАЗпО-(П-16-1-1376+++П-16-1-1376+++П-16-1-1376)
ДАЗПО-П16-1-1377,fs-ref,1,ДАЗпО-(П-16-1-1377+++П-16-1-1377+++П-16-1-1377)
ДАЗПО-П16-1-1378,fs-ref,1,ДАЗпО-(П-16-1-1378+++П-16-1-1378+++П-16-1-1378)
ДАЗПО-П16-1-1379,fs-ref,1,ДАЗпО-(П-16-1-1379+++П-16-1-1379+++П-16-1-1379)
ДАЗПО-П16-1-1380,fs-ref,1,ДАЗпО-(П-16-1-1380+++П-16-1-1380+++П-16-1-1380)
ДАЗПО-П16-1-1381,fs-ref,1,ДАЗпО-(П-16-1-1381+++П-16-1-1381+++П-16-1-1381)
ДАЗПО-П16-1-1382,fs-ref,1,ДАЗпО-(П-16-1-1382+++П-16-1-1382+++П-16-1-1382)
ДАЗПО-П16-1-1383,fs-ref,1,ДАЗпО-(П-16-1-1383+++П-16-1-1383+++П-16-1-1383)
ДАЗПО-П16-1-1384,fs-ref,1,ДАЗпО-(П-16-1-1384+++П-16-1-1384+++П-16-1-1384)
ДАЗПО-П16-1-1385,fs-ref,1,ДАЗпО-(П-16-1-1385+++П-16-1-1385+++П-16-1-1385)
ДАЗПО-П16-1-1386,fs-ref,1,ДАЗпО-(П-16-1-1386+++П-16-1-1386+++П-16-1-1386)
ДАЗПО-П16-1-1387,fs-ref,1,ДАЗпО-(П-16-1-1387+++П-16-1-1387+++П-16-1-1387)
ДАЗПО-П16-1-1388,fs-ref,1,ДАЗпО-(П-16-1-1388+++П-16-1-1388+++П-16-1-1388)
ДАЗПО-П16-1-1389,fs-ref,1,ДАЗпО-(П-16-1-1389+++П-16-1-1389+++П-16-1-1389)
ДАЗПО-П16-1-1390,fs-ref,1,ДАЗпО-(П-16-1-1390+++П-16-1-1390+++П-16-1-1390)
ДАЗПО-П16-1-1391,fs-ref,1,ДАЗпО-(П-16-1-1391+++П-16-1-1391+++П-16-1-1391)
ДАЗПО-П16-1-1392,fs-ref,1,ДАЗпО-(П-16-1-1392+++П-16-1-1392+++П-16-1-1392)
ДАЗПО-П16-1-1393,fs-ref,1,ДАЗпО-(П-16-1-1393+++П-16-1-1393+++П-16-1-1393)
ДАЗПО-П16-1-1394,fs-ref,1,ДАЗпО-(П-16-1-1394+++П-16-1-1394+++П-16-1-1394)
