oc_id,parsed,pat,target
60b70f88-f0f0-451e-a422-c21bcdad3a05,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ324, 1850)","p1 Ф,о,д",ДАХО-31-141-324
80545cf2-97f7-45f0-ab04-f306758b0646,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ324, 1850)","p1 Ф,о,д",ДАХО-31-141-324
06f0b9a2-8658-4936-b91d-a3e5cf59147a,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ324, 1850)","p1 Ф,о,д",ДАХО-31-141-324
4f1395fb-c633-4f18-b529-c666fdbef7fa,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ325, 1850)","p1 Ф,о,д",ДАХО-31-141-325
5287f094-dd28-4de8-8b83-8b641547870f,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ325, 1850)","p1 Ф,о,д",ДАХО-31-141-325
f91341c4-befe-4598-992f-c1c6f4802456,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ325, 1850)","p1 Ф,о,д",ДАХО-31-141-325
8d8d47bf-1dc5-43d4-a6fd-0c371a14c6a9,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ326, 1850)","p1 Ф,о,д",ДАХО-31-141-326
5abcb914-baf2-4a86-a748-e84ae50c1844,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ326, 1850)","p1 Ф,о,д",ДАХО-31-141-326
540cdac5-d8a9-4e89-9f5c-b60111109c18,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ327, 1850)","p1 Ф,о,д",ДАХО-31-141-327
0ee72003-ff7c-4bf9-8975-81d7f39cc212,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ327, 1850)","p1 Ф,о,д",ДАХО-31-141-327
84c1a6f4-3ed8-4d89-9c21-a5a0c5febddc,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ328, 1850)","p1 Ф,о,д",ДАХО-31-141-328
e3ef5676-0f8d-4f08-88b6-d4e33000002e,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ328, 1850)","p1 Ф,о,д",ДАХО-31-141-328
d1243252-e520-43bd-859c-3f7a12810b7c,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ329, 1850)","p1 Ф,о,д",ДАХО-31-141-329
69c43c44-243b-4259-beeb-ef39af2551f7,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ329, 1850)","p1 Ф,о,д",ДАХО-31-141-329
40449974-1801-47a4-8f92-573f0f6745f0,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ331, 1850)","p1 Ф,о,д",ДАХО-31-141-331
647d9512-9fe0-4447-8b69-9e75511de66c,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ331, 1850)","p1 Ф,о,д",ДАХО-31-141-331
5dec0066-704f-4265-8040-69c9788e02bd,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ332, 1850)","p1 Ф,о,д",ДАХО-31-141-332
986b6645-1448-4516-b3f5-ca5f98f26677,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ332, 1850)","p1 Ф,о,д",ДАХО-31-141-332
577088b5-c121-41c5-bf23-486b829ff81b,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ332а, 1858)","p1 Ф,о,д",ДАХО-31-141-332А
001bdff6-16b4-47fa-a143-e160c650058a,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ333, 1850)","p1 Ф,о,д",ДАХО-31-141-333
431e8d4f-cebd-4ed1-9bc1-d4c00f86a635,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ333, 1850)","p1 Ф,о,д",ДАХО-31-141-333
a7c3ee97-d2c4-4e9e-a80d-949f919af91d,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ334, 1850)","p1 Ф,о,д",ДАХО-31-141-334
53e0dcd2-b586-4a9e-8e59-58c3ca104bb7,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ334, 1850)","p1 Ф,о,д",ДАХО-31-141-334
6389c8eb-9de8-49fd-b5f2-eb47a2b5ebdf,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ336, 1850)","p1 Ф,о,д",ДАХО-31-141-336
8cabbfbf-a4df-4f95-9bf6-9c28c2f48b66,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ336, 1850)","p1 Ф,о,д",ДАХО-31-141-336
82049955-fe37-4a07-9928-7346dd24144e,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ337, 1850)","p1 Ф,о,д",ДАХО-31-141-337
e1c4648c-bd06-4b40-bc4f-e197aec7ec05,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ337, 1850)","p1 Ф,о,д",ДАХО-31-141-337
b2fc685f-b785-49e3-8681-3c8c4e4a892d,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ338, 1850)","p1 Ф,о,д",ДАХО-31-141-338
6f609be6-b5ad-4367-8b99-b5a03246de2a,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ338, 1850)","p1 Ф,о,д",ДАХО-31-141-338
8acfefcf-56f7-43ef-a400-9b00eeee3da5,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ339, 1850)","p1 Ф,о,д",ДАХО-31-141-339
8b4f4cb4-c8e0-4ed9-b2bf-93214ad1816d,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ339, 1850)","p1 Ф,о,д",ДАХО-31-141-339
2bcdf298-e836-4319-92be-f207054abb32,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ340, 1850)","p1 Ф,о,д",ДАХО-31-141-340
f9604ce6-3aff-4368-a774-57877f418ec1,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ342, 1850)","p1 Ф,о,д",ДАХО-31-141-342
8ce51ad5-2825-45d1-ac50-893f7ab7fb6f,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ342, 1850)","p1 Ф,о,д",ДАХО-31-141-342
f84ed412-7776-4cb0-8168-8031d213f5fa,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ343, 1850)","p1 Ф,о,д",ДАХО-31-141-343
316f85ec-75a2-4564-8641-1ca9f5bd402a,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ343, 1850)","p1 Ф,о,д",ДАХО-31-141-343
c6fb10d0-b51d-4337-b2f7-d5a04499abd4,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ344, 1850)","p1 Ф,о,д",ДАХО-31-141-344
ab4b8d56-b29b-4e18-b8a4-1ad6ce11a84f,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ344, 1850)","p1 Ф,о,д",ДАХО-31-141-344
fc5b7abe-4d41-4b75-8e2f-5ed433870d98,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ345, 1850)","p1 Ф,о,д",ДАХО-31-141-345
60e67c89-4f56-4386-a720-c9629d4907b2,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ345, 1850)","p1 Ф,о,д",ДАХО-31-141-345
79fd3dac-889a-41e3-b6c9-c76d45e65106,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ346, 1850)","p1 Ф,о,д",ДАХО-31-141-346
f5627a7d-7529-4e5f-b138-2fdfef5f26da,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ346, 1850)","p1 Ф,о,д",ДАХО-31-141-346
0bcd6891-ffb8-48a5-95e8-e974095a5f93,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ346, 1850)","p1 Ф,о,д",ДАХО-31-141-346
65cccf1a-122c-415e-9cd4-9656a4f8e992,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ347, 1850)","p1 Ф,о,д",ДАХО-31-141-347
452503d0-c96e-4051-912c-aa090dd06bb3,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ347, 1850)","p1 Ф,о,д",ДАХО-31-141-347
dbe67dec-c391-472d-b95a-5d2923295501,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ348, 1850)","p1 Ф,о,д",ДАХО-31-141-348
4c6cf24f-cd32-4a8c-ad4b-9e2030f817f4,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ348, 1850)","p1 Ф,о,д",ДАХО-31-141-348
95d075bc-a1f6-4c77-af1d-63f262be7543,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ348, 1850)","p1 Ф,о,д",ДАХО-31-141-348
6c61eac6-1578-42e3-965a-952c22fbed3a,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ349, 1850)","p1 Ф,о,д",ДАХО-31-141-349
7302e1fb-2155-4369-8277-6b5a755a4cb6,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ349, 1850)","p1 Ф,о,д",ДАХО-31-141-349
