new_full_code,src,copies,sample_parsed
ДАСО-7720-10-178,fs-ref,1,"ДАСО-(7720-10-178+++7720-10-178+++Ф. 7720, о. 10, д. 178 Смерти 1927)"
ДАСО-7720-10-179,fs-ref,1,"ДАСО-(7720-10-179+++7720-10-179+++Ф. 7720, о. 10, д. 179 Смерти 1927)"
ДАСО-7720-10-18,fs-ref,1,"ДАСО-(7720-10-18+++7720-10-18+++Ф. 7720, о. 10, д. 18 Смерти 1920-1922 -- Смерти 1924-1925)"
ДАСО-7720-10-180,fs-ref,1,"ДАСО-(7720-10-180+++7720-10-180+++Ф. 7720, о. 10, д. 180 Смерти 1927)"
ДАСО-7720-10-181,fs-ref,1,"ДАСО-(7720-10-181+++7720-10-181+++Ф. 7720, о. 10, д. 181 Смерти 1927)"
ДАСО-7720-10-182,fs-ref,1,"ДАСО-(7720-10-182+++7720-10-182+++Ф. 7720, о. 10, д. 182 Смерти 1927)"
ДАСО-7720-10-183,fs-ref,1,"ДАСО-(7720-10-183+++7720-10-183+++Ф. 7720, о. 10, д. 183 Смерти 1927)"
ДАСО-7720-10-184,fs-ref,1,"ДАСО-(7720-10-184+++7720-10-184+++Ф. 7720, о. 10, д. 184 Смерти 1927)"
ДАСО-7720-10-185,fs-ref,1,"ДАСО-(7720-10-185+++7720-10-185+++Ф. 7720, о. 10, д. 185 Рождения 1928)"
ДАСО-7720-10-186,fs-ref,1,"ДАСО-(7720-10-186+++7720-10-186+++Ф. 7720, о. 10, д. 186 Рождения 1928)"
ДАСО-7720-10-187,fs-ref,1,"ДАСО-(7720-10-187+++7720-10-187+++Ф. 7720, о. 10, д. 187 Рождения 1928)"
ДАСО-7720-10-188,fs-ref,3,"ДАСО-(7720-10-188+++7720-10-188+++Ф. 7720, о. 10, д. 188 Рождения 1928 (стр. 1-28))"
ДАСО-7720-10-189,fs-ref,2,"ДАСО-(7720-10-189+++7720-10-189+++Ф. 7720, о. 10, д. 189 (продолжение) Рождения 1928)"
ДАСО-7720-10-19,fs-ref,2,"ДАСО-(7720-10-19+++7720-10-19+++Ф. 7720, о. 10, д. 19 Смерти 1920 (стр. 1-27))"
ДАСО-7720-10-190,fs-ref,1,"ДАСО-(7720-10-190+++7720-10-190+++Ф. 7720, о. 10, д. 190 Рождения 1928)"
ДАСО-7720-10-191,fs-ref,1,"ДАСО-(7720-10-191+++7720-10-191+++Ф. 7720, о. 10, д. 191 Рождения 1928)"
ДАСО-7720-10-192,fs-ref,1,"ДАСО-(7720-10-192+++7720-10-192+++Ф. 7720, о. 10, д. 192 Рождения 1928)"
ДАСО-7720-10-193,fs-ref,1,"ДАСО-(7720-10-193+++7720-10-193+++Ф. 7720, о. 10, д. 193 Рождения 1928)"
ДАСО-7720-10-194,fs-ref,1,"ДАСО-(7720-10-194+++7720-10-194+++Ф. 7720, о. 10, д. 194 Рождения 1928)"
ДАСО-7720-10-195,fs-ref,2,"ДАСО-(7720-10-195+++7720-10-195+++Ф. 7720, о. 10, д. 195 Рождения 1928 (стр. 1-27))"
ДАСО-7720-10-199,fs-ref,1,"ДАСО-(7720-10-199+++7720-10-199+++Ф. 7720, о. 10, д. 199 (продолжение) Рождения 1928)"
ДАСО-7720-10-20,fs-ref,1,"ДАСО-(7720-10-20+++7720-10-20+++Ф. 7720, о. 10, д. 20 Смерти 1920-1921 -- Смерти 1923-1925)"
ДАСО-7720-10-200,fs-ref,1,"ДАСО-(7720-10-200+++7720-10-200+++Ф. 7720, о. 10, д. 200 Рождения 1928)"
ДАСО-7720-10-201,fs-ref,1,"ДАСО-(7720-10-201+++7720-10-201+++Ф. 7720, о. 10, д. 201 Рождения 1928)"
ДАСО-7720-10-202,fs-ref,8,"ДАСО-(7720-10-202+++7720-10-202+++Ф. 7720, о. 10, д. 202 Бракосочетания 1928 (стр. 117-136))"
ДАСО-7720-10-203,fs-ref,5,"ДАСО-(7720-10-203+++7720-10-203+++Ф. 7720, о. 10, д. 203 Бракосочетания 1928 (стр. 112-129))"
ДАСО-7720-10-204,fs-ref,3,"ДАСО-(7720-10-204+++7720-10-204+++Ф. 7720, о. 10, д. 204 Бракосочетания 1928 (стр. 1-84))"
ДАСО-7720-10-205,fs-ref,7,"ДАСО-(7720-10-205+++7720-10-205+++Ф. 7720, о. 10, д. 205 Разводы 1928 (стр. 12))"
ДАСО-7720-10-206,fs-ref,5,"ДАСО-(7720-10-206+++7720-10-206+++Ф. 7720, о. 10, д. 206 Смерти 1928 (стр. 141-148))"
ДАСО-7720-10-207,fs-ref,4,"ДАСО-(7720-10-207+++7720-10-207+++Ф. 7720, о. 10, д. 207 Смерти 1928 (стр. 113-200))"
ДАСО-7720-10-208,fs-ref,3,"ДАСО-(7720-10-208+++7720-10-208+++Ф. 7720, о. 10, д. 208 Смерти 1928 (стр. 1-23))"
ДАСО-7720-10-209,fs-ref,1,"ДАСО-(7720-10-209+++7720-10-209+++Ф. 7720, о. 10, д. 209 Смерти 1928)"
ДАСО-7720-10-21,fs-ref,2,"ДАСО-(7720-10-21+++7720-10-21+++Ф. 7720, о. 10, д. 21 Смерти 1920 (стр. 1-17))"
ДАСО-7720-10-210,fs-ref,13,"ДАСО-(7720-10-210+++7720-10-210+++Ф. 7720, о. 10, д. 210 Рождения 1929 (стр. 112-129))"
ДАСО-7720-10-211,fs-ref,2,"ДАСО-(7720-10-211+++7720-10-211+++Ф. 7720, о. 10, д. 211 Рождения 1929 (стр. 1-74))"
ДАСО-7720-10-212,fs-ref,6,"ДАСО-(7720-10-212+++7720-10-212+++Ф. 7720, о. 10, д. 212 Рождения 1929 (стр. 123-154))"
ДАСО-7720-10-213,fs-ref,16,"ДАСО-(7720-10-213+++7720-10-213+++Ф. 7720, о. 10, д. 213 Бракосочетания 1929 (стр. 1-18))"
ДАСО-7720-10-214,fs-ref,1,"ДАСО-(7720-10-214+++7720-10-214+++Ф. 7720, о. 10, д. 214 Разводы 1929)"
ДАСО-7720-10-215,fs-ref,13,"ДАСО-(7720-10-215+++7720-10-215+++Ф. 7720, о. 10, д. 215 Смерти 1929 (стр. 101-104))"
ДАСО-7720-10-216,fs-ref,4,"ДАСО-(7720-10-216+++7720-10-216+++Ф. 7720, о. 10, д. 216 Рождения 1930 (стр. 1-66))"
ДАСО-7720-10-217,fs-ref,2,"ДАСО-(7720-10-217+++7720-10-217+++Ф. 7720, о. 10, д. 217 Рождения 1930 (стр. 1-46))"
ДАСО-7720-10-218,fs-ref,1,"ДАСО-(7720-10-218+++7720-10-218+++Ф. 7720, о. 10, д. 218 Рождения 1930)"
ДАСО-7720-10-219,fs-ref,4,"ДАСО-(7720-10-219+++7720-10-219+++Ф. 7720, о. 10, д. 219 Рождения 1930 (стр. 1-36))"
ДАСО-7720-10-22,fs-ref,2,"ДАСО-(7720-10-22+++7720-10-22+++Ф. 7720, о. 10, д. 22 Смерти 1920 (стр. 1-68))"
ДАСО-7720-10-220,fs-ref,3,"ДАСО-(7720-10-220+++7720-10-220+++Ф. 7720, о. 10, д. 220 Рождения 1930 (стр. 1-81))"
ДАСО-7720-10-221,fs-ref,1,"ДАСО-(7720-10-221+++7720-10-221+++Ф. 7720, о. 10, д. 221 Рождения 1930)"
ДАСО-7720-10-222,fs-ref,2,"ДАСО-(7720-10-222+++7720-10-222+++Ф. 7720, о. 10, д. 222 Рождения 1930 (стр. 1-98))"
ДАСО-7720-10-223,fs-ref,1,"ДАСО-(7720-10-223+++7720-10-223+++Ф. 7720, о. 10, д. 223 Рождения 1930)"
ДАСО-7720-10-224,fs-ref,2,"ДАСО-(7720-10-224+++7720-10-224+++Ф. 7720, о. 10, д. 224 Рождения 1930 (стр. 104-113))"
