full_code,oc_id,parsed
ДАСО-7720-6-265,279626b6-8e35-4dce-aa03-9ab8230641a9,"ДАСО-(7720-6-265+++7720-6-265+++Ф. 7720, о. 6, д. 265 Рождения 1928)"
ДАСО-7720-6-266,91bf3d31-37f7-42f0-bf10-420d15ecc2d8,"ДАСО-(7720-6-266+++7720-6-266+++Ф. 7720, о. 6, д. 266 Рождения 1928 (стр. 178-240))"
ДАСО-7720-6-266,597a5b40-8ff7-4058-a023-cedb754b4fbd,"ДАСО-(7720-6-266+++7720-6-266+++Ф. 7720, о. 6, д. 266 Рождения 1928 (стр. 1-177))"
ДАСО-7720-6-266,3fe8889f-bacf-4ef3-884a-1dd2cf0759b3,"ДАСО-(7720-6-266+++7720-6-266+++Ф. 7720, о. 6, д. 266 Рождения 1928 (стр. 266-315))"
ДАСО-7720-6-266,905034bb-35fc-4460-a48d-d93bf9332e8e,"ДАСО-(7720-6-266+++7720-6-266+++Ф. 7720, о. 6, д. 266 (продолжение) Рождения 1928 (стр. 240-265))"
ДАСО-7720-6-267,173b42f8-a50c-454d-97f7-9166294caff2,"ДАСО-(7720-6-267+++7720-6-267+++Ф. 7720, о. 6, д. 267 Рождения 1928)"
ДАСО-7720-6-268,ba1080c3-d06e-43df-984e-8c2505d980fa,"ДАСО-(7720-6-268+++7720-6-268+++Ф. 7720, о. 6, д. 268 Рождения 1928 (стр. 1-145))"
ДАСО-7720-6-268,e42d43b1-09d8-46fe-840d-70ae57b81935,"ДАСО-(7720-6-268+++7720-6-268+++Ф. 7720, о. 6, д. 268 Рождения 1928 (стр. 146-207))"
ДАСО-7720-6-269,1d7a9cfa-7f7a-4efa-88da-0710870b428f,"ДАСО-(7720-6-269+++7720-6-269+++Ф. 7720, о. 6, д. 269 Рождения 1928)"
ДАСО-7720-6-27,f75de14e-8fea-453a-8ca4-95e27f872d96,"ДАСО-(7720-6-27+++7720-6-27+++Ф. 7720, о. 6, д. 27 Рождения 1921)"
ДАСО-7720-6-270,f89f677d-9f5e-4218-828f-95e03ffc1459,"ДАСО-(7720-6-270+++7720-6-270+++Ф. 7720, о. 6, д. 270 Рождения 1928)"
ДАСО-7720-6-271,6bad67f1-0e25-40ad-8b83-809350e0c216,"ДАСО-(7720-6-271+++7720-6-271+++Ф. 7720, о. 6, д. 271 Рождения 1928)"
ДАСО-7720-6-272,b733a834-ada6-4882-98e2-261ee6ce5472,"ДАСО-(7720-6-272+++7720-6-272+++Ф. 7720, о. 6, д. 272 Рождения 1928 (стр. 250-336))"
ДАСО-7720-6-272,6f123ff2-400a-48df-ace8-10f346def924,"ДАСО-(7720-6-272+++7720-6-272+++Ф. 7720, о. 6, д. 272 Рождения 1928)"
ДАСО-7720-6-273,67b6a150-c45c-4fa2-a642-555976b4bd1a,"ДАСО-(7720-6-273+++7720-6-273+++Ф. 7720, о. 6, д. 273 Рождения 1928 (стр. 46-88))"
ДАСО-7720-6-273,56f42b97-c1d5-4aa6-81bf-5008c9abcadb,"ДАСО-(7720-6-273+++7720-6-273+++Ф. 7720, о. 6, д. 273 Рождения 1928 (стр. 1-45))"
ДАСО-7720-6-274,ae4b325c-bf8f-4cca-ab62-bf2adf51c4f7,"ДАСО-(7720-6-274+++7720-6-274+++Ф. 7720, о. 6, д. 274 Рождения 1928)"
ДАСО-7720-6-275,efb23783-5056-4601-917e-bed159748b1b,"ДАСО-(7720-6-275+++7720-6-275+++Ф. 7720, о. 6, д. 275 Рождения 1928)"
ДАСО-7720-6-276,e0f29bd1-1172-4e18-add5-b298f34278bc,"ДАСО-(7720-6-276+++7720-6-276+++Ф. 7720, о. 6, д. 276 Рождения 1928 (стр. 173-236))"
