target_full_code,inv,fs_sprava,spr_norm,action,oc_id,url
ЦДІАК-128-1-2227,1,2227,2227,create+link,7b6fe83c-f61d-41a2-84b2-c288aabb048d,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930950
ЦДІАК-128-1-2228,1,2228,2228,create+link,a2886fc2-198a-4b51-bc8a-d4417c53801f,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930949
ЦДІАК-128-1-2230,1,2230,2230,create+link,9c990295-3959-4be5-b3a2-3958b06453cd,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930948
ЦДІАК-128-1-2231,1,2231,2231,create+link,0f8361f5-765f-4d27-98c4-8d7085545eb5,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930951
ЦДІАК-128-1-2232,1,2232,2232,create+link,115f3a0d-f40e-4da1-8b76-6c36ddd04d72,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930952
ЦДІАК-128-1-2233,1,2233,2233,create+link,cf8a78f0-7f01-46d5-9970-c14b211deba3,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930954
ЦДІАК-128-1-2234,1,2234,2234,create+link,11dd088d-a127-4a56-81a9-6ee492fa7acb,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930953
ЦДІАК-128-1-2235,1,2235,2235,create+link,cc11eb5c-7b12-4da1-b032-d7d2539845ce,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930956
ЦДІАК-128-1-2236,1,2236,2236,create+link,c998172a-f019-4de1-9023-ec5458c143a3,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930955
ЦДІАК-128-1-2237,1,2237,2237,create+link,d69e5d6f-8a73-4faa-b7e8-68aa683b4465,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930957
ЦДІАК-128-1-2238,1,2238,2238,create+link,e7b49258-7a7f-4b1b-a708-9ed408860fc9,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930958
ЦДІАК-128-1-2239,1,2239,2239,create+link,4f6dfc3d-7792-4655-9a40-21f6db51315f,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930962
ЦДІАК-128-1-2270,1,2270,2270,create+link,b4eb81bf-4b2b-43e4-9720-1938263556ff,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930473
ЦДІАК-128-1-2297,1,2297,2297,create+link,eb5128b0-b822-4df5-9d2e-c91fdd43ecf5,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930753
ЦДІАК-128-1-2298,1,2298,2298,create+link,aab63b84-688d-4527-8d24-8d53c64c982c,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930754
ЦДІАК-128-1-2299,1,2299,2299,create+link,1c31b1ec-7119-489b-afe3-267d584917a0,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930751
ЦДІАК-128-1-2300,1,2300,2300,create+link,8657dfde-ddcd-4277-88a2-1f57b9eb6f0a,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930750
ЦДІАК-128-1-2301,1,2301,2301,create+link,6fd88ca2-64cb-4fc2-a632-e0a2913215c4,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930744
ЦДІАК-128-1-2302,1,2302,2302,create+link,2810b4cc-aac0-4243-b417-3da8cfeba89b,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930745
ЦДІАК-128-1-2303,1,2303,2303,create+link,07f900be-a5ad-47b9-8633-a7747117f5e2,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930747
ЦДІАК-128-1-2304,1,2304.1,2304,create+link,6d011ef8-d5e2-435e-8d7c-911a4318d2fa,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930741
ЦДІАК-128-1-2305,1,2305,2305,create+link,381dbc10-cb4a-460a-85c0-3f8161029bdf,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930748
ЦДІАК-128-1-2307,1,2307,2307,create+link,bca65871-2f19-4862-a61b-e97073ef1f75,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930749
ЦДІАК-128-1-2308,1,2308,2308,create+link,b724b371-222d-4d59-86a1-fd4a48f7fa83,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930740
ЦДІАК-128-1-2309,1,2309,2309,create+link,9ab30f9f-e399-4f66-b7d1-9957b7cc2e1a,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930489
ЦДІАК-128-1-2310,1,2310,2310,create+link,99850678-25f5-440e-86b0-4d16bdf63945,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930481
ЦДІАК-128-1-2311,1,2311,2311,create+link,dfc8fef9-ed80-430e-8850-9ff8e0661ae4,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930490
ЦДІАК-128-1-2312,1,2312,2312,create+link,3361780b-cf76-42a3-9c8a-fa6c19378609,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930497
ЦДІАК-128-1-2313,1,2313,2313,create+link,57dd8948-3986-41ba-b02d-2ac50c3cd3d6,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930499
ЦДІАК-128-1-2314,1,2314,2314,create+link,b9869c0f-708f-49d5-9d7f-362b91df3e1d,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930492
ЦДІАК-128-1-2315,1,2315,2315,create+link,34a75ff6-baf5-47d0-8a77-29cdc926a3f4,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930493
ЦДІАК-128-1-2316,1,2316,2316,create+link,30116c20-77e0-4eb7-963b-dbcd615a2f76,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930496
ЦДІАК-128-1-2317,1,2317,2317,create+link,dc91f382-54e0-448c-99c9-5a29b6aeec7c,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930501
ЦДІАК-128-1-2318,1,2318,2318,create+link,f8eace5d-3492-4044-b0ae-9a2e308fabc1,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930502
ЦДІАК-128-1-2319,1,2319ч.1,2319,create+link,c006cc6b-09fe-42cc-8e94-41ac6bb6cb91,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930483
ЦДІАК-128-1-2352,1,2352ч.19,2352,create+link,4f3dfc19-1030-4c67-9e4a-2093e61c8d66,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930565
