copy_id,parsed,target,target_id,kind
57d102c2-0d2b-4c06-97ae-322f2b99ce8a,ЦДНТА-(Р-107-3-36-1-100+++Р-107-3-36-1-100+++Р-107-3-36-1-100),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
88be3a03-bab1-49b0-a9c0-885168b0a5fb,ЦДНТА-(Р-107-3-36-1-66+++Р-107-3-36-1-66+++Р-107-3-36-1-66),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
16ddb02a-8c4b-4e0c-83c1-8d1d09c4107b,ЦДНТА-(Р-107-3-36-1-65+++Р-107-3-36-1-65+++Р-107-3-36-1-65),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
7bafb13d-3724-4905-a4f5-a352e4371dd8,ЦДНТА-(Р-107-3-36-1-60+++Р-107-3-36-1-60+++Р-107-3-36-1-60),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
a4faa06b-1a7d-436f-80be-c69e364abf51,ЦДНТА-(Р-107-3-36-1-68+++Р-107-3-36-1-68+++Р-107-3-36-1-68),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
bf4b3e63-f070-4473-bbaa-5f8d7c6890ef,ЦДНТА-(Р-107-3-36-1-70+++Р-107-3-36-1-70+++Р-107-3-36-1-70),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
0002535c-0627-440a-9c56-da0d1733ff7e,ЦДНТА-(Р-107-3-36-1-71+++Р-107-3-36-1-71+++Р-107-3-36-1-71),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
dabfccff-3b12-40a8-9b68-168253a4cda7,ЦДНТА-(Р-107-3-36-1-74+++Р-107-3-36-1-74+++Р-107-3-36-1-74),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
cc6f4a42-461f-4037-a4ff-36b5133f7be7,ЦДНТА-(Р-107-3-36-1-77+++Р-107-3-36-1-77+++Р-107-3-36-1-77),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
beba35dd-e8d5-463e-92a6-699c7fd6c9ff,ЦДНТА-(Р-107-3-36-1-79+++Р-107-3-36-1-79+++Р-107-3-36-1-79),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
90d97275-1348-4fba-a4d4-9630eb20d808,ЦДНТА-(Р-107-3-36-1-86+++Р-107-3-36-1-86+++Р-107-3-36-1-86),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
47415377-9074-4da2-b552-e602aa806f0a,ЦДНТА-(Р-107-3-36-1-78+++Р-107-3-36-1-78+++Р-107-3-36-1-78),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
a711eab3-0440-435f-a3ca-b9fa20df9f81,ЦДНТА-(Р-107-3-36-1-87+++Р-107-3-36-1-87+++Р-107-3-36-1-87),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
180c1a7d-7866-4795-bf4c-fe08c59bf211,ЦДНТА-(Р-107-3-36-1-92+++Р-107-3-36-1-92+++Р-107-3-36-1-92),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
033ee8e7-fd8e-4bbd-99aa-1216587f411f,ЦДНТА-(Р-107-3-36-1-93+++Р-107-3-36-1-93+++Р-107-3-36-1-93),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
4ec7def2-bad2-42b6-8d2b-fc01ff890038,ЦДНТА-(Р-107-3-36-1-108+++Р-107-3-36-1-108+++Р-107-3-36-1-108),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
53924312-cb17-4f15-bb83-c64f5240ec60,ЦДНТА-(Р-107-3-36-1-91+++Р-107-3-36-1-91+++Р-107-3-36-1-91),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
26f66593-0266-4118-acbc-bc75cf19ebe3,ЦДНТА-(Р-107-3-36-1-85-а+++Р-107-3-36-1-85-а+++Р-107-3-36-1-85-а),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
dbd0707b-48f1-45c0-8f7c-35cfef6551bd,ЦДНТА-(Р-107-3-36-1-109+++Р-107-3-36-1-109+++Р-107-3-36-1-109),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
bbbe8ee4-d354-4514-ade0-9c35d0dde479,ЦДНТА-(Р-107-3-36-1-95+++Р-107-3-36-1-95+++Р-107-3-36-1-95),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
680c5d71-51ed-4a12-b03e-93495574ce8a,ЦДНТА-(Р-107-3-36-1-85+++Р-107-3-36-1-85+++Р-107-3-36-1-85),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
619701cf-33e7-468f-aaeb-0212b0536c12,ЦДНТА-(Р-107-3-36-1-84+++Р-107-3-36-1-84+++Р-107-3-36-1-84),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
ebc8c376-49d7-4ec1-bfb7-f78bd8ace69f,ЦДНТА-(Р-107-3-36-1-105+++Р-107-3-36-1-105+++Р-107-3-36-1-105),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
e4824d7f-4222-4184-aae2-52a192af2376,ЦДНТА-(Р-107-3-36-1-120+++Р-107-3-36-1-120+++Р-107-3-36-1-120),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
60f3ca6f-cf23-4b9a-ae69-93a63d770b9e,ЦДНТА-(Р-107-3-36-1-112+++Р-107-3-36-1-112+++Р-107-3-36-1-112),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
ef769a2a-3e88-4bf2-b9de-fcf951abe56e,ЦДНТА-(Р-107-3-36-1-115+++Р-107-3-36-1-115+++Р-107-3-36-1-115),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
b3f80311-91be-4987-9335-5cc668841696,ЦДНТА-(Р-107-3-36-1-121+++Р-107-3-36-1-121+++Р-107-3-36-1-121),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
7c168311-c275-430c-86b7-e8bf48a36ac6,ЦДНТА-(Р-107-3-36-1-128+++Р-107-3-36-1-128+++Р-107-3-36-1-128),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
9590e017-b9f8-46ca-8b77-441efccd18bd,ЦДНТА-(Р-107-3-36-1-136+++Р-107-3-36-1-136+++Р-107-3-36-1-136),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
a28b9e10-9dd8-4e00-a48d-ae4adf8d8d21,ЦДНТА-(Р-107-3-36-1-138+++Р-107-3-36-1-138+++Р-107-3-36-1-138),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
7b2d7045-dd46-44ef-9a90-9ecf3fce68ef,ЦДНТА-(Р-107-3-36-1-118+++Р-107-3-36-1-118+++Р-107-3-36-1-118),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
f508dc05-c5e5-4e06-bfd7-a6f79e27c062,ЦДНТА-(Р-107-3-36-1-132+++Р-107-3-36-1-132+++Р-107-3-36-1-132),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
6d901106-05e2-4210-a26b-d0fa5f057fc0,ЦДНТА-(Р-107-3-36-1-135+++Р-107-3-36-1-135+++Р-107-3-36-1-135),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
0ef8282f-d72b-499c-9611-4c7a7e8f4516,ЦДНТА-(Р-107-3-36-1-133+++Р-107-3-36-1-133+++Р-107-3-36-1-133),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
