id,code,title
43e0c717-5d8c-4fbd-82d1-38efd91d4468,Р184,
b701d2a1-35b3-41cf-a47f-4fbfea1816fe,Р185,
ce3af849-1265-44f4-96f5-64860279d8cd,Р186,Сіялки
01737e26-d502-4c7b-815b-590252ed48c3,Р188,
3e2d1c18-4242-4bf4-afd8-cab01eb87465,Р189,Автонавантажувачі
e876a77a-3cac-46e3-afb8-3cfbcacc9b20,Р19,Танкер «Вайян Кутюр’є»
98c3be95-d3c2-4cbd-b8d8-429754baaf6c,Р190,"Автомобілі. Проект: ""Автомобіль ЗАЗ-965 «Запорожець»"""
b15dbded-3716-450d-bab2-4de56a1795e6,Р191,"Автомобілі. Проект: ""Вантажний автомобіль КРАЗ-214 /КД/"""
24eb1be6-8e29-4fb2-af80-57ed3b9c4118,Р192,
5e22e8d7-ee89-46b7-88af-535c21dc77e6,Р193,
41a24379-3ae6-4629-89c0-2ab6895d6fa9,Р196,
ab7647e0-d3c0-49c6-9a7d-79c698ff6bc4,Р198,
878afa2d-3e53-437f-a55e-fccc691a9e75,Р199,Лабораторія пенетраціонно-каротажної станції
db1b5cc3-0873-44a0-b7cd-b1bf6abf18e0,Р2,Звіти за темами НДР Харківського проектного та науково-дослідного інституту «ПромбудНДІпроект»
d2cea903-e15f-4299-bd81-bac8032fd1e8,Р20,
5eb03092-1b2a-48d8-bda7-418550f588e8,Р200,
bf4304b0-d4d8-46f7-9dea-87255c8b3412,Р202,"Заваров Олексій Іванович (1917–2003 рр.) – кандидат архітектури, спеціаліст у галузі житлового будівництва, Народний архітектор УРСР, Заслужений будівельник УРСР, лауреат Державної премії УРСР, член-кореспондент Академії мистецтв СРСР"
82a39adb-b2a1-4c50-b20e-c00a18277f11,Р203,Тихомиров Віктор Петрович (1887–1973 рр.) – інженер шляхів сполучення
cfe63c3e-04ef-4543-b886-968c436b0e3a,Р204,Науково-дослідні роботи від Науково-дослідного інституту будівельного виробництва
43a9f1ae-2d49-4a02-a3c7-3e5823a8d26f,Р205,"Звіти про науково-дослідні роботи дослідного інституту швейної промисловості ""УКРНДІШВЕЙПРОМ"""
a6155e01-6a2d-4124-8dc3-bd41fb2f2e4e,Р206,"Матвієнко Олександра Михайлівна (1910–1996 рр.) – ботанік-альголог, доктор біологічних наук, професор Харківського державного університету імені М. Горького"
47e8f44a-8ae5-4a4e-b2ca-037944cb7ce6,Р207,Установка для виготовлення склопластикових труб УТНП-2
b93fcc58-1ec3-4351-9188-0ebcb5d82d87,Р208,Звіти про науково-дослідні роботи НВО «Укргідроспецбуд»
f30eebe7-92cb-41d7-b093-e9cc8a503a75,Р209,"Прокудін Юрій Миколайович (1911–1992 рр.) – вчений-ботанік, доктор біологічних наук, професор Харківського державного університету імені М. Горького"
ad436f4a-614c-4878-81d3-a999147ed61c,Р21,
e02a468b-ed7b-4e5f-ab94-1192765b9df7,Р213,Звіти про науково-дослідні роботи Українського наукового центру охорони вод
a8cd0f4d-bc70-46d3-9741-4897972b384a,Р216,"Звіти про науково-дослідні роботи Спеціального проектного конструкторсько-технологічного інституту по розробкам і впровадженню автоматизованих систем управління та обладнання, СПКТІ АС"
0156aff8-9bb5-47b5-9b26-282bd2a41d0e,Р218,
fa412e8e-3ca0-4007-a546-c7247f36c917,Р219,
d0d7115f-a513-4f86-b6ea-d8be38fc6b36,Р22,Перший радянський блюмінг
0aa24de1-a60a-4999-bf7b-93d407204a7b,Р220,
e641339d-ba83-40bb-88fa-8b81be4f0873,Р221,Велосипеди шляхові
27fbb5bb-f70c-4f85-8a67-ccdfc521feff,Р222,"Звіти про науково-дослідні роботи Харківського спеціального конструкторсько-технологічного бюро ""Машприладпластик"""
