copy_id,parsed,method,old_file_id,old_inventory_id,new_file_id,new_full_code,deleted_as_dup
cbacca94-35ac-4172-a6d5-64ee866142a3,ЦДНТА-(Р-78-3-22-2-566+++Р-78-3-22-2-566+++Р-78-3-22-2-566),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,22866402-35ae-43fb-9278-04632fc38a6f,ЦДНТА-Р78-2Д-566,f
28fcc1b1-2f1b-4150-a045-9ae31e976d9a,ЦДНТА-(Р-78-3-22-2-567+++Р-78-3-22-2-567+++Р-78-3-22-2-567),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,ce36df48-4281-4698-9357-735df376a7bb,ЦДНТА-Р78-2Д-567,f
6d71709e-0436-40d5-bff3-c1bd46602797,ЦДНТА-(Р-78-3-22-2-568+++Р-78-3-22-2-568+++Р-78-3-22-2-568),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,9739bd73-021f-468d-bd2b-c3711f6e724c,ЦДНТА-Р78-2Д-568,f
a4351753-5541-4a33-9759-faa8b174adf7,ЦДНТА-(Р-78-3-22-2-569+++Р-78-3-22-2-569+++Р-78-3-22-2-569),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,c4003ebc-b759-4321-b9e1-7f8806a2fc47,ЦДНТА-Р78-2Д-569,f
6a6b3444-2fc5-4b09-8a2b-c968f55599d6,ЦДНТА-(Р-78-3-22-2-570+++Р-78-3-22-2-570+++Р-78-3-22-2-570),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,b897289a-6d00-4e0b-8675-8f1f2bff6449,ЦДНТА-Р78-2Д-570,f
3e3729fd-96dc-43f9-b622-c779860065d0,ЦДНТА-(Р-78-3-22-2-571+++Р-78-3-22-2-571+++Р-78-3-22-2-571),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,e4214236-aa83-4c1b-9f59-820d7afff343,ЦДНТА-Р78-2Д-571,f
1823a1ff-6975-4d45-9bc7-c30f68814e5f,ЦДНТА-(Р-78-3-22-2-572+++Р-78-3-22-2-572+++Р-78-3-22-2-572),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,9fef51f2-5786-47a2-ac4a-53359f3b54ed,ЦДНТА-Р78-2Д-572,f
b5b4ae07-2885-434b-8bfe-7eff9d2eb3ff,ЦДНТА-(Р-78-3-22-2-573+++Р-78-3-22-2-573+++Р-78-3-22-2-573),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,00099235-d604-40a4-bc30-5abac6e037ca,ЦДНТА-Р78-2Д-573,f
9c08676b-07a0-44ee-9427-d2893be71522,ЦДНТА-(Р-78-3-22-2-574+++Р-78-3-22-2-574+++Р-78-3-22-2-574),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,05261be9-f9c5-4ef2-9dc9-90888da84f9f,ЦДНТА-Р78-2Д-574,f
20e9b12f-ff72-4bfc-b3c8-5b7ae94df8ea,ЦДНТА-(Р-78-3-22-2-575+++Р-78-3-22-2-575+++Р-78-3-22-2-575),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,735dafb9-529a-446e-bb77-62aa45ead32e,ЦДНТА-Р78-2Д-575,f
