id,created_at,created_by,resolved_at,resolved_by,type,note,is_rejected,online_copy_id,inventory_id
cc1a201d-2fc0-45a7-9cda-1470297ca671,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,42fb269c-719b-4fa2-abe9-52ef1018b470,0c98e68f-682f-4cd6-8b75-1d095d48894c
cd283e29-db9e-4a66-95b5-76309fe82b03,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,1d8fc0ac-9091-4394-934d-ac206e8d7d43,0c98e68f-682f-4cd6-8b75-1d095d48894c
2f43696a-f918-49a7-9444-c47852fdf511,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,d937ff32-b236-45a0-8010-d82e84cca9a2,0c98e68f-682f-4cd6-8b75-1d095d48894c
d8d6e455-95a4-4857-9433-a5c93da5ec0c,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,ae6926c3-83c8-4090-9147-2391c017c36b,0c98e68f-682f-4cd6-8b75-1d095d48894c
93c7676e-0b11-47d5-8ec4-d99e26a271ef,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,c823f299-7f22-488e-908a-fb7cc5897088,0c98e68f-682f-4cd6-8b75-1d095d48894c
870337f6-94e8-43dc-80aa-1fd35fb7ccf8,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,f386cb24-1f3f-4c9a-b537-e551f6471c07,0c98e68f-682f-4cd6-8b75-1d095d48894c
8b515287-5154-4f3c-b66a-afa2c3c68351,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,bd4a6fb5-d539-4978-b426-aea3b1e7cd47,0c98e68f-682f-4cd6-8b75-1d095d48894c
2b9316bc-4674-472a-8f25-ea633d596bc6,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,03f8217b-466a-4391-982e-a0f406511a1e,0c98e68f-682f-4cd6-8b75-1d095d48894c
f2f9e7f9-38ec-4403-b93e-ab162896ef24,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,65a4665c-3880-4575-afd4-5f8ce82028e5,0c98e68f-682f-4cd6-8b75-1d095d48894c
75f60f2a-e4de-460d-a4d9-4f6002fdb960,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,30cf2ff3-101b-4d7e-b437-6af74936da7b,0c98e68f-682f-4cd6-8b75-1d095d48894c
5eb55423-e482-4ff9-a555-7096990a4c78,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,a80b782e-eef4-4d89-a7f9-3fbe3e7e864c,0c98e68f-682f-4cd6-8b75-1d095d48894c
9cdd3697-b96b-46e2-b03b-67d1a4961dd0,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,eabe6e5d-71a8-4066-870b-4a0ba9d72cef,0c98e68f-682f-4cd6-8b75-1d095d48894c
