old_full_code,new_full_code
ПЕРІОДИКА-1005-1923-73217,ПЕРІОДИКА-1005-1923-113
ПЕРІОДИКА-1005-1923-73218,ПЕРІОДИКА-1005-1923-27
ПЕРІОДИКА-1005-1923-73219,ПЕРІОДИКА-1005-1923-223
ПЕРІОДИКА-1005-1923-73220,ПЕРІОДИКА-1005-1923-19
ПЕРІОДИКА-1005-1923-73221,ПЕРІОДИКА-1005-1923-2
ПЕРІОДИКА-1005-1923-73222,ПЕРІОДИКА-1005-1923-184
ПЕРІОДИКА-1005-1923-73223,ПЕРІОДИКА-1005-1923-70
ПЕРІОДИКА-1005-1923-73224,ПЕРІОДИКА-1005-1923-166
ПЕРІОДИКА-1005-1923-73225,ПЕРІОДИКА-1005-1923-194
ПЕРІОДИКА-1005-1923-73226,ПЕРІОДИКА-1005-1923-137
ПЕРІОДИКА-1005-1923-73227,ПЕРІОДИКА-1005-1923-115
ПЕРІОДИКА-1005-1923-73228,ПЕРІОДИКА-1005-1923-50
ПЕРІОДИКА-1005-1923-73229,ПЕРІОДИКА-1005-1923-108
ПЕРІОДИКА-1005-1923-73230,ПЕРІОДИКА-1005-1923-143
ПЕРІОДИКА-1005-1923-73231,ПЕРІОДИКА-1005-1923-185
ПЕРІОДИКА-1005-1923-73232,ПЕРІОДИКА-1005-1923-195
ПЕРІОДИКА-1005-1923-73233,ПЕРІОДИКА-1005-1923-96
ПЕРІОДИКА-1005-1923-73234,ПЕРІОДИКА-1005-1923-80
ПЕРІОДИКА-1005-1923-73235,ПЕРІОДИКА-1005-1923-104
ПЕРІОДИКА-1005-1923-73236,ПЕРІОДИКА-1005-1923-66
ПЕРІОДИКА-1005-1923-73237,ПЕРІОДИКА-1005-1923-1
ПЕРІОДИКА-1005-1923-73238,ПЕРІОДИКА-1005-1923-72
ПЕРІОДИКА-1005-1923-73239,ПЕРІОДИКА-1005-1923-192
ПЕРІОДИКА-1005-1923-73240,ПЕРІОДИКА-1005-1923-46
ПЕРІОДИКА-1005-1923-73241,ПЕРІОДИКА-1005-1923-55
ПЕРІОДИКА-1005-1923-73242,ПЕРІОДИКА-1005-1923-64
