id,info
18cd53a5-182a-409c-b819-186ec6479240,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHV-H7Q2-19LW-K?view=explore&groupId=TH-7720-139102-77069-40&lang=uk
195d2f92-6fb8-43a7-a3d2-c51058373862,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHV-D7QL-3TZD?view=explore&groupId=TH-7720-139102-77069-40&lang=uk
1a16f5b0-958f-4bf1-8698-f630b02d8381,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHV-X7QL-776Y?view=explore&groupId=TH-7719-139101-67541-30&lang=uk
1aed6f79-95d3-4f67-8941-d2fb88eea81e,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHJ-L7Q2-D7D7-7?view=explore&groupId=TH-7719-139101-67532-31&lang=uk
1b1f243f-8b67-4359-bc03-4dd6e4d90de3,Повіт: Ямпільський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHJ-TQ1J-LXZJ?view=explore&groupId=TH-7771-134223-7084-34&lang=uk
1b3492d6-3491-467d-982c-6c19a8714ce0,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHK-4731-S9YP-Y?view=explore&groupId=TH-7701-138496-65071-66&lang=uk
1b5c9840-f19c-4de8-ac66-0ed3bdeb66e6,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHV-F7QL-WQCJ?view=explore&groupId=TH-7719-139101-67543-84&lang=uk
1b6b85d6-1e06-4aa9-a531-e21a8c4d8cf3,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHK-C731-QSSK-D?view=explore&groupId=TH-7701-138496-65071-66&lang=uk
1d33ff85-4264-4d70-b01f-0e29b889124d,Повіт: Вінницький | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHK-N78R-LVDK?view=explore&groupId=TH-7738-145172-55122-72&lang=uk
1f592a61-4a56-4f68-96fb-ad57cb9f1d72,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHV-H7Q2-196J-1?view=explore&groupId=TH-7719-139101-67541-30&lang=uk
1f7bf237-aed1-42a9-8b7f-fef424c09c72,Повіт: Вінницький | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHK-N78R-LV8N?view=explore&groupId=TH-7738-145172-55122-72&lang=uk
1f8b4548-623f-4ffa-909d-70984a203f79,Повіт: Вінницький | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHK-H78R-69D8-N?view=explore&groupId=TH-7738-145172-55122-72&lang=uk
20473ec3-d616-4ceb-bdcc-7c27380a08bb,Повіт: Ямпільський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHJ-RQ1J-2B7B?view=explore&groupId=TH-7771-134223-7084-34&lang=uk
206b2791-24fc-420d-8bf9-3d4d096facfa,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHV-H7Q2-19FY-8?view=explore&groupId=TH-7719-139101-67543-84&lang=uk
208af888-e2da-4adf-b325-f8c03b916fa6,Повіт: Ямпільський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHN-GQ1J-29PQ?view=explore&groupId=TH-7771-134223-7084-34&lang=uk
20a9a1c8-d50e-4e59-8535-ce2b1495c6a7,Повіт: Ковельський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHJ-V73Y-64PK-7?view=explore&groupId=TH-7701-138496-65067-78&lang=uk
21b26cb6-dc99-4627-af68-356b9dd8d708,Повіт: Ямпільський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHJ-TQ1J-LX6D?view=explore&groupId=TH-7771-134223-7084-34&lang=uk
21c543d8-6cee-4ded-9eb2-51aaf5156e92,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHV-D7QL-3J86?view=explore&groupId=TH-7719-139101-67541-30&lang=uk
22d8e980-4820-4e75-81a1-94d20ac0aa6b,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHK-4731-S9Y1-N?view=explore&groupId=TH-7701-138496-65071-66&lang=uk
23a22e99-679d-4eca-8c0d-00fc0dba71ff,Повіт: Вінницький | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHK-N78R-LV4M?view=explore&groupId=TH-7738-145172-55122-72&lang=uk
23aca7b2-0ed9-4611-98d1-32ccc2dc4c4b,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHV-H7Q2-19LM-C?view=explore&groupId=TH-7720-139102-77069-40&lang=uk
24ff288a-7006-4ee5-9edf-2ab7d098b757,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHV-N7QL-4WY?view=explore&groupId=TH-7719-139101-67543-84&lang=uk
2563325e-f66c-4efd-b289-a57b1696f167,Повіт: Ямпільський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHJ-TQ1J-LXZ3?view=explore&groupId=TH-7771-134223-7084-34&lang=uk
2566905e-a0fe-4024-b2eb-87c2453a4052,Повіт: Ямпільський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHN-GQ1J-298G?view=explore&groupId=TH-7771-134223-7084-34&lang=uk
25a8a22e-4a7a-498c-8f94-3b5ff214eca4,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHJ-L7Q2-D781-D?view=explore&groupId=TH-7719-139101-67532-31&lang=uk
265ce866-68bb-40ef-a60f-babda91ac63b,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHV-H7Q2-19SQ-Q?view=explore&groupId=TH-7719-139101-67532-31&lang=uk
27bcadbe-c366-49cc-92a6-85968c6c62a7,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHV-67QL-Q8YP?view=explore&groupId=TH-7719-139101-67541-30&lang=uk
27d82e4a-0434-4292-a988-02365f9856c5,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHV-H7Q2-19S7-X?view=explore&groupId=TH-7719-139101-67532-31&lang=uk
27f675b7-a12e-4a86-8b7e-b36503711577,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHJ-L7Q2-D7D9-W?view=explore&groupId=TH-7719-139101-67532-31&lang=uk
2879f54a-f037-4c2e-b92c-bfe3757013dc,Повіт: Вінницький | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHK-V78R-P7K2?view=explore&groupId=TH-7738-145172-55122-72&lang=uk
28e74c6e-91e9-4099-a990-20bbacfb4345,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHJ-V73Y-64TL-W?view=explore&groupId=TH-7701-138496-65071-66&lang=uk
28fe4be8-9129-4590-88f9-ca8ede1da341,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHV-F7QL-WQ4V?view=explore&groupId=TH-7719-139101-67543-84&lang=uk
2adbb640-074b-48ca-bfb4-9a111d6ff6a7,Повіт: Ямпільський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHN-GQ1J-29K3?view=explore&groupId=TH-7771-134223-7084-34&lang=uk
2b4d4648-6cd5-4f2b-ba56-e6e8fccee292,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHV-X7QL-77VX?view=explore&groupId=TH-7719-139101-67541-30&lang=uk
2d18f772-946d-40e7-b5cf-cfa38d9364d5,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHV-H7Q2-196L-T?view=explore&groupId=TH-7719-139101-67541-30&lang=uk
