seq	page	complex	fond_raw	title	opys	ranges	years	pdfs
410	opisi-2	2-336	Р-40	Дизельні двигуни для тракторного і сільськогосподарського машинобудування	1	1-568	1971-2002	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-336_1.pdf
411	opisi-2	2-336	Р-40	Дизельні двигуни для тракторного і сільськогосподарського машинобудування	2	569-1131	1973-2001	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-336_2.pdf
412	opisi-2	2-337	Р-64	Бадиллязбиральні машини	1	1-91	1972-1982	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-337_1.pdf
413	opisi-2	2-337	Р-64	Бадиллязбиральні машини	2	92-144	1985-1999	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-337_2.pdf
414	opisi-2	2-338	Р-64	Лінія механізована МСК-15	1	1-48	1977-1987	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-338_1.pdf
415	opisi-2	2-339	Р-64	Бурякопідіймач СНУ-3С з підкопувальними лапами та підкопувальною скобою	1	1-19	1958-1983	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-339_1.pdf
416	opisi-2	2-340	Р-64	Коріннязбиральні машини	1	1-30	1974-1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-340_1.pdf
417	opisi-2	2-340	Р-64	Коріннязбиральні машини	2	31-59	1985-1994	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-340_2.pdf
418	opisi-2	2-341	Р-226	Технологічне обладнання для механічної обробки	1	1-216	1979-1982	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-341_1.pdf
419	opisi-2	2-341	Р-226	Технологічне обладнання для механічної обробки	2	217-450	1975-1977	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-341_2.pdf
420	opisi-2	2-342	Р-240	Вимірювач телевізійний автоматичний мікропроцесорний зовнішнього діаметра гарячих і холодних труб у технологічному потоці типу ТАИР-2-6	1	1-220	1987-1990	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-342_1.pdf
421	opisi-2	2-343	Р-54	Пристрої для геологічної сейсморозвідки	1	1-34	1975-1992	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-343_1.pdf
422	opisi-2	2-344	Р-55	Естакада самопідйомна ЭС-350	1	1-31	1969	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-344_1.pdf
423	opisi-2	2-345	Р-226	Технологічне обладнання для контролю якості	1	1-280	1976-1982	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-345_1.pdf
424	opisi-2	2-345	Р-226	Технологічне обладнання для контролю якості	2	281-831	1978-1984	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-345_2.pdf
425	opisi-2	2-345	Р-226	Технологічне обладнання для контролю якості	3	832-875	1978-1984	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-345_3.pdf
426	opisi-2	2-346	Р-54	Колекція «Телеметричні системи»	1	1-292	1971-1995	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-346_1.pdf
427	opisi-2	2-347	Р-60	Машина для нанесення друку на поліетиленову плівку	1	1-97	1967-1968	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-347_1.pdf
428	opisi-2	2-348	Р-60	Агрегати видувні	1	1-260	1984-1988	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-348_1.pdf
429	opisi-2	2-348	Р-60	Агрегати видувні	2	261-459	1978-1984	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-348_2.pdf
430	opisi-2	2-349	Р-60	Лінія для виробництва облицювальних рулонних матеріалів ЛВРМ-1850	1	1-718	1980-1989	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-349_1.pdf
431	opisi-2	2-350	Р-226	Установка для визначення перенесення вуглецю в гелієвій атмосфері	1	1-88	1979	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-350_1.pdf
432	opisi-2	2-351	Р-226	Високотемпературна установка для випробування матеріалів на тривалу міцність і повзучість в гелієвому середовищі	1	1-86	1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-351_1.pdf
433	opisi-2	2-352	Р-226	Установка для випробування металевих матеріалів у гелієвій атмосфері на тривалу міцність і повзучість	1	1-57	1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-352_1.pdf
434	opisi-2	2-353	Р-226	Високотемпературна гелієва ампула для дослідження механічних властивостей і самозварюваності сталі	1	1-76	1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-353_1.pdf
435	opisi-2	2-354	Р-226	Установка для аналізу газів у металах	1	1-61	1981	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-354_1.pdf
436	opisi-2	2-355	Р-184	Міжопераційний транспорт автоматичних ліній	1	1-236	1987-1991	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-355_1.pdf
437	opisi-2	2-355	Р-184	Міжопераційний транспорт автоматичних ліній	2	237-888	1976-1984	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-355_2.pdf
438	opisi-2	2-355	Р-184	Міжопераційний транспорт автоматичних ліній	3	889-1588	1982-1994	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-355_3.pdf
439	opisi-2	2-355	Р-184	Міжопераційний транспорт автоматичних ліній	4	1589-1798	1982-1992	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-355_4.pdf
440	opisi-2	2-355	Р-184	Міжопераційний транспорт автоматичних ліній	5	1799-2113	1982-1992	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-355_5.pdf
441	opisi-2	2-355	Р-184	Міжопераційний транспорт автоматичних ліній	6	2114-2429	1981-1992	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-355_6.pdf
