seq	page	complex	fond_raw	title	opys	ranges	years	pdfs
639	opisi-3	3-42	Р-126	Звіти про науково-дослідні роботи	1	1-15	1967-1978	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-42_1.pdf
640	opisi-3	3-42	Р-126	Звіти про науково-дослідні роботи	2	16-28	1979	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-42_2.pdf
641	opisi-3	3-43	Р-121	Звіти про науково-дослідні роботи	1	1-121	1963-1968	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-43_1.pdf
642	opisi-3	3-44	Р-68	Звіти про науково-дослідні роботи НДІ механізації шахтного будівництва	1	1-67	1960-1979	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-44_1.pdf
643	opisi-3	3-44	Р-68	Звіти про науково-дослідні роботи НДІ механізації шахтного будівництва	2	68-122	1961-1981	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-44_2.pdf
644	opisi-3	3-44	Р-68	Звіти про науково-дослідні роботи НДІ механізації шахтного будівництва	3	123-543	1947-1967	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-44_3.pdf
645	opisi-3	3-44	Р-68	Звіти про науково-дослідні роботи НДІ механізації шахтного будівництва	4	544-909	1946-1979	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-44_4.pdf
646	opisi-3	3-44	Р-68	Звіти про науково-дослідні роботи НДІ механізації шахтного будівництва	5	910-1701	1962-2009	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-44_5.pdf
647	opisi-3	3-45	Р-135	Звіти про науково-дослідні роботи	1	1-298;299-582	1933-1961	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-45_1_1-298.pdf;https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-45_1_299-582.pdf
648	opisi-3	3-46	Р-139	Звіти про науково-дослідні роботи НДІ автоматизації керування та виробництва	1	1-339	1961-1976	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-46_1.pdf
649	opisi-3	3-46	Р-139	Звіти про науково-дослідні роботи НДІ автоматизації керування та виробництва	2	340-399	1975-1988	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-46_2.pdf
650	opisi-3	3-47	Р-146	Звіти про науково-дослідні роботи	1	1-41	1948-1963	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-47_1.pdf
651	opisi-3	3-47	Р-146	Звіти про науково-дослідні роботи	2	42-146	1964-1970	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-47_2.pdf
652	opisi-3	3-48	Р-147	Звіти про науково-дослідні роботи	1	1-18	1946-1962	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-48_1.pdf
653	opisi-3	3-49	Р-148	Звіти про науково-дослідні роботи	1	1-28	1959-1961	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-49_1.pdf
654	opisi-3	3-50	Р-151	Звіти про науково-дослідні роботи	1	1-9	1967-1973	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-50_1.pdf
655	opisi-3	3-51	Р-154	Звіти про науково-дослідні роботи	1	1-305	1960-1972	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-51_1.pdf
656	opisi-3	3-52	Р-96	Звіти про науково-дослідні роботи	1	1-83	1965-1976	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-52_1.pdf
657	opisi-3	3-53	Р-155	Звіти про науково-дослідні роботи	1	1-88	1960-1985	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-53_1.pdf
658	opisi-3	3-54	Р-160	Звіти про науково-дослідні роботи	1	1-15	1961-1965	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-54_1.pdf
659	opisi-3	3-55	Р-21	Звіти про науково-дослідні роботи НДІ сільськогосподарського машинобудування	1	1-413	1965-1970	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-55_1.pdf
660	opisi-3	3-55	Р-21	Звіти про науково-дослідні роботи НДІ сільськогосподарського машинобудування	2	414-602	1969-1975	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-55_2.pdf
661	opisi-3	3-55	Р-21	Звіти про науково-дослідні роботи НДІ сільськогосподарського машинобудування	3	603-865	1976-1983	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-55_3.pdf
662	opisi-3	3-56	Р-171	Науково-дослідні роботи. Проблема: «Розробка рецептур технологічних процесів виробництва пластичних і технологічних мастил, мастильно-охолоджуючих рідин, присадок мастил і матеріалами, стандартизація та уніфікація їх асортименту»	1	1-23	1963-1965	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-56_1.pdf
663	opisi-3	3-57	Р-172	Науково-дослідні роботи. Проблема : "Створення конструкцій, рецептури гум, технологічних процесів і обладнання для виробництва великогабаритних і надвеликогабаритних автомобільних, будівельно-дорожних і сільськогосподарських машин, а також технології та обладнання для їх місцевого та відновного ремонту "	1	1-185	1969-1983	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-57_1.pdf
664	opisi-3	3-58	Р-95	Звіти про науково-дослідні роботи НДІ машин для виробництва синтетичних волокон	1	1-29	1965-1976	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-58_1.pdf
665	opisi-3	3-58	Р-95	Звіти про науково-дослідні роботи НДІ машин для виробництва синтетичних волокон	2	30-155	1967-1985	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-58_2pdf.pdf
666	opisi-3	3-58	Р-95	Звіти про науково-дослідні роботи НДІ машин для виробництва синтетичних волокон	3	156-294	1985–1996, 1998-2000	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-58_3pdf.pdf
667	opisi-3	3-59	Р-98	Звіти про науково-дослідні роботи	1	1-15	1972-1975	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-59_1.pdf
668	opisi-3	3-59	Р-98	Звіти про науково-дослідні роботи	2	16-48	1971-1976	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-59_2.pdf
669	opisi-3	3-59	Р-98	Звіти про науково-дослідні роботи	3	49-89	1972-1977	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-59_3.pdf
670	opisi-3	3-60	Р-179	Звіти про науково-дослідні роботи НДІ будівельних конструкцій	1	1-29	1966-1967	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-60_1.pdf
671	opisi-3	3-60	Р-179	Звіти про науково-дослідні роботи НДІ будівельних конструкцій	2	30-34	1982	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-60_2.pdf
672	opisi-3	3-60	Р-179	Звіти про науково-дослідні роботи НДІ будівельних конструкцій	3	35-36	1982-1983	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-60_3.pdf
673	opisi-3	3-60	Р-179	Звіти про науково-дослідні роботи НДІ будівельних конструкцій	4	3-60	1978-1983	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-60_4.pdf
674	opisi-3	3-61	Р-180	Науково-дослідні роботи Українського науково-дослідного інституту механічної обробки деревини «УкрНІІМОД»	1	1-189	1931-1971	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-61_1.pdf
675	opisi-3	3-61	Р-180	Науково-дослідні роботи Українського науково-дослідного інституту механічної обробки деревини «УкрНІІМОД»	2	190-374	1972-1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-61_2.pdf
676	opisi-3	3-61	Р-180	Науково-дослідні роботи Українського науково-дослідного інституту механічної обробки деревини «УкрНІІМОД»	3	375-513	1981-1988	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-61_3.pdf
677	opisi-3	3-61	Р-180	Науково-дослідні роботи Українського науково-дослідного інституту механічної обробки деревини «УкрНІІМОД»	4	514-585	1989-2016	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-61_4.pdf
678	opisi-3	3-62	Р-182	Науково-дослідні роботи Запорізької філії Всесоюзного науково -дослідного і конструкторського інституту «Цветметавтоматіка» НВО «Союзкольорметавтоматика»	1	1-22	1967-1978	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-62_1.pdf
679	opisi-3	3-63	Р-141	Звіти про науково-дослідні роботи	1	1-33	1968-1984	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-63_1.pdf
680	opisi-3	3-64	Р-193	Науково-дослідні роботи Харківської філії «ВНДІливмаш»	1	1-7	1962-1968	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-64_1.pdf
681	opisi-3	3-64	Р-193	Науково-дослідні роботи Харківської філії «ВНДІливмаш»	2	8-29	1966-1977	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-64_2.pdf
682	opisi-3	3-64	Р-193	Науково-дослідні роботи Харківської філії «ВНДІливмаш»	3	30-97	1985-1995	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-64_3.pdf
683	opisi-3	3-65	Р-105	Звіти за темами науково-дослідних робіт по проблемах Зонального науково-дослідного та проектного інституту типового та експериментального проектування житлових і громадських будівель "КиївЗНДІЕП"	1	1-10	1980-1981	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-65_1.pdf
684	opisi-3	3-66	Р-204	Науково-дослідні роботи від Науково-дослідного інституту будівельного виробництва	1	1-3	1974-1979	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-66_1.pdf
685	opisi-3	3-66	Р-204	Науково-дослідні роботи від Науково-дослідного інституту будівельного виробництва	2	4-34	1981-1987	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-66_2.pdf
686	opisi-3	3-67	Р-166	Звіти про науково-дослідні роботи	1	1-2	1966	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-67_1.pdf
687	opisi-3	3-68	Р-205	Звіти про науково-дослідні роботи дослідного інституту швейної промисловості "УКРНДІШВЕЙПРОМ"	1	1-8	1964-1967	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-68_1.pdf
688	opisi-3	3-69	Р-208	Звіти про науково-дослідні роботи НВО «Укргідроспецбуд»	1	1-10	1975-1979	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-69_1.pdf
689	opisi-3	3-69	Р-208	Звіти про науково-дослідні роботи НВО «Укргідроспецбуд»	2	11-225	1968-1990	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-69_2.pdf
690	opisi-3	3-71	Р-213	Звіти про науково-дослідні роботи Українського наукового центру охорони вод	1	1-414	1966-1982	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-71_1.pdf
691	opisi-3	3-71	Р-213	Звіти про науково-дослідні роботи Українського наукового центру охорони вод	2	415-434	1983	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-71_2.pdf
692	opisi-3	3-71	Р-213	Звіти про науково-дослідні роботи Українського наукового центру охорони вод	3	435-454	1984-1986	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-71_3.pdf
693	opisi-3	3-71	Р-213	Звіти про науково-дослідні роботи Українського наукового центру охорони вод	4	455-536	1987-1996	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-71_4.pdf
694	opisi-3	3-72	Р-220	Звіти про науково-дослідні роботи Науково-дослідного і проектно-конструкторського інституту з обладнання для кондиціонування повітря і вентиляції - "НДІкондиціонер"	1	1-89	1970-1993	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-72_1.pdf
695	opisi-3	3-73	Р-222	Звіти про науково-дослідні роботи Харківського спеціального конструкторсько-технологічного бюро "Машприладпластик"	1	1-2	1983-1990	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-73_1.pdf
696	opisi-3	3-74	Р-216	Звіти про науково-дослідні роботи Спеціального проектного конструкторсько-технологічного інституту по розробкам і впровадженню автоматизованих систем управління та обладнання, СПКТІ АС	1	1-2	1991	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-74_1.pdf
697	opisi-3	3-75	Р-159	Звіти за темами НДР ВАТ "Київський науково-дослідний та проектно-конструкторський інститут "Енергопроект"	1	1-36	1971-1986	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-75_1.pdf
698	opisi-3	3-75	Р-159	Звіти за темами НДР ВАТ "Київський науково-дослідний та проектно-конструкторський інститут "Енергопроект"	2	37-47	1984-1990	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-75_2.pdf
699	opisi-3	3-76	Р-240	Звіти за темами НДР	1	1-63	1961-1992	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-76_1.pdf
700	opisi-3	3-78	Р-54	Звіти про науково-дослідні роботи	1	1-52	1980-1995	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-78_1.pdf
701	opisi-3	3-79	Р-69	Наукові дослідження в організації виробництва нафтогазової промисловості	1	1-8	1976-1989	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-79_1.pdf
702	opisi-3	3-80	Р-244	Звіти про науково-дослідні роботи	1	1-57	1978-1998	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-80_1.pdf
703	opisi-3	3-80	Р-244	Звіти про науково-дослідні роботи	2	58-138	1997-2015	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-80_2.pdf
704	opisi-3	3-81	Р-125	Звіти по темам науково-дослідних робіт за проблемою: "Узагальнюючі роботи по розвитку та удосконаленню міських електромереж 0,38-20кВ"	1	1-10	1975-1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-81_1.pdf
705	opisi-3	3-82	Р-60	Звіти за темами науково-дослідних робіт	1	1-5	1967-1972	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-82_1.pdf
706	opisi-3	3-87	Р-168	Звіти про науково-дослідні роботи	1	1-3	1984	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-87_1.pdf
707	opisi-3	3-88	Р-176	Звіти про науково-дослідні роботи Державного інституту з проектування засобів та споруд зв’язку «Діпрозв’язок»	1	1	1994	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-88_1.pdf
708	opisi-4	4-1	Р-26	Заявочні матеріали на винаходи Харківського тракторного заводу ім. С. Орджонікідзе», м. Харків	1	1-104	1967-1990	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_4-1_1.pdf
709	opisi-4	4-1	Р-26	Заявочні матеріали на винаходи Харківського тракторного заводу ім. С. Орджонікідзе», м. Харків	2	105-185	1969-1991	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_4-1_2.pdf
710	opisi-4	4-1	Р-26	Заявочні матеріали на винаходи Харківського тракторного заводу ім. С. Орджонікідзе», м. Харків	3	186-205	1969-1991	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_4-1_3pdf.pdf
711	opisi-4	4-2	Р-68	Авторські свідоцтва на винаходи Всесоюзного науково-дослідного інституту організації та механізації шахтного будівництва	1	1-458	1966-1992	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_4-2_1.pdf
712	opisi-5	5-1	251	Розвиток ракетно-космічної техніки в Україні	1	1-16	1951-2015	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_5-1_1.pdf
713	opisi-fop		Р-47	Бекетов Олексій Миколайович (1862–1941 рр.) – український радянський архітектор і педагог, професор, академік Санкт–Петербурзької імператорської Академії мистецтв, дійсний член Академії архітектури СРСР, Заслужений діяч мистецтв УРСР	1	1-475	1891-2013	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-47_1.pdf
714	opisi-fop		Р-157	Остащенко-Кудрявцев Борис Павлович (1877–1956 рр.) – астронометрист-картограф, професор, доктор фізико-математичних наук, Заслужений діяч науки УРСР	1	1-16	1917-2005	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-157_1.pdf
715	opisi-fop		Р-178	Кранцфельд Яків Львович (1933–2013 рр.) – інженер-будівельник, винахідник та раціоналізатор у галузі будівництва енергетичних об’єктів, кандидат технічних наук	1	1-25	1959-1990	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-178_1.pdf
716	opisi-fop		Р-178	Кранцфельд Яків Львович (1933–2013 рр.) – інженер-будівельник, винахідник та раціоналізатор у галузі будівництва енергетичних об’єктів, кандидат технічних наук	2	25-44	1992-2012	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-178_2.pdf
717	opisi-fop		Р-178	Кранцфельд Яків Львович (1933–2013 рр.) – інженер-будівельник, винахідник та раціоналізатор у галузі будівництва енергетичних об’єктів, кандидат технічних наук	3	46-64	1992-2012	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-178_23.pdf
718	opisi-fop		Р-183	Тришевський Ігор Стефанович (1918–1999 рр.) – доктор технічних наук, професор, Лауреат Державної премії СРСР, Заслужений діяч науки УРСР	1	1-23	1946-1991	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-183_1.pdf
719	opisi-fop		Р-202	Заваров Олексій Іванович (1917–2003 рр.) – кандидат архітектури, спеціаліст у галузі житлового будівництва, Народний архітектор УРСР, Заслужений будівельник УРСР, лауреат Державної премії УРСР, член-кореспондент Академії мистецтв СРСР	1	1-282	1939-2009	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-202_1.pdf
720	opisi-fop		Р-202	Заваров Олексій Іванович (1917–2003 рр.) – кандидат архітектури, спеціаліст у галузі житлового будівництва, Народний архітектор УРСР, Заслужений будівельник УРСР, лауреат Державної премії УРСР, член-кореспондент Академії мистецтв СРСР	2	283-347	1945-1995	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-202_2.pdf
721	opisi-fop		Р-202	Заваров Олексій Іванович (1917–2003 рр.) – кандидат архітектури, спеціаліст у галузі житлового будівництва, Народний архітектор УРСР, Заслужений будівельник УРСР, лауреат Державної премії УРСР, член-кореспондент Академії мистецтв СРСР	3	348-358	1952-2001	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-202_3.pdf
722	opisi-fop		Р-203	Тихомиров Віктор Петрович (1887–1973 рр.) – інженер шляхів сполучення	1	1-28	1905-1933	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-203_1.pdf
723	opisi-fop		Р-206	Матвієнко Олександра Михайлівна (1910–1996 рр.) – ботанік-альголог, доктор біологічних наук, професор Харківського державного університету імені М. Горького	1	1-261	1929-1994	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-206_1.pdf
724	opisi-fop		Р-209	Прокудін Юрій Миколайович (1911–1992 рр.) – вчений-ботанік, доктор біологічних наук, професор Харківського державного університету імені М. Горького	1	1-243	1897-1995	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-209_1.pdf
725	opisi-fop		Р-223	Маєвська Валентина Григорівна (1929–1992 рр.) – професор архітектури, кандидат архітектури, Заслужений архітектор УРСР	1	1-41а	1957-2004	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-223_1.pdf
726	opisi-fop		Р-223	Маєвська Валентина Григорівна (1929–1992 рр.) – професор архітектури, кандидат архітектури, Заслужений архітектор УРСР	2	42-90	1929-2007	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-223_2.pdf
727	opisi-fop		Р-224	Фукс Георгій Борисович (1927–2008 рр.) – інженер-будівельник, спеціаліст у галузі проектування мостів, кандидат технічних наук, професор, Заслужений будівельник України	1	1-21	1970-2004	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-224_1.pdf
728	opisi-fop		Р-224	Фукс Георгій Борисович (1927–2008 рр.) – інженер-будівельник, спеціаліст у галузі проектування мостів, кандидат технічних наук, професор, Заслужений будівельник України	2	22-126	1949-2013	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_R-224_2.pdf
729	opisi-fop		Р-228	Панченко Тамара Федотівна (1936 р. н.) – доктор архітектури, професор, дійсний член Академії архітектури, Народний архітектор України	1	1-64а	1960-2005	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-228_1.pdf
730	opisi-fop		Р-228	Панченко Тамара Федотівна (1936 р. н.) – доктор архітектури, професор, дійсний член Академії архітектури, Народний архітектор України	2	65-79а	1980-2008	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-228_2.pdf
731	opisi-fop		Р-228	Панченко Тамара Федотівна (1936 р. н.) – доктор архітектури, професор, дійсний член Академії архітектури, Народний архітектор України	3	80-93	1954-2010	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-228_3.pdf
732	opisi-fop		Р-229	Тер-Арутюнянц Георгій Йосипович (1914–2004 рр.) – інженер-конструктор, Заслужений будівельник України	1	1-15	1941-2005	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-229_1.pdf
733	opisi-fop		Р-231	Тиховський Володимир Олександрович (1892–1963 рр.) – інженер-металург, спеціаліст у галузі сталеплавильного та прокатного будівництва, професор, кандидат технічних наук	1	1-6	1931-2006	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-231_1.pdf
734	opisi-fop		Р-232	Яблонський Дмитро Нілович (1921–2001 рр.) – доктор архітектури, спеціаліст у галузі автоматизованого проектування житлового будівництва	1	1-6	1972-1993	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-232_1.pdf
735	opisi-fop		Р-233	Головко Віктор Павлович (1927–1994 рр.) – інженер, спеціаліст у галузі систем теплопостачання і вентиляції, директор інституту «Харківсантехпроект»	1	1-22	1958-2006	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-233_1.pdf
736	opisi-fop		Р-234	Об'єднаний архівний фонд особового походження. Бут Євген Миколайович (1941–2010 рр.) – доктор технічних наук, теплофізик. Бут Микола Григорович (1913–1992 рр.) – учасник Другої світової війни, полковник	1	1-488	1948-2008	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-234_1.pdf
737	opisi-fop		Р-235	Нікітенко Веніамін Йосипович (1937–2010 рр.) – інженер, кандидат технічних наук, член Академії будівництва України, лауреат премії Академії будівництва України імені академіка М. С. Буднікова	1	1-60	1937-2007	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-235_1.pdf
738	opisi-fop		Р-236	Бєлан Микола Васильович (1937–2006 рр.) – інженер, спеціаліст у галузі авіаційної промисловості, професор, доктор технічних наук, лауреат премії Ради Міністрів СРСР, Заслужений працівник вищої школи УРСР	1	1-95	1953-2007	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-236_1.pdf
739	opisi-fop		Р-237	М’ялиця Анатолій Костянтинович (1940 р. н.) – інженер, доктор технічних наук, почесний професор Національного аерокосмічного університету імені М. Є. Жуковського «Харківський авіаційний інститут», Міністр промислової політики України (2002–2004)	1	1-92	1966-2006	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-237_1.pdf
740	opisi-fop		Р-239	Кондратьєв Микола Федорович (1926–2009 рр.) – перший директор Центрального державного архіву науково-технічної документації УРСР, ветеран праці, історик-архівіст	1	1-64	1936-2009	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-239_1.pdf
741	opisi-fop		Р-241	Істомін Олександр Миколайович (1933–2005 рр.) – доктор геолого-мінералогічних наук, академік, член Президії Української нафтогазової академії, Заслужений працівник промисловості України	1	1-151	1933-2008	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-241_1.pdf
742	opisi-fop		Р-241	Істомін Олександр Миколайович (1933–2005 рр.) – доктор геолого-мінералогічних наук, академік, член Президії Української нафтогазової академії, Заслужений працівник промисловості України	2	152-197	1961-2003	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-241_2.pdf
743	opisi-fop		Р-241	Істомін Олександр Миколайович (1933–2005 рр.) – доктор геолого-мінералогічних наук, академік, член Президії Української нафтогазової академії, Заслужений працівник промисловості України	3	198-204	1954-2005	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-241_3.pdf
744	opisi-fop		Р-242	Істоміна Лідія Петрівна (1932 р. н.) – кандидат біологічних наук, ентомолог, старший науковий співробітник	1	1-80	1928-2010	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-242_1.pdf
745	opisi-fop		Р-242	Істоміна Лідія Петрівна (1932 р. н.) – кандидат біологічних наук, ентомолог, старший науковий співробітник	2	81-89	1963-2008	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-242_2.pdf
746	opisi-fop		Р-247	Черановський Олег Романович (1927 р. н.) – доктор технічних наук, Лауреат премії Ради Міністрів СРСР, Лауреат Державної премії України, Почесний авіабудівник СРСР	1	1-92	1945-2011	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-247_1.pdf
747	opisi-fop		Р-249	Гайдачук Віталій Євгенович (1938 р. н.) – фахівець у галузі авіаційної техніки, доктор технічних наук, професор, завідувач кафедри проектування ракетно-космічних апаратів Національного аерокосмічного університету імені М. Є. Жуковського «Харківський авіаційний інститут», лауреат Державної премії України, Заслужений діяч в галузі науки і техніки України	1	1-37	1955-2015	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_P-249_1.pdf
748	opisi-fop		Р-255	Криштафович Микола Йосипович - геолог, викладач, редактор, доктор геології і мінералогії, професор	1	1-549	1851-1931	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_255_1.pdf

